mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	0.5	2	2/4	1/8	3/8		1			firstMeasure					2
2	1	1/2	2.0	2	2/4	1/2	0										3
3	2	5/2	2.0	2	2/4	1/2	0										4
4	3	9/2	2.0	2	2/4	1/2	0				line						5
5	4	13/2	2.0	2	2/4	1/2	0										6
6	5	17/2	2.0	2	2/4	1/2	0										7
7	6	21/2	2.0	2	2/4	1/2	0										8
8	7	25/2	2.0	2	2/4	1/2	0				line						9
9	8	29/2	2.0	2	2/4	1/2	0										10
10	9	33/2	2.0	2	2/4	1/2	0										11
11	10	37/2	2.0	2	2/4	1/2	0										12
12	11	41/2	2.0	2	2/4	1/2	0				line						13
13	12	45/2	2.0	2	2/4	1/2	0										14
14	13	49/2	2.0	2	2/4	1/2	0										15
15	14	53/2	2.0	2	2/4	1/2	0				line						16
16	15	57/2	2.0	2	2/4	1/2	0										17
17	16	61/2	2.0	2	2/4	1/2	0										18
18	17	65/2	2.0	2	2/4	1/2	0				page						19
19	18	69/2	2.0	2	2/4	1/2	0										20
20	19	73/2	2.0	2	2/4	1/2	0										21
21	20	77/2	0.5	2	1/8	1/8	0				line	end					1, 22
22	20	39	0.5	2	1/8	1/8	0		1								23
23	21	79/2	2.0	2	2/4	1/2	0					start					24
24	22	83/2	2.0	2	2/4	1/2	0										25
25	23	87/2	2.0	2	2/4	1/2	0				line						26
26	24	91/2	2.0	2	2/4	1/2	0										27
27	25	95/2	2.0	2	2/4	1/2	0										28
28	26	99/2	2.0	2	2/4	1/2	0				line						29
29	27	103/2	2.0	2	2/4	1/2	0										30
30	28	107/2	2.0	2	2/4	1/2	0										31
31	29	111/2	2.0	2	2/4	1/2	0										32
32	30	115/2	2.0	2	2/4	1/2	0										33
33	31	119/2	2.0	2	2/4	1/2	0										34
34	32	123/2	2.0	2	2/4	1/2	0										35
35	33	127/2	2.0	2	2/4	1/2	0										36
36	34	131/2	2.0	2	2/4	1/2	0										37
37	35	135/2	2.0	2	2/4	1/2	0										38
38	36	139/2	2.0	2	2/4	1/2	0										39
39	37	143/2	2.0	2	2/4	1/2	0										40
40	38	147/2	2.0	2	2/4	1/2	0				page						41
41	39	151/2	2.0	2	2/4	1/2	0										42
42	40	155/2	2.0	2	2/4	1/2	0										43
43	41	159/2	2.0	2	2/4	1/2	0										44
44	42	163/2	2.0	2	2/4	1/2	0				section	end	fine				23, 45
45	43	167/2	1.5	-2	3/8	3/8	0										46
46	44	85	1.5	-2	3/8	3/8	0										47
47	45	173/2	1.5	-2	3/8	3/8	0										48
48	46	88	1.5	-2	3/8	3/8	0										49
49	47	179/2	1.5	-2	3/8	3/8	0				line						50
50	48	91	1.5	-2	3/8	3/8	0										51
51	49	185/2	1.5	-2	3/8	3/8	0										52
52	50	94	1.5	-2	3/8	3/8	0				line						53
53	51	191/2	1.5	-2	3/8	3/8	0										54
54	52	97	1.5	-2	3/8	3/8	0										55
55	53	197/2	1.5	-2	3/8	3/8	0										56
56	54	100	1.5	-2	3/8	3/8	0				line						57
57	55	203/2	1.5	-2	3/8	3/8	0										58
58	56	103	1.5	-2	3/8	3/8	0										59
59	57	209/2	1.5	-2	3/8	3/8	0										60
60	58	106	1.5	-2	3/8	3/8	0				page						61
61	59	215/2	1.5	-2	3/8	3/8	0										62
62	60	109	1.5	-2	3/8	3/8	0										63
63	61	221/2	1.5	-2	3/8	3/8	0										64
64	62	112	1.5	-2	3/8	3/8	0										65
65	63	227/2	1.5	-2	3/8	3/8	0										66
66	64	115	1.5	-2	3/8	3/8	0										67
67	65	233/2	1.5	-2	3/8	3/8	0										68
68	66	118	1.5	-2	3/8	3/8	0										69
69	67	239/2	1.5	-2	3/8	3/8	0			double	line						70
70	42	121	1.0	2	2/4	1/4	0	-26									71
71	43	122	2.0	2	2/4	1/2	0										72
72	44	124	2.0	2	2/4	1/2	0										73
73	45	126	2.0	2	2/4	1/2	0				line						74
74	46	128	2.0	2	2/4	1/2	0										75
75	47	130	2.0	2	2/4	1/2	0										76
76	48	132	2.0	2	2/4	1/2	0										77
77	49	134	2.0	2	2/4	1/2	0										78
78	50	136	2.0	2	2/4	1/2	0				line						79
79	51	138	2.0	2	2/4	1/2	0										80
80	52	140	2.0	2	2/4	1/2	0										81
81	53	142	2.0	2	2/4	1/2	0										82
82	54	144	2.0	2	2/4	1/2	0				line						83
83	55	146	2.0	2	2/4	1/2	0										84
84	56	148	2.0	2	2/4	1/2	0										85
85	57	150	2.0	2	2/4	1/2	0										86
86	58	152	2.0	2	2/4	1/2	0				page						87
87	59	154	2.0	2	2/4	1/2	0										88
88	60	156	2.0	2	2/4	1/2	0										89
89	61	158	2.0	2	2/4	1/2	0										90
90	62	160	2.0	2	2/4	1/2	0										91
91	63	162	2.0	2	2/4	1/2	0										92
92	64	164	2.0	2	2/4	1/2	0										93
93	65	166	2.0	2	2/4	1/2	0										94
94	66	168	2.0	2	2/4	1/2	0				line						95
95	67	170	2.0	2	2/4	1/2	0										96
96	68	172	2.0	2	2/4	1/2	0										97
97	69	174	2.0	2	2/4	1/2	0										98
98	70	176	2.0	2	2/4	1/2	0				line						99
99	71	178	2.0	2	2/4	1/2	0										100
100	72	180	2.0	2	2/4	1/2	0										101
101	73	182	2.0	2	2/4	1/2	0										102
102	74	184	2.0	2	2/4	1/2	0				line						103
103	75	186	2.0	2	2/4	1/2	0										104
104	76	188	2.0	2	2/4	1/2	0										105
105	77	190	2.0	2	2/4	1/2	0										106
106	78	192	2.0	2	2/4	1/2	0				line						107
107	79	194	2.0	2	2/4	1/2	0										108
108	80	196	2.0	2	2/4	1/2	0										109
109	81	198	2.0	2	2/4	1/2	0										110
110	82	200	2.0	2	2/4	1/2	0										111
111	83	202	2.0	2	2/4	1/2	0				page						112
112	84	204	2.0	2	2/4	1/2	0										113
113	85	206	2.0	2	2/4	1/2	0										114
114	86	208	2.0	2	2/4	1/2	0										115
115	87	210	2.0	2	2/4	1/2	0										116
116	88	212	2.0	2	2/4	1/2	0										117
117	89	214	2.0	2	2/4	1/2	0										118
118	90	216	2.0	2	2/4	1/2	0										119
119	91	218	2.0	2	2/4	1/2	0				line						120
120	92	220	2.0	2	2/4	1/2	0										121
121	93	222	2.0	2	2/4	1/2	0										122
122	94	224	2.0	2	2/4	1/2	0										123
123	95	226	2.0	2	2/4	1/2	0										124
124	96	228	2.0	2	2/4	1/2	0				line						125
125	97	230	2.0	2	2/4	1/2	0										126
126	98	232	2.0	2	2/4	1/2	0										127
127	99	234	2.0	2	2/4	1/2	0										128
128	100	236	2.0	2	2/4	1/2	0				line						129
129	101	238	2.0	2	2/4	1/2	0										130
130	102	240	2.0	2	2/4	1/2	0										131
131	103	242	2.0	2	2/4	1/2	0										132
132	104	244	2.0	2	2/4	1/2	0										133
133	105	246	2.0	2	2/4	1/2	0				line						134
134	106	248	2.0	2	2/4	1/2	0										135
135	107	250	2.0	2	2/4	1/2	0										136
136	108	252	2.0	2	2/4	1/2	0										137
137	109	254	2.0	2	2/4	1/2	0										138
138	110	256	2.0	2	2/4	1/2	0			end	page & section	lastMeasure					-1
