mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	G.I{					G	I		I	I						{	M	0	0	1, 5, 2		1	1	2	8	0.2	0.125	1.125	0.1
2	2	0	0	2/4	2	1	V7					G	I		V7	V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	5	0.0	0.0	0.75	0.0
2	2	1/4	1/4	2/4	2	1	I					G	I		I	I							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.75	0.0
3	3	0	0	2/4	2	1	I6					G	I		I6	I		6					M	0	0	5, 2, 1		1	5	1	4	0.2	0.0625	0.4375	0.125
3	3	1/4	1/4	2/4	2	1	IV					G	I		IV	IV							M	0	0	0, 4, 1		0	0	1	4	0.2	0.0625	0.4375	0.125
4	4	0	0	2/4	2	1	V7}					G	I		V7	V		7				}	Mm7	0	0	2, 6, 3, 0		2	2	0	4	0.0	0.0	0.5	0.0
4	4	1/4	1/4	2/4	2	1	I|IAC					G	I		I	I					IAC		M	0	0	1, 5, 2		1	1	2	11	0.15384615384615385	0.125	1.625	0.07142857142857142
6	6	0	0	2/4	2	1	V7					G	I		V7	V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	5	0.0	0.0	0.75	0.0
6	6	1/4	1/4	2/4	2	1	I					G	I		I	I							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.75	0.0
7	7	0	0	2/4	2	1	I6					G	I		I6	I		6					M	0	0	5, 2, 1		1	5	2	3	0.4	0.125	0.375	0.25
7	7	1/4	1/4	2/4	2	1	IV				ii6	G	I		IV	IV							M	0	0	0, 4, 1		0	0	2	3	0.4	0.125	0.375	0.25
8	8	0	0	2/4	2	1	V(64)}					G	I		V(64)	V			64			}	M	0	0	2, 1, 5		2	2	1	2	0.3333333333333333	0.0625	0.1875	0.25
8	8	1/8	1/8	2/4	2	1	V					G	I		V	V							M	0	0	2, 6, 3		2	2	1	2	0.3333333333333333	0.0625	0.1875	0.25
8	8	1/4	1/4	2/4	2	1	I|PAC					G	I		I	I					PAC		M	0	0	1, 5, 2		1	1	2	11	0.15384615384615385	0.125	1.625	0.07142857142857142
10	10	0	0	2/4	2	1	V7					G	I		V7	V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	5	0.0	0.0	0.75	0.0
10	10	1/4	1/4	2/4	2	1	I					G	I		I	I							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.75	0.0
11	11	0	0	2/4	2	1	I6					G	I		I6	I		6					M	0	0	5, 2, 1		1	5	1	4	0.2	0.0625	0.4375	0.125
11	11	1/4	1/4	2/4	2	1	IV					G	I		IV	IV							M	0	0	0, 4, 1		0	0	1	4	0.2	0.0625	0.4375	0.125
12	12	0	0	2/4	2	1	V7}					G	I		V7	V		7				}	Mm7	0	0	2, 6, 3, 0		2	2	0	4	0.0	0.0	0.5	0.0
12	12	1/4	1/4	2/4	2	1	I|IAC					G	I		I	I					IAC		M	0	0	1, 5, 2		1	1	2	11	0.15384615384615385	0.125	1.625	0.07142857142857142
14	14	0	0	2/4	2	1	V7					G	I		V7	V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	5	0.0	0.0	0.75	0.0
14	14	1/4	1/4	2/4	2	1	I					G	I		I	I							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.75	0.0
15	15	0	0	2/4	2	1	I6					G	I		I6	I		6					M	0	0	5, 2, 1		1	5	0	4	0.0	0.0	0.25	0.0
15	15	1/8	1/8	2/4	2	1	IV					G	I		IV	IV							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.25	0.0
15	15	1/4	1/4	2/4	2	1	IV6					G	I		IV6	IV		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.25	0.0
15	15	3/8	3/8	2/4	2	1	ii6					G	I		ii6	ii		6					m	0	0	0, 4, 3		3	0	0	4	0.0	0.0	0.25	0.0
16	16	0	0	2/4	2	1	V(64)}					G	I		V(64)	V			64			}	M	0	0	2, 1, 5		2	2	0	5	0.0	0.0	0.25	0.0
16	16	1/8	1/8	2/4	2	1	V					G	I		V	V							M	0	0	2, 6, 3		2	2	2	3	0.4	0.0625	0.1875	0.25
16	16	1/4	1/4	2/4	2	1	I|PAC					G	I		I	I					PAC		M	0	0	1, 5, 2		1	1	2	12	0.14285714285714285	0.125	1.75	0.06666666666666667
18	18	0	0	2/4	2	1	V6					G	I		V6	V		6					M	0	0	6, 3, 2		2	6	0	3	0.0	0.0	0.375	0.0
18	18	1/8	1/8	2/4	2	1	V.viio6					G	V		viio6	vii	o	6					o	0	0	4, 1, 7		7	4	0	3	0.0	0.0	0.375	0.0
18	18	1/4	1/4	2/4	2	1	I					G	V		I	I							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.75	0.0
19	19	0	0	2/4	2	1	ii6					G	V		ii6	ii		6					m	0	0	1, 5, 4		4	1	9	12	0.42857142857142855	0.21875	0.90625	0.19444444444444445
20	20	1/8	1/8	2/4	2	1	V65/V					G	V		V65/V	V		65		V			Mm7	0	0	8, 5, 2, 4		4	8	0	2	0.0	0.0	0.25	0.0
20	20	1/4	1/4	2/4	2	1	V|HC					G	V		V	V					HC		M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.5	0.0
21	21	0	0	2/4	2	1	V65{					G	V		V65	V		65				{	Mm7	0	0	7, 4, 1, 3		3	7	0	5	0.0	0.0	0.5	0.0
21	21	1/4	1/4	2/4	2	1	I					G	V		I	I							M	0	0	2, 6, 3		2	2	1	4	0.2	0.0625	0.4375	0.125
22	22	0	0	2/4	2	1	V7}					G	V		V7	V		7				}	Mm7	0	0	3, 7, 4, 1		3	3	1	4	0.2	0.0625	0.4375	0.125
22	22	1/4	1/4	2/4	2	1	I(4)					G	V		I(4)	I			4				M	0	0	2, 1, 3		2	2	0	2	0.0	0.0	0.375	0.0
22	22	3/8	3/8	2/4	2	1	I|IAC					G	V		I	I					IAC		M	0	0	2, 6, 3		2	2	0	1	0.0	0.0	0.125	0.0
23	23	0	0	2/4	2	1	V65{					G	V		V65	V		65				{	Mm7	0	0	7, 4, 1, 3		3	7	0	6	0.0	0.0	0.5	0.0
23	23	1/4	1/4	2/4	2	1	I					G	V		I	I							M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	0.5	0.0
24	24	0	0	2/4	2	1	V65}					G	V		V65	V		65				}	Mm7	0	0	7, 4, 1, 3		3	7	0	6	0.0	0.0	0.5	0.0
24	24	1/4	1/4	2/4	2	1	I(4)					G	V		I(4)	I			4				M	0	0	2, 1, 3		2	2	0	2	0.0	0.0	0.25	0.0
24	24	3/8	3/8	2/4	2	1	I|IAC					G	V		I	I					IAC		M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
25	25	0	0	2/4	2	1	IV6{					G	V		IV6	IV		6				{	M	0	0	5, 2, 1		1	5	1	6	0.14285714285714285	0.0625	0.8125	0.07142857142857142
25	25	3/8	3/8	2/4	2	1	iii6					G	V		iii6	iii		6					m	0	0	3, 7, 6		6	3	0	3	0.0	0.0	0.375	0.0
26	26	0	0	2/4	2	1	ii6					G	V		ii6	ii		6					m	0	0	1, 5, 4		4	1	0	3	0.0	0.0	0.375	0.0
26	26	1/8	1/8	2/4	2	1	I6					G	V		I6	I		6					M	0	0	6, 3, 2		2	6	0	3	0.0	0.0	0.375	0.0
26	26	1/4	1/4	2/4	2	1	viio6					G	V		viio6	vii	o	6					o	0	0	4, 1, 7		7	4	0	3	0.0	0.0	0.75	0.0
27	27	0	0	2/4	2	1	ii6					G	V		ii6	ii		6					m	0	0	1, 5, 4		4	1	0	3	0.0	0.0	0.3125	0.0
27	27	1/8	1/8	2/4	2	1	I6					G	V		I6	I		6					M	0	0	6, 3, 2		2	6	0	3	0.0	0.0	0.3125	0.0
27	27	1/4	1/4	2/4	2	1	viio6(2)					G	V		viio6(2)	vii	o	6	2				o	0	0	4, 1, 2		7	4	0	3	0.0	0.0	0.625	0.0
27	27	3/8	3/8	2/4	2	1	viio6					G	V		viio6	vii	o	6					o	0	0	4, 1, 7		7	4	0	1	0.0	0.0	0.125	0.0
28	28	0	0	2/4	2	1	V6				viio	G	V		V6	V		6					M	0	0	7, 4, 3		3	7	4	5	0.4444444444444444	0.125	0.375	0.25
28	28	1/4	1/4	2/4	2	1	I6					G	V		I6	I		6					M	0	0	6, 3, 2		2	6	2	3	0.4	0.0625	0.1875	0.25
28	28	3/8	3/8	2/4	2	1	I					G	V		I	I							M	0	0	2, 6, 3		2	2	2	3	0.4	0.0625	0.1875	0.25
29	29	0	0	2/4	2	1	IV}					G	V		IV	IV						}	M	0	0	1, 5, 2		1	1	2	3	0.4	0.0625	0.1875	0.25
29	29	1/8	1/8	2/4	2	1	V					G	V		V	V							M	0	0	3, 7, 4		3	3	2	3	0.4	0.0625	0.1875	0.25
29	29	1/4	1/4	2/4	2	1	I|PAC					G	V		I	I					PAC		M	0	0	2, 6, 3		2	2	2	8	0.2	0.125	1.375	0.08333333333333333
30	30	3/8	3/8	2/4	2	1	#vio64/v					G	V		#vio64/v	#vi	o	64		v			o	0	0	0, 6, 3		6	0	0	3	0.0	0.0	0.375	0.0
31	31	0	0	2/4	2	1	#viio6/v					G	V		#viio6/v	#vii	o	6		v			o	0	0	5, 2, 8		8	5	0	3	0.0	0.0	0.375	0.0
31	31	1/8	1/8	2/4	2	1	i/v					G	V		i/v	i				v			m	0	0	3, 0, 4		3	3	0	3	0.0	0.0	0.375	0.0
31	31	1/4	1/4	2/4	2	1	#viio/v					G	V		#viio/v	#vii	o			v			o	0	0	8, 5, 2		8	8	0	3	0.0	0.0	0.75	0.0
