mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	F.I{	F	I		I		I						{	M	0	0	-1, 3, 0		-1	-1	4	30	0.11764705882352941	0.3333333333333333	4.5	0.06896551724137931
6	6	0	0	2/4	2	1	viio	F	I		viio		vii	o						o	0	0	4, 1, -2		4	4	1	5	0.16666666666666666	0.03125	0.71875	0.041666666666666664
7	7	0	0	2/4	2	1	I	F	I		I		I							M	0	0	-1, 3, 0		-1	-1	1	3	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
7	7	1/4	1/4	2/4	2	1	IV	F	I		IV		IV							M	0	0	-2, 2, -1		-2	-2	1	3	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
8	8	0	0	2/4	2	1	V|HC}	F	I		V		V					HC	}	M	0	0	0, 4, 1		0	0	1	2	0.3333333333333333	0.0	1.0	0.0
9	9	0	0	2/4	2	1	#viio7/ii{	F	I		#viio7/ii		#vii	o	7		ii		{	o7	0	0	6, 3, 0, -3		6	6	0	6	0.0	0.0	0.75	0.0
10	10	0	0	2/4	2	1	ii	F	I		ii		ii							m	0	0	1, -2, 2		1	1	0	2	0.0	0.0	0.5	0.0
10	10	1/4	1/4	2/4	2	1	vii%7	F	I		vii%7		vii	%	7					%7	0	0	4, 1, -2, 2		4	4	0	4	0.0	0.0	0.5	0.0
11	11	0	0	2/4	2	2	I	F	I		I		I							M	0	0	-1, 3, 0		-1	-1	1	7	0.125	0.08333333333333333	0.9166666666666666	0.08333333333333333
12	12	0	0	2/4	2	2	V}	F	I		V		V						}	M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.5	0.0
13	13	0	0	2/4	2	1	I{	F	I		I		I						{	M	0	0	-1, 3, 0		-1	-1	0	9	0.0	0.0	1.75	0.0
15	15	0	0	2/4	2	1	V6	F	I		V6		V		6					M	0	0	4, 1, 0		0	4	0	9	0.0	0.0	1.75	0.0
