mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	G.I[I{						G	I	I	I		I						{	M	0	0	1, 5, 2		1	1	3	8	0.2727272727272727	0.25	1.0	0.2
2	2	0	0	2/4	2	1	IV6						G	I	I	IV6		IV		6					M	0	0	4, 1, 0		0	4	1	3	0.25	0.03125	0.34375	0.08333333333333333
2	2	1/8	1/8	2/4	2	1	viio					V6	G	I	I	viio		vii	o						o	0	0	6, 3, 0		6	6	2	2	0.5	0.15625	0.21875	0.4166666666666667
2	2	1/4	1/4	2/4	2	1	I}						G	I	I	I		I						}	M	0	0	1, 5, 2		1	1	4	13	0.23529411764705882	0.3125	1.4375	0.17857142857142858
4	4	0	0	2/4	2	1	IV6						G	I	I	IV6		IV		6					M	0	0	4, 1, 0		0	4	1	3	0.25	0.03125	0.34375	0.08333333333333333
4	4	1/8	1/8	2/4	2	1	viio					V6	G	I	I	viio		vii	o						o	0	0	6, 3, 0		6	6	2	2	0.5	0.15625	0.21875	0.4166666666666667
4	4	1/4	1/4	2/4	2	1	I]}						G	I	I	I		I						}	M	0	0	1, 5, 2		1	1	1	5	0.16666666666666666	0.0625	0.4375	0.125
5	5	0	0	2/4	2	1	ii6{						G	I		ii6		ii		6				{	m	0	0	0, 4, 3		3	0	4	4	0.5	0.375	0.3125	0.5454545454545454
6	6	0	0	2/4	2	1	I6						G	I		I6		I		6					M	0	0	5, 2, 1		1	5	4	4	0.5	0.375	0.25	0.6
7	7	0	0	2/4	2	1	viio						G	I		viio		vii	o						o	0	0	6, 3, 0		6	6	3	4	0.42857142857142855	0.1875	0.25	0.42857142857142855
7	7	1/4	1/4	2/4	2	1	I						G	I		I		I							M	0	0	1, 5, 2		1	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
7	7	3/8	3/8	2/4	2	1	vii%7/V						G	I		vii%7/V		vii	%	7		V			%7	0	0	7, 4, 1, 5		7	7	0	3	0.0	0.0	0.25	0.0
8	8	0	0	2/4	2	1	V(64)}						G	I		V(64)		V			64			}	M	0	0	2, 1, 5		2	2	0	2	0.0	0.0	0.25	0.0
8	8	1/8	1/8	2/4	2	1	V|HC						G	I		V		V					HC		M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
8	8	1/4	1/4	2/4	2	1	V.I{						G	V		I		I						{	M	0	0	2, 6, 3		2	2	4	4	0.5	0.125	0.125	0.5
9	9	0	0	2/4	2	1	V6						G	V		V6		V		6					M	0	0	7, 4, 3		3	7	1	5	0.16666666666666666	0.0625	0.5625	0.1
9	9	3/8	3/8	2/4	2	1	V7						G	V		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.25	0.0
10	10	0	0	2/4	2	1	I						G	V		I		I							M	0	0	2, 6, 3		2	2	5	10	0.3333333333333333	0.1875	0.5625	0.25
11	11	0	0	2/4	2	1	V6						G	V		V6		V		6					M	0	0	7, 4, 3		3	7	1	5	0.16666666666666666	0.0625	0.5	0.1111111111111111
11	11	3/8	3/8	2/4	2	1	V7						G	V		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.25	0.0
12	12	0	0	2/4	2	1	I(4)}						G	V		I(4)		I			4			}	M	0	0	2, 1, 3		2	2	0	3	0.0	0.0	0.25	0.0
12	12	1/8	1/8	2/4	2	1	I|IAC						G	V		I		I					IAC		M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
12	12	1/4	1/4	2/4	2	1	I6{						G	V		I6		I		6				{	M	0	0	6, 3, 2		2	6	2	5	0.2857142857142857	0.0625	0.3125	0.16666666666666666
13	13	0	0	2/4	2	1	ii6						G	V		ii6		ii		6					m	0	0	1, 5, 4		4	1	3	7	0.3	0.125	0.5	0.2
14	14	0	0	2/4	2	1	I64						G	V		I64		I		64					M	0	0	3, 2, 6		2	3	3	8	0.2727272727272727	0.125	0.625	0.16666666666666666
15	15	0	0	2/4	2	1	IV6						G	V		IV6		IV		6					M	0	0	5, 2, 1		1	5	2	6	0.25	0.0625	0.4375	0.125
15	15	1/4	1/4	2/4	2	1	V7/V						G	V		V7/V		V		7		V			Mm7	0	0	4, 8, 5, 2		4	4	2	6	0.25	0.0625	0.4375	0.125
16	16	0	0	2/4	2	1	V|HC}{						G	V		V		V					HC	}{	M	0	0	3, 7, 4		3	3	4	6	0.4	0.22916666666666666	0.7708333333333334	0.22916666666666666
17	17	0	0	2/4	2	1	I64						G	V		I64		I		64					M	0	0	3, 2, 6		2	3	7	7	0.5	0.4375	0.4375	0.5
18	18	0	0	2/4	2	1	I6						G	V		I6		I		6					M	0	0	6, 3, 2		2	6	3	6	0.3333333333333333	0.15625	0.34375	0.3125
18	18	1/4	1/4	2/4	2	1	IVM7						G	V		IVM7		IV	M	7					MM7	0	0	1, 5, 2, 6		1	1	1	4	0.2	0.03125	0.21875	0.125
18	18	3/8	3/8	2/4	2	1	I64						G	V		I64		I		64					M	0	0	3, 2, 6		2	3	1	4	0.2	0.03125	0.21875	0.125
19	19	0	0	2/4	2	1	IVM65						G	V		IVM65		IV	M	65					MM7	0	0	5, 2, 6, 1		1	5	1	4	0.2	0.03125	0.21875	0.125
19	19	1/8	1/8	2/4	2	1	I64						G	V		I64		I		64					M	0	0	3, 2, 6		2	3	1	4	0.2	0.03125	0.21875	0.125
19	19	1/4	1/4	2/4	2	1	IVM7						G	V		IVM7		IV	M	7					MM7	0	0	1, 5, 2, 6		1	1	1	4	0.2	0.03125	0.21875	0.125
19	19	3/8	3/8	2/4	2	1	I64						G	V		I64		I		64					M	0	0	3, 2, 6		2	3	1	4	0.2	0.03125	0.21875	0.125
20	20	0	0	2/4	2	1	Fr6						G	V		Fr6	Fr	V		43	b5	V			Fr	0	0	-2, 2, 4, 8		4	-2	1	4	0.2	0.03125	0.21875	0.125
20	20	1/8	1/8	2/4	2	1	V(b64)						G	V		V(b64)		V			b64				M	0	0	3, 2, -1		3	3	1	4	0.2	0.03125	0.21875	0.125
20	20	1/4	1/4	2/4	2	1	viio7/V						G	V		viio7/V		vii	o	7		V			o7	0	0	8, 5, 2, -1		8	8	2	8	0.2	0.0625	0.4375	0.125
21	21	0	0	2/4	2	1	V2						G	V		V2		V		2					Mm7	0	0	1, 3, 7, 4		3	1	0	5	0.0	0.0	0.25	0.0
21	21	1/8	1/8	2/4	2	1	I6						G	V		I6		I		6					M	0	0	6, 3, 2		2	6	0	3	0.0	0.0	0.125	0.0
21	21	3/16	3/16	2/4	2	1	IV						G	V		IV		IV							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.125	0.0
21	21	1/4	1/4	2/4	2	1	V(64)						G	V		V(64)		V			64				M	0	0	3, 2, 6		3	3	0	2	0.0	0.0	0.25	0.0
21	21	3/8	3/8	2/4	2	1	V						G	V		V		V							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
22	22	0	0	2/4	2	1	I[I|PAC}{						G	V	I	I		I					PAC	}{	M	0	0	2, 6, 3		2	2	1	6	0.14285714285714285	0.09375	0.90625	0.09375
23	23	0	0	2/4	2	1	IV						G	V	I	IV		IV							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.625	0.0
23	23	1/8	1/8	2/4	2	1	viio						G	V	I	viio		vii	o						o	0	0	7, 4, 1		7	7	0	2	0.0	0.0	0.125	0.0
23	23	1/4	1/4	2/4	2	1	I						G	V	I	I		I							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.125	0.0
23	23	3/8	3/8	2/4	2	1	ii						G	V	I	ii		ii							m	0	0	4, 1, 5		4	4	0	2	0.0	0.0	0.125	0.0
24	24	0	0	2/4	2	1	iii]						G	V	I	iii		iii							m	0	0	6, 3, 7		6	6	1	2	0.3333333333333333	0.25	0.125	0.6666666666666666
24	24	1/8	1/8	2/4	2	1	I						G	V		I		I							M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	0.375	0.0
25	25	0	0	2/4	2	1	IV					ii6	G	V		IV		IV							M	0	0	1, 5, 2		1	1	3	4	0.42857142857142855	0.046875	0.328125	0.125
25	25	1/4	1/4	2/4	2	1	V(64)						G	V		V(64)		V			64				M	0	0	3, 2, 6		3	3	0	2	0.0	0.0	0.25	0.0
25	25	3/8	3/8	2/4	2	1	V						G	V		V		V							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
26	26	0	0	2/4	2	1	I|PAC}						G	V		I		I					PAC	}	M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.5	0.0
26	26	1/4	1/4	2/4	2	1	ii{						G	V		ii		ii						{	m	0	0	4, 1, 5		4	4	1	1	0.5	0.03125	0.09375	0.25
26	26	3/8	3/8	2/4	2	1	viio						G	V		viio		vii	o						o	0	0	7, 4, 1		7	7	0	2	0.0	0.0	0.125	0.0
27	27	0	0	2/4	2	1	I						G	V		I		I							M	0	0	2, 6, 3		2	2	1	1	0.5	0.03125	0.09375	0.25
