mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	E.I{		E	I		I		I						{	M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.375	0.0
1	1	1/8	1/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	9, 6, 5		5	9	0	3	0.0	0.0	0.375	0.0
1	1	1/4	1/4	4/4	2	1	V43		E	I		V43		V		43					Mm7	0	0	6, 3, 5, 9		5	6	0	3	0.0	0.0	0.375	0.0
1	1	3/8	3/8	4/4	2	1	I		E	I		I		I							M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.375	0.0
1	1	1/2	1/2	4/4	2	1	V6		E	I		V6		V		6					M	0	0	9, 6, 5		5	9	0	3	0.0	0.0	0.375	0.0
1	1	5/8	5/8	4/4	2	1	viio6/V		E	I		viio6/V		vii	o	6		V			o	0	0	7, 4, 10		10	7	0	3	0.0	0.0	0.375	0.0
1	1	3/4	3/4	4/4	2	1	V(4)		E	I		V(4)		V			4				M	0	0	5, 4, 6		5	5	0	4	0.0	0.0	0.75	0.0
1	1	7/8	7/8	4/4	2	1	V		E	I		V		V							M	0	0	5, 9, 6		5	5	0	1	0.0	0.0	0.125	0.0
2	2	0	0	4/4	2	1	I6		E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	4	0.0	0.0	0.75	0.0
2	2	1/4	1/4	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	3, 7, 6		6	3	4	5	0.4444444444444444	0.25	0.5	0.3333333333333333
2	2	1/2	1/2	4/4	2	1	V7		E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	4	5	0.4444444444444444	0.25	0.5	0.3333333333333333
2	2	3/4	3/4	4/4	2	1	I(94)}		E	I		I(94)		I			94			}	M	0	0	4, 3, 5	6	4	4	1	4	0.2	0.0	0.5	0.0
2	2	7/8	7/8	4/4	2	1	I|IAC		E	I		I		I					IAC		M	0	0	4, 8, 5		4	4	0	5	0.0	0.0	0.625	0.0
3	3	1/8	1/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	9, 6, 5		5	9	0	3	0.0	0.0	0.375	0.0
