mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	7/8	4/4	2	1	a.V65{		a	i		V65	V		65				{	Mm7	1	1	8, 5, 2, 4		4.0	8.0	2	4	0.3333333333333333	0.041666666666666664	0.08333333333333333	0.3333333333333333
2	1	0	0	4/4	2	1	i		a	i		i	i							m	1	1	3, 0, 4		3.0	3.0	0	1	0.0	0.0	0.125	0.0
2	1	3/8	3/8	4/4	2	1	V		a	i		V	V							M	1	1	4, 8, 5		4.0	4.0	3	3	0.5	0.0625	0.0625	0.5
2	1	1/2	1/2	4/4	2	1	iv6	VI	a	i		iv6	iv		6					m	1	1	-1, 3, 2		2.0	-1.0	0	1	0.0	0.0	0.125	0.0
2	1	7/8	7/8	4/4	2	1	V65/iv		a	i		V65/iv	V		65		iv			Mm7	1	1	7, 4, 1, 3		3.0	7.0	2	4	0.3333333333333333	0.041666666666666664	0.08333333333333333	0.3333333333333333
3	2	0	0	4/4	2	1	iv		a	i		iv	iv							m	1	1	2, -1, 3		2.0	2.0	0	3	0.0	0.0	0.75	0.0
3	2	3/4	3/4	4/4	2	1	#vii6		a	i		#vii6	#vii		6					m	1	1	5, 9, 8		8.0	5.0	2	3	0.4	0.3333333333333333	0.4166666666666667	0.4444444444444444
4	3	0	0	4/4	2	1	i6		a	i		i6	i		6					m	1	1	0, 4, 3		3.0	0.0	0	4	0.0	0.0	0.4375	0.0
4	3	3/16	3/16	4/4	2	1	#viio/iv		a	i		#viio/iv	#vii	o			iv			o	1	1	7, 4, 1		7.0	7.0	0	1	0.0	0.0	0.0625	0.0
4	3	1/4	1/4	4/4	2	1	iv		a	i		iv	iv							m	1	1	2, -1, 3		2.0	2.0	4	4	0.5	0.25	0.5	0.3333333333333333
4	3	11/16	11/16	4/4	2	1	viio/V		a	i		viio/V	vii	o			V			o	1	1	9, 6, 3		9.0	9.0	0	1	0.0	0.0	0.0625	0.0
4	3	3/4	3/4	4/4	2	1	V7		a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4.0	4.0	0	4	0.0	0.0	0.5	0.0
5	4	0	0	4/4	2	1	i|IAC}		a	i		i	i					IAC	}	m	1	1	3, 0, 4		3.0	3.0	1	10	0.09090909090909091	0.08333333333333333	1.2291666666666667	0.06349206349206349
6	5	0	0	4/4	2	1	III.V7/V		a	III		V7/V	V		7		V			Mm7	1	0	2, 6, 3, 0		2.0	2.0	6	13	0.3157894736842105	0.4375	1.8125	0.19444444444444445
7	6	3/16	3/16	4/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1.0	1.0	0	5	0.0	0.0	0.8125	0.0
7	6	3/4	3/4	4/4	2	1	v6		a	III		v6	v		6					m	1	0	-2, 2, 1		1.0	-2.0	3	4	0.42857142857142855	0.375	0.3125	0.5454545454545454
8	7	1/4	1/4	4/4	2	1	V65/IV		a	III		V65/IV	V		65		IV			Mm7	1	0	4, 1, -2, 0		0.0	4.0	1	10	0.09090909090909091	0.0	2.375	0.0
9	8	3/16	3/16	4/4	2	1	IV(42)		a	III		IV(42)	IV			42				M	1	0	1, 5, 0		-1.0	1.0	2	1	0.6666666666666666	0.25	0.0625	0.8
9	8	1/2	1/2	4/4	2	1	IV		a	III		IV	IV							M	1	0	-1, 3, 0		-1.0	-1.0	1	11	0.08333333333333333	0.0625	1.6875	0.03571428571428571
10	9	1/2	1/2	4/4	2	1	I6		a	III		I6	I		6					M	1	0	4, 1, 0		0.0	4.0	3	10	0.23076923076923078	0.1875	1.3125	0.125
11	10	1/2	1/2	4/4	2	1	ii7		a	III		ii7	ii		7					mm7	1	0	2, -1, 3, 0		2.0	2.0	5	12	0.29411764705882354	0.4166666666666667	1.0833333333333333	0.2777777777777778
12	11	3/4	3/4	4/4	2	1	V/iii		a	III		V/iii	V				iii			M	1	0	5, 9, 6		5.0	5.0	0	3	0.0	0.0	0.5625	0.0
13	12	1/4	1/4	4/4	2	1	IM7		a	III		IM7	I	M	7					MM7	1	0	0, 4, 1, 5		0.0	0.0	1	4	0.2	0.08333333333333333	0.6666666666666666	0.1111111111111111
13	12	3/4	3/4	4/4	2	1	V/vi		a	III		V/vi	V				vi			M	1	0	4, 8, 5		4.0	4.0	1	3	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
14	13	0	0	4/4	2	1	viio43		a	III		viio43	vii	o	43					o7	1	0	-1, -4, 5, 2		5.0	-1.0	5	5	0.5	0.4166666666666667	1.0833333333333333	0.2777777777777778
14	13	3/4	3/4	4/4	2	1	V6/V		a	III		V6/V	V		6		V			M	1	0	6, 3, 2		2.0	6.0	1	3	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
15	14	0	0	4/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1.0	1.0	2	7	0.2222222222222222	0.16666666666666666	0.75	0.18181818181818182
15	14	2/3	2/3	4/4	2	1	V2		a	III		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1.0	-1.0	0	4	0.0	0.0	0.3333333333333333	0.0
16	15	0	0	4/4	2	1	I6		a	III		I6	I		6					M	1	0	4, 1, 0		0.0	4.0	0	6	0.0	0.0	0.5	0.0
16	15	1/2	1/2	4/4	2	1	viio6		a	III		viio6	vii	o	6					o	1	0	2, -1, 5		5.0	2.0	0	6	0.0	0.0	0.5	0.0
17	16	0	0	4/4	2	1	I		a	III		I	I							M	1	0	0, 4, 1		0.0	0.0	3	9	0.25	0.25	0.75	0.25
18	17	0	0	4/4	2	1	I6		a	III		I6	I		6					M	1	0	4, 1, 0		0.0	4.0	0	6	0.0	0.0	0.5	0.0
18	17	1/2	1/2	4/4	2	1	viio6		a	III		viio6	vii	o	6					o	1	0	2, -1, 5		5.0	2.0	0	6	0.0	0.0	0.5	0.0
19	18	0	0	4/4	2	1	I		a	III		I	I							M	1	0	0, 4, 1		0.0	0.0	3	9	0.25	0.25	0.75	0.25
20	19	0	0	4/4	2	1	V65/V		a	III		V65/V	V		65		V			Mm7	1	0	6, 3, 0, 2		2.0	6.0	0	6	0.0	0.0	0.5	0.0
20	19	1/2	1/2	4/4	2	1	V(64)		a	III		V(64)	V			64				M	1	0	1, 0, 4		1.0	1.0	0	6	0.0	0.0	0.5	0.0
21	20	0	0	4/4	2	1	viio6/V		a	III		viio6/V	vii	o	6		V			o	1	0	3, 0, 6		6.0	3.0	0	6	0.0	0.0	0.5	0.0
21	20	1/2	1/2	4/4	2	1	vii%7/V		a	III		vii%7/V	vii	%	7		V			%7	1	0	6, 3, 0, 4		6.0	6.0	0	6	0.0	0.0	0.5	0.0
22	21	0	0	4/4	2	1	V7|HC}		a	III		V7	V		7			HC	}	Mm7	1	0	1, 5, 2, -1		1.0	1.0	2	9	0.18181818181818182	0.041666666666666664	2.0833333333333335	0.0196078431372549
23	22	0	0	4/4	2	1	I{		a	III		I	I						{	M	1	0	0, 4, 1		0.0	0.0	0	1	0.0	0.0	0.125	0.0
23	22	7/8	7/8	4/4	2	1	V65/ii		a	III		V65/ii	V		65		ii			Mm7	1	0	7, 4, 1, 3		3.0	7.0	2	4	0.3333333333333333	0.041666666666666664	0.08333333333333333	0.3333333333333333
24	23	0	0	4/4	2	1	ii		a	III		ii	ii							m	1	0	2, -1, 3		2.0	2.0	0	1	0.0	0.0	0.125	0.0
24	23	7/8	7/8	4/4	2	1	V65/V		a	III		V65/V	V		65		V			Mm7	1	0	6, 3, 0, 2		2.0	6.0	2	4	0.3333333333333333	0.041666666666666664	0.08333333333333333	0.3333333333333333
25	24	0	0	4/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1.0	1.0	0	1	0.0	0.0	0.125	0.0
25	24	1/8	1/8	4/4	2	1	V65		a	III		V65	V		65					Mm7	1	0	5, 2, -1, 1		1.0	5.0	2	4	0.3333333333333333	0.041666666666666664	0.08333333333333333	0.3333333333333333
25	24	1/4	1/4	4/4	2	1	I		a	III		I	I							M	1	0	0, 4, 1		0.0	0.0	0	1	0.0	0.0	0.125	0.0
25	24	3/8	3/8	4/4	2	1	V65/IV		a	III		V65/IV	V		65		IV			Mm7	1	0	4, 1, -2, 0		0.0	4.0	2	4	0.3333333333333333	0.041666666666666664	0.08333333333333333	0.3333333333333333
25	24	1/2	1/2	4/4	2	1	IV		a	III		IV	IV							M	1	0	-1, 3, 0		-1.0	-1.0	0	1	0.0	0.0	0.125	0.0
25	24	5/8	5/8	4/4	2	1	V65/V		a	III		V65/V	V		65		V			Mm7	1	0	6, 3, 0, 2		2.0	6.0	2	4	0.3333333333333333	0.041666666666666664	0.08333333333333333	0.3333333333333333
25	24	3/4	3/4	4/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1.0	1.0	0	1	0.0	0.0	0.125	0.0
25	24	7/8	7/8	4/4	2	1	V65		a	III		V65	V		65					Mm7	1	0	5, 2, -1, 1		1.0	5.0	2	4	0.3333333333333333	0.041666666666666664	0.08333333333333333	0.3333333333333333
26	25	0	0	4/4	2	1	I		a	III		I	I							M	1	0	0, 4, 1		0.0	0.0	0	1	0.0	0.0	0.125	0.0
26	25	1/8	1/8	4/4	2	1	V/vi		a	III		V/vi	V				vi			M	1	0	4, 8, 5		4.0	4.0	2	3	0.4	0.0625	0.09375	0.4
26	25	1/4	1/4	4/4	2	1	ii		a	III		ii	ii							m	1	0	2, -1, 3		2.0	2.0	0	4	0.0	0.0	0.5	0.0
26	25	1/2	1/2	4/4	2	1	V(64)		a	III		V(64)	V			64				M	1	0	1, 0, 4		1.0	1.0	0	3	0.0	0.0	0.5	0.0
26	25	3/4	3/4	4/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1.0	1.0	0	3	0.0	0.0	0.5	0.0
27	26	0	0	4/4	2	1	I|PAC}		a	III		I	I					PAC	}	M	1	0	0, 4, 1		0.0	0.0	257	153	0.6268292682926829	25.552083333333332	16.385416666666668	0.6092896174863388
