mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	G.I{						G	I		I		I						{	M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	1.25	0.0
1	1	1/4	1/4	4/4	2	1	V6						G	I		V6		V		6					M	0	0	6, 3, 2		2	6	0	5	0.0	0.0	1.25	0.0
1	1	1/2	1/2	4/4	2	1	vi						G	I		vi		vi							m	0	0	4, 1, 5		4	4	0	8	0.0	0.0	2.25	0.0
2	2	1/4	1/4	4/4	2	1	iii6						G	I		iii6		iii		6					m	0	0	2, 6, 5		5	2	0	5	0.0	0.0	1.25	0.0
2	2	1/2	1/2	4/4	2	1	IV						G	I		IV		IV							M	0	0	0, 4, 1		0	0	3	11	0.21428571428571427	0.046875	2.078125	0.022058823529411766
3	3	1/2	1/2	4/4	2	1	V2(4)						G	I		V2(4)		V		2	4				Mm7	0	0	0, 2, 1, 3		2	0	0	3	0.0	0.0	0.5	0.0
3	3	3/4	3/4	4/4	2	1	V2						G	I		V2		V		2					Mm7	0	0	0, 2, 6, 3		2	0	0	3	0.0	0.0	0.375	0.0
3	3	7/8	7/8	4/4	2	1	I6						G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.375	0.0
4	4	0	0	4/4	2	1	viio6						G	I		viio6		vii	o	6					o	0	0	3, 0, 6		6	3	4	4	0.5	0.25	0.75	0.25
4	4	1/4	1/4	4/4	2	1	viio						G	I		viio		vii	o						o	0	0	6, 3, 0		6	6	0	4	0.0	0.0	0.5	0.0
4	4	3/8	3/8	4/4	2	1	I						G	I		I		I							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.5	0.0
4	4	1/2	1/2	4/4	2	1	V						G	I		V		V							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.625	0.0
4	4	7/8	7/8	4/4	2	1	I6						G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.375	0.0
5	5	0	0	4/4	2	1	viio6						G	I		viio6		vii	o	6					o	0	0	3, 0, 6		6	3	4	4	0.5	0.25	0.75	0.25
5	5	1/4	1/4	4/4	2	1	viio						G	I		viio		vii	o						o	0	0	6, 3, 0		6	6	0	4	0.0	0.0	0.5	0.0
5	5	3/8	3/8	4/4	2	1	I						G	I		I		I							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.5	0.0
5	5	1/2	1/2	4/4	2	1	viio6						G	I		viio6		vii	o	6					o	0	0	3, 0, 6		6	3	0	3	0.0	0.0	0.625	0.0
5	5	7/8	7/8	4/4	2	1	I6						G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.375	0.0
6	6	0	0	4/4	2	1	viio6						G	I		viio6		vii	o	6					o	0	0	3, 0, 6		6	3	4	4	0.5	0.25	0.75	0.25
6	6	1/4	1/4	4/4	2	1	viio						G	I		viio		vii	o						o	0	0	6, 3, 0		6	6	0	4	0.0	0.0	0.5	0.0
6	6	3/8	3/8	4/4	2	1	I						G	I		I		I							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.5	0.0
6	6	1/2	1/2	4/4	2	1	IV					ii6	G	I		IV		IV							M	0	0	0, 4, 1		0	0	4	6	0.4	0.125	0.625	0.16666666666666666
7	7	0	0	4/4	2	1	I6}						G	I		I6		I		6				}	M	0	0	5, 2, 1		1	5	0	5	0.0	0.0	0.4375	0.0
7	7	1/4	1/4	4/4	2	1	viio6						G	I		viio6		vii	o	6					o	0	0	3, 0, 6		6	3	0	3	0.0	0.0	0.3125	0.0
7	7	3/8	3/8	4/4	2	1	I						G	I		I		I							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.1875	0.0
7	7	1/2	1/2	4/4	2	1	V(6)						G	I		V(6)		V			6				M	0	0	2, 6, 5		2	2	1	2	0.3333333333333333	0.0	0.625	0.0
7	7	3/4	3/4	4/4	2	1	V|HC						G	I		V		V					HC		M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
8	8	0	0	4/4	2	1	I6{					iii{	G	I		I6		I		6				{	M	0	0	5, 2, 1		1	5	1	6	0.14285714285714285	0.020833333333333332	0.5416666666666666	0.037037037037037035
8	8	1/2	1/2	4/4	2	1	V65/ii						G	I		V65/ii		V		65		ii			Mm7	0	0	8, 5, 2, 4		4	8	1	11	0.08333333333333333	0.020833333333333332	1.1666666666666667	0.017543859649122806
9	9	0	0	4/4	2	1	ii						G	I		ii		ii							m	0	0	3, 0, 4		3	3	1	11	0.08333333333333333	0.020833333333333332	1.1666666666666667	0.017543859649122806
9	9	1/2	1/2	4/4	2	1	V65						G	I		V65		V		65					Mm7	0	0	6, 3, 0, 2		2	6	1	11	0.08333333333333333	0.020833333333333332	1.1666666666666667	0.017543859649122806
10	10	0	0	4/4	2	1	I						G	I		I		I							M	0	0	1, 5, 2		1	1	1	5	0.16666666666666666	0.020833333333333332	0.3541666666666667	0.05555555555555555
10	10	1/8	1/8	4/4	2	1	vi						G	I		vi		vi							m	0	0	4, 1, 5		4	4	1	5	0.16666666666666666	0.020833333333333332	0.3541666666666667	0.05555555555555555
10	10	1/4	1/4	4/4	2	1	IV						G	I		IV		IV							M	0	0	0, 4, 1		0	0	1	3	0.25	0.020833333333333332	0.10416666666666667	0.16666666666666666
10	10	3/8	3/8	4/4	2	1	ii						G	I		ii		ii							m	0	0	3, 0, 4		3	3	1	3	0.25	0.020833333333333332	0.10416666666666667	0.16666666666666666
10	10	1/2	1/2	4/4	2	1	viio						G	I		viio		vii	o						o	0	0	6, 3, 0		6	6	1	3	0.25	0.020833333333333332	0.10416666666666667	0.16666666666666666
10	10	5/8	5/8	4/4	2	1	V						G	I		V		V							M	0	0	2, 6, 3		2	2	0	1	0.0	0.0	0.125	0.0
10	10	3/4	3/4	4/4	2	1	viio						G	I		viio		vii	o						o	0	0	6, 3, 0		6	6	0	5	0.0	0.0	0.53125	0.0
11	11	0	0	4/4	2	1	I(94)}						G	I		I(94)		I			94			}	M	0	0	1, 0, 2	3	1	1	0	3	0.0	0.0	0.46875	0.0
11	11	1/8	1/8	4/4	2	1	I						G	I		I		I							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.1875	0.0
11	11	7/32	7/32	4/4	2	1	ii6						G	I		ii6		ii		6					m	0	0	0, 4, 3		3	0	0	3	0.0	0.0	0.09375	0.0
11	11	1/4	1/4	4/4	2	1	V(64)						G	I		V(64)		V			64				M	0	0	2, 1, 5		2	2	0	3	0.0	0.0	0.375	0.0
11	11	3/8	3/8	4/4	2	1	V						G	I		V		V							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.375	0.0
11	11	1/2	1/2	4/4	2	1	I|PAC{						G	I		I		I					PAC	{	M	0	0	1, 5, 2		1	1	0	11	0.0	0.0	0.9375	0.0
