mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
2	1	0	0	2/4	2	1	F.I[viio64{	F	I	I	viio64		vii	o	64				{	o	0	0	-2, 4, 1		4	-2	4	6	0.4	0.375	0.5	0.42857142857142855
3	2	0	0	2/4	2	1	I]	F	I	I	I		I							M	0	0	-1, 3, 0		-1	-1	3	7	0.3	0.1875	0.6875	0.21428571428571427
4	3	0	0	2/4	2	1	IV	F	I		IV		IV							M	0	0	-2, 2, -1		-2	-2	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	3	1/4	1/4	2/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	0, 4, 1, -2		0	0	2	5	0.2857142857142857	0.125	0.40625	0.23529411764705882
5	4	0	0	2/4	2	2	I}	F	I		I		I						}	M	0	0	-1, 3, 0		-1	-1	5	10	0.3333333333333333	0.16666666666666666	0.6770833333333334	0.19753086419753085
6	5	0	0	2/4	2	1	vi6{	F	I		vi6		vi		6				{	m	0	0	-1, 3, 2		2	-1	4	9	0.3076923076923077	0.125	0.5625	0.18181818181818182
7	6	0	0	2/4	2	1	V6	F	I		V6		V		6					M	0	0	4, 1, 0		0	4	16	15	0.5161290322580645	0.53125	0.8125	0.3953488372093023
9	8	0	0	2/4	2	1	V.viio43/V	F	V		viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0	2	4	0.3333333333333333	0.125	0.3125	0.2857142857142857
9	8	1/4	1/4	2/4	2	1	V6	F	V		V6		V		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.3125	0.0
9	8	3/8	3/8	2/4	2	1	vii%43/IV	F	V		vii%43/IV		vii	%	43		IV			%7	0	0	-2, 2, 4, 1		4	-2	0	2	0.0	0.0	0.1875	0.0
10	9	0	0	2/4	2	1	IV6	F	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3	0	3	0.0	0.0	0.3125	0.0
10	9	1/8	1/8	2/4	2	1	ii43	F	V		ii43		ii		43					mm7	0	0	3, 0, 2, -1		2	3	0	2	0.0	0.0	0.1875	0.0
10	9	1/4	1/4	2/4	2	1	V6/vi	F	V		V6/vi		V		6		vi			M	0	0	8, 5, 4		4	8	0	3	0.0	0.0	0.3125	0.0
10	9	3/8	3/8	2/4	2	1	vii%43/V/V	F	V		vii%43/V/V		vii	%	43		V/V			%7	0	0	1, 5, 7, 4		7	1	1	2	0.3333333333333333	0.0	0.1875	0.0
11	10	0	0	2/4	2	1	V6/V	F	V		V6/V		V		6		V			M	0	0	6, 3, 2		2	6	1	3	0.25	0.0	0.3125	0.0
11	10	1/8	1/8	2/4	2	1	vii%43	F	V		vii%43		vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1	0	2	0.0	0.0	0.1875	0.0
