mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	1/8	1/8	4/4	2	1	F.v{		F	I		v	v						{	m	0	0	0, -3, 1		0	0	0	3	0.0	0.0	0.375	0.0
1	1	1/4	1/4	4/4	2	1	#viio6/v		F	I		#viio6/v	#vii	o	6		v			o	0	0	2, -1, 5		5	2	0	4	0.0	0.0	0.5	0.0
1	1	3/8	3/8	4/4	2	1	v		F	I		v	v							m	0	0	0, -3, 1		0	0	0	4	0.0	0.0	0.5	0.0
1	1	1/2	1/2	4/4	2	1	V65/v	V65(6)/v	F	I		V65/v	V		65		v			Mm7	0	0	5, 2, -1, 1		1	5	1	4	0.2	0.1875	0.5625	0.25
1	1	3/4	3/4	4/4	2	1	v		F	I		v	v							m	0	0	0, -3, 1		0	0	0	3	0.0	0.0	0.75	0.0
2	2	1/8	1/8	4/4	2	1	vi		F	I		vi	vi							m	0	0	2, -1, 3		2	2	0	3	0.0	0.0	0.375	0.0
2	2	1/4	1/4	4/4	2	1	#viio6/vi		F	I		#viio6/vi	#vii	o	6		vi			o	0	0	4, 1, 7		7	4	0	4	0.0	0.0	0.5	0.0
2	2	3/8	3/8	4/4	2	1	vi		F	I		vi	vi							m	0	0	2, -1, 3		2	2	0	4	0.0	0.0	0.5	0.0
2	2	1/2	1/2	4/4	2	1	V65/vi	V65(6)/vi	F	I		V65/vi	V		65		vi			Mm7	0	0	7, 4, 1, 3		3	7	1	4	0.2	0.1875	0.5625	0.25
2	2	3/4	3/4	4/4	2	1	vi		F	I		vi	vi							m	0	0	2, -1, 3		2	2	0	3	0.0	0.0	0.75	0.0
