mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	C.I[I{	C	I	I	I		I						{	M	0	0	0, 4, 1		0	0	0	5	0.0	0.0	1.75	0.0
1	1	1/2	1/2	3/4	2	1	viio6	C	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2	0	2	0.0	0.0	0.5	0.0
2	2	0	0	3/4	2	1	I(94)	C	I	I	I(94)		I			94				M	0	0	0, -1, 1	2	0	0	0	3	0.0	0.0	1.0	0.0
2	2	1/4	1/4	3/4	2	1	I	C	I	I	I		I							M	0	0	0, 4, 1		0	0	2	4	0.3333333333333333	0.0625	1.0625	0.05555555555555555
3	3	0	0	3/4	2	1	IV	C	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1	0	7	0.0	0.0	0.71875	0.0
3	3	1/4	1/4	3/4	2	1	I]|PC}	C	I	I	I		I					PC	}	M	0	0	0, 4, 1		0	0	0	6	0.0	0.0	1.3125	0.0
4	4	0	0	3/4	2	1	ii6(2)	C	I		ii6(2)		ii		6	2				m	0	0	-1, 3, 4		2	-1	0	3	0.0	0.0	1.25	0.0
4	4	1/4	1/4	3/4	2	1	ii6	C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	0	4	0.0	0.0	0.625	0.0
4	4	11/16	11/16	3/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.1875	0.0
5	5	0	0	3/4	2	1	vi(4)	C	I		vi(4)		vi			4				m	0	0	3, 2, 4		3	3	0	3	0.0	0.0	1.25	0.0
5	5	1/4	1/4	3/4	2	1	vi|DC}	C	I		vi		vi					DC	}	m	0	0	3, 0, 4		3	3	0	1	0.0	0.0	0.375	0.0
5	5	11/16	11/16	3/4	2	1	I6{	C	I		I6		I		6				{	M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.1875	0.0
6	6	0	0	3/4	2	1	IV	C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.75	0.0
6	6	1/4	1/4	3/4	2	1	V	C	I		V		V							M	0	0	1, 5, 2		1	1	1	3	0.25	0.1875	0.5625	0.25
6	6	1/2	1/2	3/4	2	1	V	C	I		V		V							M	0	0	1, 5, 2		1	1	1	3	0.25	0.0625	0.6875	0.08333333333333333
7	7	0	0	3/4	2	1	I|PAC}	C	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0	15	22	0.40540540540540543	0.90625	2.15625	0.29591836734693877
10	10	1/4	1/4	3/4	2	1	vi	C	I		vi		vi							m	0	0	3, 0, 4		3	3	4	4	0.5	0.25	0.25	0.5
11	11	0	0	3/4	2	1	IV	C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	2	2	0.5	0.125	0.125	0.5
11	11	1/4	1/4	3/4	2	1	V/ii	C	I		V/ii		V				ii			M	0	0	3, 7, 4		3	3	1	3	0.25	0.0625	0.1875	0.25
11	11	1/2	1/2	3/4	2	1	ii	C	I		ii		ii							m	0	0	2, -1, 3		2	2	2	2	0.5	0.125	0.125	0.5
12	12	0	0	3/4	2	1	IV(^2)	C	I		IV(^2)		IV			^2				M	0	0	-1, 1, 0		-1	-1	0	1	0.0	0.0	0.25	0.0
12	12	1/4	1/4	3/4	2	1	IV	C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	2	3	0.4	0.125	0.375	0.25
12	12	1/2	1/2	3/4	2	1	ii6	C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	2	3	0.4	0.125	0.375	0.25
13	13	0	0	3/4	2	1	V|HC}	C	I		V		V					HC	}	M	0	0	1, 5, 2		1	1	1	3	0.25	0.125	0.375	0.25
13	13	1/4	1/4	3/4	2	1	V.I{	C	V		I		I						{	M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.875	0.0
13	13	1/2	1/2	3/4	2	1	V6	C	V		V6		V		6					M	0	0	6, 3, 2		2	6	0	3	0.0	0.0	0.5625	0.0
