mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	A.I{			A	I		I		I						{	M	0	0	3, 7, 4		3	3	1	15	0.0625	0.041666666666666664	1.3333333333333333	0.0303030303030303
2	2	0	0	2/4	2	1	IV			A	I		IV		IV							M	0	0	2, 6, 3		2	2	1	15	0.0625	0.041666666666666664	1.3333333333333333	0.0303030303030303
3	3	0	0	2/4	2	1	I6			A	I		I6		I		6					M	0	0	7, 4, 3		3	7	1	5	0.16666666666666666	0.041666666666666664	0.20833333333333334	0.16666666666666666
3	3	1/4	1/4	2/4	2	1	ii			A	I		ii		ii							m	0	0	5, 2, 6		5	5	2	4	0.3333333333333333	0.08333333333333333	0.16666666666666666	0.3333333333333333
4	4	0	0	2/4	2	1	I			A	I		I		I							M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.125	0.0
4	4	1/8	1/8	2/4	2	1	I6			A	I		I6		I		6					M	0	0	7, 4, 3		3	7	0	4	0.0	0.0	0.25	0.0
4	4	1/4	1/4	2/4	2	1	V6			A	I		V6		V		6					M	0	0	8, 5, 4		4	8	0	3	0.0	0.0	0.125	0.0
4	4	3/8	3/8	2/4	2	1	V7			A	I		V7		V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.25	0.0
5	5	0	0	2/4	2	1	I			A	I		I		I							M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.125	0.0
5	5	1/8	1/8	2/4	2	1	I6			A	I		I6		I		6					M	0	0	7, 4, 3		3	7	0	4	0.0	0.0	0.25	0.0
5	5	1/4	1/4	2/4	2	1	V6			A	I		V6		V		6					M	0	0	8, 5, 4		4	8	0	3	0.0	0.0	0.125	0.0
5	5	3/8	3/8	2/4	2	1	V7			A	I		V7		V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	6	0.0	0.0	0.25	0.0
