mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	G.viio6{		G	I		viio6	vii	o	6				{	o	0	0	3, 0, 6		6	3	4	5	0.4444444444444444	0.125	0.375	0.25
1	1	1/4	1/4	3/4	2	1	I		G	I		I	I							M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	0.75	0.0
2	2	0	0	3/4	2	1	#viio6/vi		G	I		#viio6/vi	#vii	o	6		vi			o	0	0	6, 3, 9		9	6	4	5	0.4444444444444444	0.125	0.375	0.25
2	2	1/4	1/4	3/4	2	1	vi		G	I		vi	vi							m	0	0	4, 1, 5		4	4	0	5	0.0	0.0	0.75	0.0
3	3	0	0	3/4	2	1	V65/IV		G	I		V65/IV	V		65		IV			Mm7	0	0	5, 2, -1, 1		1	5	3	6	0.3333333333333333	0.09375	0.40625	0.1875
3	3	1/4	1/4	3/4	2	1	IV		G	I		IV	IV							M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.625	0.0
3	3	3/8	3/8	3/4	2	1	ii6		G	I		ii6	ii		6					m	0	0	0, 4, 3		3	0	2	4	0.3333333333333333	0.125	0.25	0.3333333333333333
4	4	0	0	3/4	2	1	V(4)		G	I		V(4)	V			4				M	0	0	2, 1, 3		2	2	1	3	0.25	0.0625	0.375	0.14285714285714285
4	4	1/4	1/4	3/4	2	1	V		G	I		V	V							M	0	0	2, 6, 3		2	2	4	5	0.4444444444444444	0.125	0.25	0.3333333333333333
4	4	1/2	1/2	3/4	2	1	V7		G	I		V7	V		7					Mm7	0	0	2, 6, 3, 0		2	2	3	5	0.375	0.09375	0.15625	0.375
5	5	0	0	3/4	2	1	I64		G	I		I64	I		64					M	0	0	2, 1, 5		1	2	7	14	0.3333333333333333	0.25	0.8125	0.23529411764705882
6	6	0	0	3/4	2	1	V		G	I		V	V							M	0	0	2, 6, 3		2	2	5	10	0.3333333333333333	0.1875	0.75	0.2
6	6	1/2	1/2	3/4	2	1	V7		G	I		V7	V		7					Mm7	0	0	2, 6, 3, 0		2	2	3	5	0.375	0.09375	0.15625	0.375
7	7	0	0	3/4	2	1	I64		G	I		I64	I		64					M	0	0	2, 1, 5		1	2	7	14	0.3333333333333333	0.25	0.6875	0.26666666666666666
8	8	0	0	3/4	2	1	V|HC}		G	I		V	V					HC	}	M	0	0	2, 6, 3		2	2	0	13	0.0	0.0	0.8125	0.0
9	9	0	0	3/4	2	1	iv6{		G	I		iv6	iv		6				{	m	0	0	-3, 1, 0		0	-3	0	4	0.0	0.0	0.625	0.0
9	9	1/4	1/4	3/4	2	1	#viio6(2)/iv		G	I		#viio6(2)/iv	#vii	o	6	2	iv			o	0	0	2, -1, 0		5	2	1	3	0.25	0.125	0.75	0.14285714285714285
9	9	1/2	1/2	3/4	2	1	#viio6/iv		G	I		#viio6/iv	#vii	o	6		iv			o	0	0	2, -1, 5		5	2	1	3	0.25	0.0625	0.4375	0.125
10	10	0	0	3/4	2	1	iv(9)		G	I		iv(9)	iv			9				m	0	0	0, -3, 1	2	0	0	1	4	0.2	0.0625	0.4375	0.125
10	10	1/4	1/4	3/4	2	1	iv		G	I		iv	iv							m	0	0	0, -3, 1		0	0	0	5	0.0	0.0	0.6875	0.0
11	11	0	0	3/4	2	1	V(64)/v		G	I		V(64)/v	V			64	v			M	0	0	3, 2, -1		3	3	1	3	0.25	0.0625	0.1875	0.25
11	11	1/4	1/4	3/4	2	1	V7/v		G	I		V7/v	V		7		v			Mm7	0	0	3, 7, 4, 1		3	3	2	6	0.25	0.125	0.375	0.25
12	12	0	0	3/4	2	1	i/v|PAC}		G	I		i/v	i				v	PAC	}	m	0	0	2, -1, 3		2	2	2	7	0.2222222222222222	0.125	1.0	0.1111111111111111
13	13	0	0	3/4	2	1	vi6{		G	I		vi6	vi		6				{	m	0	0	1, 5, 4		4	1	0	4	0.0	0.0	0.5	0.0
13	13	1/4	1/4	3/4	2	1	V43/vi		G	I		V43/vi	V		43		vi			Mm7	0	0	6, 3, 5, 9		5	6	1	4	0.2	0.0625	0.4375	0.125
13	13	1/2	1/2	3/4	2	1	V65/vi		G	I		V65/vi	V		65		vi			Mm7	0	0	9, 6, 3, 5		5	9	1	5	0.16666666666666666	0.0625	0.4375	0.125
14	14	0	0	3/4	2	1	vi		G	I		vi	vi							m	0	0	4, 1, 5		4	4	2	6	0.25	0.125	0.875	0.125
14	14	1/2	1/2	3/4	2	1	I64		G	I		I64	I		64					M	0	0	2, 1, 5		1	2	1	3	0.25	0.0625	0.3125	0.16666666666666666
15	15	0	0	3/4	2	1	IV		G	I		IV	IV							M	0	0	0, 4, 1		0	0	1	3	0.25	0.125	0.375	0.25
15	15	1/4	1/4	3/4	2	1	I6		G	I		I6	I		6					M	0	0	5, 2, 1		1	5	4	8	0.3333333333333333	0.21875	0.78125	0.21875
16	16	0	0	3/4	2	1	ii7(4)		G	I		ii7(4)	ii		7	4				mm7	0	0	3, 2, 4, 1		3	3	0	3	0.0	0.0	0.5	0.0
16	16	1/4	1/4	3/4	2	1	viio6		G	I		viio6	vii	o	6					o	0	0	3, 0, 6		6	3	1	4	0.2	0.0625	0.4375	0.125
16	16	1/2	1/2	3/4	2	1	I|IAC}		G	I		I	I					IAC	}	M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.5	0.0
17	17	0	0	3/4	2	1	V.V2{		G	V		V2	V		2				{	Mm7	0	0	1, 3, 7, 4		3	1	6	12	0.3333333333333333	0.1875	1.3125	0.125
17	17	1/2	1/2	3/4	2	1	I6		G	V		I6	I		6					M	0	0	6, 3, 2		2	6	4	6	0.4	0.125	0.625	0.16666666666666666
18	18	0	0	3/4	2	1	V6	V65	G	V		V6	V		6					M	0	0	7, 4, 3		3	7	8	10	0.4444444444444444	0.25	1.25	0.16666666666666666
