mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
11	11	3/8	3/8	2/4	2	1	V2/iv		f	i		V2/iv		V		2		iv			Mm7	1	1	-3, -1, 3, 0		-1	-3	0	2	0.0	0.0	0.25	0.0
12	12	0	0	2/4	2	1	iv6		f	i		iv6		iv		6					m	1	1	-5, -1, -2		-2	-5	2	3	0.4	0.1875	0.5625	0.25
12	12	1/4	1/4	2/4	2	1	iv		f	i		iv		iv							m	1	1	-2, -5, -1		-2	-2	2	3	0.4	0.1875	0.5625	0.25
13	13	0	0	2/4	2	1	iv6		f	i		iv6		iv		6					m	1	1	-5, -1, -2		-2	-5	4	5	0.4444444444444444	0.125	0.625	0.16666666666666666
13	13	1/4	1/4	2/4	2	1	V(4)/III		f	i		V(4)/III		V			4	III			M	1	1	-3, -4, -2		-3	-3	0	2	0.0	0.0	0.25	0.0
13	13	3/8	3/8	2/4	2	1	V2/III		f	i		V2/III		V		2		III			Mm7	1	1	-5, -3, 1, -2		-3	-5	0	3	0.0	0.0	0.375	0.0
14	14	0	0	2/4	2	1	III.I6|IAC}{		f	III		I6		I		6			IAC	}{	M	1	0	0, -3, -4		-4	0	0	7	0.0	0.0	0.625	0.0
14	14	1/4	1/4	2/4	2	1	viio6		f	III		viio6		vii	o	6					o	1	0	-2, -5, 1		1	-2	1	2	0.3333333333333333	0.0625	0.1875	0.25
14	14	3/8	3/8	2/4	2	1	vi6		f	III		vi6		vi		6					m	1	0	-4, 0, -1		-1	-4	1	2	0.3333333333333333	0.0625	0.1875	0.25
15	15	0	0	2/4	2	1	vii%7		f	III		vii%7		vii	%	7					%7	1	0	1, -2, -5, -1		1	1	0	3	0.0	0.0	0.25	0.0
15	15	1/8	1/8	2/4	2	1	V65		f	III		V65		V		65					Mm7	1	0	1, -2, -5, -3		-3	1	1	10	0.09090909090909091	0.09375	1.03125	0.08333333333333333
16	16	0	0	2/4	2	1	I		f	III		I		I							M	1	0	-4, 0, -3		-4	-4	1	3	0.25	0.0	0.375	0.0
16	16	1/8	1/8	2/4	2	1	V		f	III		V		V							M	1	0	-3, 1, -2		-3	-3	4	4	0.5	0.3125	0.40625	0.43478260869565216
17	17	0	0	2/4	2	1	I6}		f	III		I6		I		6				}	M	1	0	0, -3, -4		-4	0	0	7	0.0	0.0	0.75	0.0
18	18	0	0	2/4	2	1	ii6		f	III		ii6		ii		6					m	1	0	-5, -1, -2		-2	-5	0	4	0.0	0.0	0.4375	0.0
18	18	1/4	1/4	2/4	2	1	V		f	III		V		V							M	1	0	-3, 1, -2		-3	-3	2	3	0.4	0.0625	0.25	0.2
19	19	0	0	2/4	2	1	vi		f	III		vi		vi							m	1	0	-1, -4, 0		-1	-1	1	3	0.25	0.0625	0.3125	0.16666666666666666
19	19	1/4	1/4	2/4	2	1	I6		f	III		I6		I		6					M	1	0	0, -3, -4		-4	0	0	7	0.0	0.0	0.75	0.0
20	20	0	0	2/4	2	1	ii6		f	III		ii6		ii		6					m	1	0	-5, -1, -2		-2	-5	0	6	0.0	0.0	0.6875	0.0
20	20	1/4	1/4	2/4	2	1	V		f	III		V		V							M	1	0	-3, 1, -2		-3	-3	3	7	0.3	0.125	0.625	0.16666666666666666
21	21	0	0	2/4	2	1	vi|DC}		f	III		vi		vi					DC	}	m	1	0	-1, -4, 0		-1	-1	1	3	0.25	0.0	1.5	0.0
22	22	0	0	2/4	2	1	V7/V{		f	III		V7/V		V		7		V		{	Mm7	1	0	-2, 2, -1, -4		-2	-2	4	41	0.08888888888888889	0.171875	4.640625	0.03571428571428571
25	25	0	0	2/4	2	1	V(4)}		f	III		V(4)		V			4			}	M	1	0	-3, -4, -2		-3	-3	1	4	0.2	0.0	0.5	0.0
25	25	1/4	1/4	2/4	2	1	V|HC		f	III		V		V					HC		M	1	0	-3, 1, -2		-3	-3	2	3	0.4	0.125	0.25	0.3333333333333333
26	26	0	0	2/4	2	1	I{		f	III		I		I						{	M	1	0	-4, 0, -3		-4	-4	1	10	0.09090909090909091	0.03125	1.09375	0.027777777777777776
27	27	0	0	2/4	2	1	V7		f	III		V7		V		7					Mm7	1	0	-3, 1, -2, -5		-3	-3	1	11	0.08333333333333333	0.0625	1.4375	0.041666666666666664
28	28	0	0	2/4	2	1	I		f	III		I		I							M	1	0	-4, 0, -3		-4	-4	1	12	0.07692307692307693	0.03125	1.34375	0.022727272727272728
29	29	0	0	2/4	2	1	V7		f	III		V7		V		7					Mm7	1	0	-3, 1, -2, -5		-3	-3	1	11	0.08333333333333333	0.0625	1.4375	0.041666666666666664
30	30	0	0	2/4	2	1	I		f	III		I		I							M	1	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.375	0.0
30	30	1/8	1/8	2/4	2	1	vi		f	III		vi		vi							m	1	0	-1, -4, 0		-1	-1	0	4	0.0	0.0	0.5	0.0
30	30	1/4	1/4	2/4	2	1	I64		f	III		I64		I		64					M	1	0	-3, -4, 0		-4	-3	0	4	0.0	0.0	0.5	0.0
30	30	3/8	3/8	2/4	2	1	IV		f	III		IV		IV							M	1	0	-5, -1, -4		-5	-5	0	3	0.0	0.0	0.375	0.0
31	31	0	0	2/4	2	1	I6		f	III		I6		I		6					M	1	0	0, -3, -4		-4	0	0	3	0.0	0.0	0.375	0.0
31	31	1/8	1/8	2/4	2	1	IV		f	III		IV		IV							M	1	0	-5, -1, -4		-5	-5	0	3	0.0	0.0	0.5	0.0
31	31	3/8	3/8	2/4	2	1	ii6		f	III		ii6		ii		6					m	1	0	-5, -1, -2		-2	-5	2	3	0.4	0.0625	0.1875	0.25
32	32	0	0	2/4	2	1	V(64)		f	III		V(64)		V			64				M	1	0	-3, -4, 0		-3	-3	1	6	0.14285714285714285	0.041666666666666664	0.5833333333333334	0.06666666666666667
32	32	1/4	1/4	2/4	2	1	V7		f	III		V7		V		7					Mm7	1	0	-3, 1, -2, -5		-3	-3	1	6	0.14285714285714285	0.041666666666666664	0.7083333333333334	0.05555555555555555
33	33	0	0	2/4	2	1	I|IAC}{		f	III		I		I					IAC	}{	M	1	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.375	0.0
33	33	1/8	1/8	2/4	2	1	vi		f	III		vi		vi							m	1	0	-1, -4, 0		-1	-1	0	4	0.0	0.0	0.5	0.0
33	33	1/4	1/4	2/4	2	1	I64		f	III		I64		I		64					M	1	0	-3, -4, 0		-4	-3	0	4	0.0	0.0	0.5	0.0
33	33	3/8	3/8	2/4	2	1	IV		f	III		IV		IV							M	1	0	-5, -1, -4		-5	-5	0	3	0.0	0.0	0.375	0.0
34	34	0	0	2/4	2	1	I6		f	III		I6		I		6					M	1	0	0, -3, -4		-4	0	0	3	0.0	0.0	0.375	0.0
34	34	1/8	1/8	2/4	2	1	IV		f	III		IV		IV							M	1	0	-5, -1, -4		-5	-5	5	11	0.3125	0.06944444444444445	1.0555555555555556	0.0617283950617284
35	35	0	0	2/4	2	1	V(64)		f	III		V(64)		V			64				M	1	0	-3, -4, 0		-3	-3	4	5	0.4444444444444444	0.041666666666666664	0.4583333333333333	0.08333333333333333
35	35	1/4	1/4	2/4	2	1	V7		f	III		V7		V		7					Mm7	1	0	-3, 1, -2, -5		-3	-3	1	10	0.09090909090909091	0.03125	1.21875	0.025
36	36	0	0	2/4	2	1	I|PAC}	1	f	III		I		I					PAC	}	M	1	0	-4, 0, -3		-4	-4	5	5	0.5	0.3125	0.5	0.38461538461538464
37	36	0	0	2/4	2	1	I|PAC}	2	f	III		I		I					PAC	}	M	1	0	-4, 0, -3		-4	-4	0	10	0.0	0.0	0.8125	0.0
38	37	0	0	2/4	2	1	V/ii{		f	III		V/ii		V				ii		{	M	1	0	-1, 3, 0		-1	-1	4	8	0.3333333333333333	0.25	1.0	0.2
39	38	0	0	2/4	2	1	V65/V/ii		f	III		V65/V/ii		V		65		V/ii			Mm7	1	0	4, 1, -2, 0		0	4	2	3	0.4	0.0625	0.5625	0.1
39	38	1/4	1/4	2/4	2	1	V/ii		f	III		V/ii		V				ii			M	1	0	-1, 3, 0		-1	-1	2	4	0.3333333333333333	0.1875	0.4375	0.3
40	39	0	0	2/4	2	1	ii6(2)		f	III		ii6(2)		ii		6	2				m	1	0	-5, -1, 0		-2	-5	0	4	0.0	0.0	0.375	0.0
40	39	1/8	1/8	2/4	2	1	ii6		f	III		ii6		ii		6					m	1	0	-5, -1, -2		-2	-5	0	4	0.0	0.0	0.75	0.0
40	39	1/4	1/4	2/4	2	1	ii%43/v		f	III		ii%43/v		ii	%	43		v			%7	1	0	-7, -3, -1, -4		-1	-7	0	5	0.0	0.0	0.625	0.0
41	40	0	0	2/4	2	1	V7/v		f	III		V7/v		V		7		v			Mm7	1	0	-2, 2, -1, -4		-2	-2	1	4	0.2	0.015625	0.359375	0.041666666666666664
41	40	1/8	1/8	2/4	2	1	V(64)/v		f	III		V(64)/v		V			64	v			M	1	0	-2, -3, -6		-2	-2	1	7	0.125	0.041666666666666664	0.7083333333333334	0.05555555555555555
41	40	3/8	3/8	2/4	2	1	V7/v		f	III		V7/v		V		7		v			Mm7	1	0	-2, 2, -1, -4		-2	-2	1	4	0.2	0.041666666666666664	0.3333333333333333	0.1111111111111111
42	41	0	0	2/4	2	1	v		f	III		v		v							m	1	0	-3, -6, -2		-3	-3	1	7	0.125	0.03125	0.71875	0.041666666666666664
42	41	1/4	1/4	2/4	2	1	i.iv65		f	i		iv65		iv		65					mm7	1	1	-5, -1, -4, -2		-2	-5	2	6	0.25	0.0625	0.5625	0.1
43	42	0	0	2/4	2	1	V7		f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	1	3	0.25	0.0	0.375	0.0
43	42	1/8	1/8	2/4	2	1	V(64)		f	i		V(64)		V			64				M	1	1	0, -1, -4		0	0	1	7	0.125	0.041666666666666664	0.7083333333333334	0.05555555555555555
43	42	3/8	3/8	2/4	2	1	V7		f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	1	4	0.2	0.041666666666666664	0.3333333333333333	0.1111111111111111
44	43	0	0	2/4	2	1	i		f	i		i		i							m	1	1	-1, -4, 0		-1	-1	0	6	0.0	0.0	0.75	0.0
44	43	1/4	1/4	2/4	2	1	VI6		f	i		VI6		VI		6					M	1	1	-1, -4, -5		-5	-1	4	7	0.36363636363636365	0.125	0.625	0.16666666666666666
45	44	0	0	2/4	2	1	#viio7		f	i		#viio7		#vii	o	7					o7	1	1	4, 1, -2, -5		4	4	2	6	0.25	0.08333333333333333	0.6666666666666666	0.1111111111111111
45	44	1/4	1/4	2/4	2	1	v6		f	i		v6		v		6					m	1	1	-3, 1, 0		0	-3	4	5	0.4444444444444444	0.15625	0.59375	0.20833333333333334
46	45	0	0	2/4	2	1	ii%7(4)/V		f	i		ii%7(4)/V		ii	%	7	4	V			%7	1	1	2, 1, -4, 0		2	2	1	6	0.14285714285714285	0.041666666666666664	0.7083333333333334	0.05555555555555555
46	45	1/4	1/4	2/4	2	1	Fr6		f	i		Fr6	Fr	V		43	b5	V			Fr	1	1	-5, -1, 1, 5		1	-5	0	5	0.0	0.0	0.625	0.0
47	46	0	0	2/4	2	1	V|HC}		f	i		V		V					HC	}	M	1	1	0, 4, 1		0	0	1	4	0.2	0.03125	0.46875	0.0625
47	46	1/4	1/4	2/4	2	1	V7(9){		f	i		V7(9)		V		7	9			{	Mm7	1	1	0, 4, 1, -2	-5	0	0	2	11	0.15384615384615385	0.125	1.0	0.1111111111111111
48	47	1/8	1/8	2/4	2	1	i64		f	i		i64		i		64					m	1	1	0, -1, -4		-1	0	4	11	0.26666666666666666	0.25	0.875	0.2222222222222222
49	48	0	0	2/4	2	1	V(64)		f	i		V(64)		V			64				M	1	1	0, -1, -4		0	0	0	3	0.0	0.0	0.375	0.0
49	48	1/8	1/8	2/4	2	1	V		f	i		V		V							M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	0.375	0.0
49	48	1/4	1/4	2/4	2	1	#viio43		f	i		#viio43		#vii	o	43					o7	1	1	-2, -5, 4, 1		4	-2	1	8	0.1111111111111111	0.03125	0.96875	0.03125
50	49	0	0	2/4	2	1	i6		f	i		i6		i		6					m	1	1	-4, 0, -1		-1	-4	1	4	0.2	0.0625	0.375	0.14285714285714285
50	49	1/4	1/4	2/4	2	1	V6		f	i		V6		V		6					M	1	1	4, 1, 0		0	4	2	3	0.4	0.020833333333333332	0.22916666666666666	0.08333333333333333
50	49	3/8	3/8	2/4	2	1	i		f	i		i		i							m	1	1	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.25	0.0
51	50	0	0	2/4	2	1	V(64)		f	i		V(64)		V			64				M	1	1	0, -1, -4		0	0	0	3	0.0	0.0	0.375	0.0
51	50	1/8	1/8	2/4	2	1	V		f	i		V		V							M	1	1	0, 4, 1		0	0	4	4	0.5	0.3125	0.375	0.45454545454545453
52	51	0	0	2/4	2	1	i6}		f	i		i6		i		6				}	m	1	1	-4, 0, -1		-1	-4	0	7	0.0	0.0	0.75	0.0
53	52	0	0	2/4	2	1	iio6		f	i		iio6		ii	o	6					o	1	1	-2, -5, 1		1	-2	0	4	0.0	0.0	0.4375	0.0
53	52	1/4	1/4	2/4	2	1	V		f	i		V		V							M	1	1	0, 4, 1		0	0	2	4	0.3333333333333333	0.0625	0.25	0.2
54	53	0	0	2/4	2	1	VI		f	i		VI		VI							M	1	1	-5, -1, -4		-5	-5	1	3	0.25	0.0625	0.3125	0.16666666666666666
54	53	1/4	1/4	2/4	2	1	i6		f	i		i6		i		6					m	1	1	-4, 0, -1		-1	-4	0	7	0.0	0.0	0.75	0.0
55	54	0	0	2/4	2	1	iio6		f	i		iio6		ii	o	6					o	1	1	-2, -5, 1		1	-2	0	6	0.0	0.0	0.6875	0.0
55	54	1/4	1/4	2/4	2	1	V		f	i		V		V							M	1	1	0, 4, 1		0	0	3	7	0.3	0.125	0.625	0.16666666666666666
56	55	0	0	2/4	2	1	VI|DC}		f	i		VI		VI					DC	}	M	1	1	-5, -1, -4		-5	-5	1	3	0.25	0.0	1.5	0.0
57	56	0	0	2/4	2	1	V7/V{		f	i		V7/V		V		7		V		{	Mm7	1	1	1, 5, 2, -1		1	1	4	41	0.08888888888888889	0.171875	4.640625	0.03571428571428571
60	59	0	0	2/4	2	1	V(4)}		f	i		V(4)		V			4			}	M	1	1	0, -1, 1		0	0	1	4	0.2	0.0	0.5	0.0
60	59	1/4	1/4	2/4	2	1	V|HC		f	i		V		V					HC		M	1	1	0, 4, 1		0	0	2	3	0.4	0.125	0.25	0.3333333333333333
61	60	0	0	2/4	2	1	i{		f	i		i		i						{	m	1	1	-1, -4, 0		-1	-1	1	10	0.09090909090909091	0.03125	1.09375	0.027777777777777776
62	61	0	0	2/4	2	1	V7		f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	1	11	0.08333333333333333	0.0625	1.4375	0.041666666666666664
63	62	0	0	2/4	2	1	i		f	i		i		i							m	1	1	-1, -4, 0		-1	-1	1	12	0.07692307692307693	0.03125	1.34375	0.022727272727272728
64	63	0	0	2/4	2	1	V7		f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	1	11	0.08333333333333333	0.0625	1.4375	0.041666666666666664
65	64	0	0	2/4	2	1	i		f	i		i		i							m	1	1	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.375	0.0
65	64	1/8	1/8	2/4	2	1	VI		f	i		VI		VI							M	1	1	-5, -1, -4		-5	-5	0	4	0.0	0.0	0.5	0.0
65	64	1/4	1/4	2/4	2	1	i64		f	i		i64		i		64					m	1	1	0, -1, -4		-1	0	0	4	0.0	0.0	0.5	0.0
65	64	3/8	3/8	2/4	2	1	iv		f	i		iv		iv							m	1	1	-2, -5, -1		-2	-2	0	3	0.0	0.0	0.375	0.0
66	65	0	0	2/4	2	1	i6		f	i		i6		i		6					m	1	1	-4, 0, -1		-1	-4	0	3	0.0	0.0	0.375	0.0
66	65	1/8	1/8	2/4	2	1	iv		f	i		iv		iv							m	1	1	-2, -5, -1		-2	-2	0	3	0.0	0.0	0.5	0.0
66	65	3/8	3/8	2/4	2	1	iio6		f	i		iio6		ii	o	6					o	1	1	-2, -5, 1		1	-2	2	3	0.4	0.0625	0.1875	0.25
67	66	0	0	2/4	2	1	V(64)		f	i		V(64)		V			64				M	1	1	0, -1, -4		0	0	1	6	0.14285714285714285	0.041666666666666664	0.5833333333333334	0.06666666666666667
67	66	1/4	1/4	2/4	2	1	V7		f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	1	6	0.14285714285714285	0.041666666666666664	0.7083333333333334	0.05555555555555555
68	67	0	0	2/4	2	1	i|IAC}{		f	i		i		i					IAC	}{	m	1	1	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.375	0.0
68	67	1/8	1/8	2/4	2	1	VI		f	i		VI		VI							M	1	1	-5, -1, -4		-5	-5	0	4	0.0	0.0	0.5	0.0
68	67	1/4	1/4	2/4	2	1	i64		f	i		i64		i		64					m	1	1	0, -1, -4		-1	0	0	4	0.0	0.0	0.5	0.0
68	67	3/8	3/8	2/4	2	1	iv		f	i		iv		iv							m	1	1	-2, -5, -1		-2	-2	0	3	0.0	0.0	0.375	0.0
69	68	0	0	2/4	2	1	i6		f	i		i6		i		6					m	1	1	-4, 0, -1		-1	-4	0	3	0.0	0.0	0.375	0.0
69	68	1/8	1/8	2/4	2	1	iv		f	i		iv		iv							m	1	1	-2, -5, -1		-2	-2	6	10	0.375	0.08333333333333333	1.0416666666666667	0.07407407407407407
70	69	0	0	2/4	2	1	V(64)		f	i		V(64)		V			64				M	1	1	0, -1, -4		0	0	3	4	0.42857142857142855	0.046875	0.453125	0.09375
70	69	1/4	1/4	2/4	2	1	V7		f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	1	10	0.09090909090909091	0.03125	1.21875	0.025
71	70	0	0	2/4	2	1	i|PAC}	1	f	i		i		i					PAC	}	m	1	1	-1, -4, 0		-1	-1	3	7	0.3	0.1875	0.625	0.23076923076923078
72	70	0	0	2/4	2	1	i|PAC}	2	f	i		i		i					PAC	}	m	1	1	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.75	0.0
