mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	f.i{		f	i		i		i						{	m	1	1	-1, -4, 0		-1	-1	4	8	0.3333333333333333	0.25	1.0	0.2
2	2	0	0	2/4	2	1	V65		f	i		V65		V		65					Mm7	1	1	4, 1, -2, 0		0	4	2	3	0.4	0.0625	0.5625	0.1
2	2	1/4	1/4	2/4	2	1	i		f	i		i		i							m	1	1	-1, -4, 0		-1	-1	0	7	0.0	0.0	0.625	0.0
3	3	0	0	2/4	2	1	VII6		f	i		VII6		VII		6					M	1	1	1, -2, -3		-3	1	1	4	0.2	0.0625	0.6875	0.08333333333333333
3	3	1/4	1/4	2/4	2	1	VI6		f	i		VI6		VI		6					M	1	1	-1, -4, -5		-5	-1	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
4	4	0	0	2/4	2	1	V65		f	i		V65		V		65					Mm7	1	1	4, 1, -2, 0		0	4	2	6	0.25	0.125	0.75	0.14285714285714285
4	4	3/8	3/8	2/4	2	1	VI6		f	i		VI6		VI		6					M	1	1	-1, -4, -5		-5	-1	0	3	0.0	0.0	0.3125	0.0
5	5	0	0	2/4	2	1	vo6		f	i		vo6		v	o	6					o	1	1	-3, -6, 0		0	-3	1	6	0.14285714285714285	0.0625	0.4375	0.125
5	5	1/4	1/4	2/4	2	1	iv6		f	i		iv6		iv		6					m	1	1	-5, -1, -2		-2	-5	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
6	6	0	0	2/4	2	1	III6		f	i		III6		III		6					M	1	1	0, -3, -4		-4	0	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
6	6	1/4	1/4	2/4	2	1	iio6		f	i		iio6		ii	o	6					o	1	1	-2, -5, 1		1	-2	2	5	0.2857142857142857	0.1875	0.5625	0.25
7	7	0	0	2/4	2	1	i6		f	i		i6		i		6					m	1	1	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.625	0.0
7	7	1/4	1/4	2/4	2	1	iv		f	i		iv		iv							m	1	1	-2, -5, -1		-2	-2	0	3	0.0	0.0	0.375	0.0
7	7	3/8	3/8	2/4	2	1	iio6		f	i		iio6		ii	o	6					o	1	1	-2, -5, 1		1	-2	2	4	0.3333333333333333	0.0625	0.3125	0.16666666666666666
8	8	0	0	2/4	2	1	V(64)}		f	i		V(64)		V			64			}	M	1	1	0, -1, -4		0	0	0	3	0.0	0.0	0.625	0.0
8	8	1/4	1/4	2/4	2	1	V|HC		f	i		V		V					HC		M	1	1	0, 4, 1		0	0	3	4	0.42857142857142855	0.25	0.375	0.4
9	9	0	0	2/4	2	1	i{		f	i		i		i						{	m	1	1	-1, -4, 0		-1	-1	4	8	0.3333333333333333	0.25	1.0	0.2
10	10	0	0	2/4	2	1	V65		f	i		V65		V		65					Mm7	1	1	4, 1, -2, 0		0	4	2	3	0.4	0.0625	0.5625	0.1
10	10	1/4	1/4	2/4	2	1	i		f	i		i		i							m	1	1	-1, -4, 0		-1	-1	1	4	0.2	0.0625	0.5	0.1111111111111111
11	11	0	0	2/4	2	1	iv6/iv		f	i		iv6/iv		iv		6		iv			m	1	1	-6, -2, -3		-3	-6	2	3	0.4	0.0625	0.4375	0.125
11	11	1/4	1/4	2/4	2	1	V(4)/iv		f	i		V(4)/iv		V			4	iv			M	1	1	-1, -2, 0		-1	-1	0	3	0.0	0.0	0.5	0.0
