mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	f.i{			f	i		i	i						{	m	1	1	-1, -4, 0		-1	-1	0	11	0.0	0.0	1.8125	0.0
2	2	0	0	4/4	2	1	V6			f	i		V6	V		6					M	1	1	4, 1, 0		0	4	0	4	0.0	0.0	1.0	0.0
2	2	1/2	1/2	4/4	2	1	V			f	i		V	V							M	1	1	0, 4, 1		0	0	2	3	0.4	0.25	0.5625	0.3076923076923077
3	3	0	0	4/4	2	1	i			f	i		i	i							m	1	1	-1, -4, 0		-1	-1	0	12	0.0	0.0	2.0	0.0
4	4	0	0	4/4	2	1	V6			f	i		V6	V		6					M	1	1	4, 1, 0		0	4	0	4	0.0	0.0	1.0	0.0
4	4	1/2	1/2	4/4	2	1	V			f	i		V	V							M	1	1	0, 4, 1		0	0	3	5	0.375	0.1875	0.6875	0.21428571428571427
5	5	0	0	4/4	2	1	i			f	i		i	i							m	1	1	-1, -4, 0		-1	-1	1	11	0.08333333333333333	0.1875	1.8125	0.09375
6	6	0	0	4/4	2	1	V6/III			f	i		V6/III	V		6		III			M	1	1	1, -2, -3		-3	1	2	5	0.2857142857142857	0.125	2.375	0.05
7	7	0	0	4/4	2	1	III(^9)			f	i		III(^9)	III			^9				M	1	1	-4, 0, -3	-2	-4	-4	0	2	0.0	0.0	0.75	0.0
7	7	1/4	1/4	4/4	2	1	III		i6	f	i		III	III							M	1	1	-4, 0, -3		-4	-4	1	1	0.5	0.0625	0.1875	0.25
7	7	1/2	1/2	4/4	2	1	iv		iio6	f	i		iv	iv							m	1	1	-2, -5, -1		-2	-2	3	4	0.42857142857142855	0.25	0.75	0.25
8	8	0	0	4/4	2	1	V(4)}			f	i		V(4)	V			4			}	M	1	1	0, -1, 1		0	0	0	2	0.0	0.0	0.5	0.0
8	8	1/4	1/4	4/4	2	1	V7|HC			f	i		V7	V		7			HC		Mm7	1	1	0, 4, 1, -2		0	0	6	10	0.375	0.4583333333333333	1.0416666666666667	0.3055555555555555
9	9	0	0	4/4	2	1	i6{			f	i		i6	i		6				{	m	1	1	-4, 0, -1		-1	-4	0	5	0.0	0.0	0.75	0.0
9	9	1/2	1/2	4/4	2	1	i			f	i		i	i							m	1	1	-1, -4, 0		-1	-1	0	6	0.0	0.0	1.0	0.0
10	10	0	0	4/4	2	1	V6			f	i		V6	V		6					M	1	1	4, 1, 0		0	4	2	4	0.3333333333333333	0.16666666666666666	0.8333333333333334	0.16666666666666666
10	10	1/2	1/2	4/4	2	1	V			f	i		V	V							M	1	1	0, 4, 1		0	0	3	5	0.375	0.1875	0.6875	0.21428571428571427
11	11	0	0	4/4	2	1	i			f	i		i	i							m	1	1	-1, -4, 0		-1	-1	0	12	0.0	0.0	2.0	0.0
12	12	0	0	4/4	2	1	V6			f	i		V6	V		6					M	1	1	4, 1, 0		0	4	1	5	0.16666666666666666	0.08333333333333333	0.9166666666666666	0.08333333333333333
12	12	1/2	1/2	4/4	2	1	V			f	i		V	V							M	1	1	0, 4, 1		0	0	2	3	0.4	0.25	0.5625	0.3076923076923077
13	13	0	0	4/4	2	1	i			f	i		i	i							m	1	1	-1, -4, 0		-1	-1	1	11	0.08333333333333333	0.1875	1.8125	0.09375
14	14	0	0	4/4	2	1	v.#viio64(2)			f	v		#viio64(2)	#vii	o	64	2				o	1	1	-1, 0, 2		5	-1	0	1	0.0	0.0	0.25	0.0
14	14	1/4	1/4	4/4	2	1	#viio64			f	v		#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1	0	4	0.0	0.0	0.75	0.0
14	14	1/2	1/2	4/4	2	1	i			f	v		i	i							m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	0.75	0.0
14	14	3/4	3/4	4/4	2	1	V65			f	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5	0	4	0.0	0.0	0.75	0.0
15	15	0	0	4/4	2	1	i			f	v		i	i							m	1	1	0, -3, 1		0	0	3	5	0.375	0.25	0.75	0.25
15	15	1/2	1/2	4/4	2	1	bII6			f	v		bII6	bII		6					M	1	1	-1, -4, -5		-5	-1	3	4	0.42857142857142855	0.25	0.75	0.25
16	16	0	0	4/4	2	1	V[V(4)}{			f	v	V	V(4)	V			4			}{	M	1	1	1, 0, 2		1	1	1	3	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
16	16	1/4	1/4	4/4	2	1	V			f	v	V	V	V							M	1	1	1, 5, 2		1	1	2	6	0.25	0.16666666666666666	1.0	0.14285714285714285
16	16	3/4	3/4	4/4	2	1	V7			f	v	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	1	3	0.25	0.08333333333333333	0.5833333333333334	0.12499999999999999
17	17	0	0	4/4	2	1	i			f	v	V	i	i							m	1	1	0, -3, 1		0	0	2	6	0.25	0.16666666666666666	1.1666666666666667	0.12499999999999999
17	17	1/2	1/2	4/4	2	1	V7			f	v	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	1	3	0.25	0.08333333333333333	0.5833333333333334	0.12499999999999999
17	17	3/4	3/4	4/4	2	1	i			f	v	V	i	i							m	1	1	0, -3, 1		0	0	1	3	0.25	0.08333333333333333	0.5833333333333334	0.12499999999999999
18	18	0	0	4/4	2	1	V(64)			f	v	V	V(64)	V			64				M	1	1	1, 0, -3		1	1	1	3	0.25	0.08333333333333333	0.5833333333333334	0.12499999999999999
18	18	1/4	1/4	4/4	2	1	V			f	v	V	V	V							M	1	1	1, 5, 2		1	1	2	7	0.2222222222222222	0.16666666666666666	1.0833333333333333	0.13333333333333333
