mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	0	4/4	2	1	g.i{		g	i		i		i						{	m	1	1	1, -2, 2		1	1	22	17	0.5641025641025641	0.9166666666666666	0.7083333333333334	0.5641025641025641
2	0	5/8	5/8	4/4	2	1	#viio/ii		g	i		#viio/ii		#vii	o			ii			o	1	1	8, 5, 2		8	8	0	1	0.0	0.0	0.375	0.0
3	0	0	0	4/4	2	1	iio		g	i		iio		ii	o						o	1	1	3, 0, -3		3	3	1	1	0.5	0.125	0.125	0.5
3	0	1/4	1/4	4/4	2	1	#viio7		g	i		#viio7		#vii	o	7					o7	1	1	6, 3, 0, -3		6	6	2	5	0.2857142857142857	0.3125	0.6875	0.3125
4	1	1/4	1/4	4/4	2	1	i		g	i		i		i							m	1	1	1, -2, 2		1	1	1	10	0.09090909090909091	0.08333333333333333	1.0416666666666667	0.07407407407407407
5	2	0	0	4/4	2	1	iv		g	i		iv		iv							m	1	1	0, -3, 1		0	0	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
5	2	1/4	1/4	4/4	2	1	V/III		g	i		V/III		V				III			M	1	1	-1, 3, 0		-1	-1	2	3	0.4	0.125	0.375	0.25
5	2	1/2	1/2	4/4	2	1	III		g	i		III		III							M	1	1	-2, 2, -1		-2	-2	3	5	0.375	0.1875	0.9375	0.16666666666666666
5	2	7/8	7/8	4/4	2	1	VI		g	i		VI		VI							M	1	1	-3, 1, -2		-3	-3	0	3	0.0	0.0	0.25	0.0
6	3	0	0	4/4	2	1	iio		g	i		iio		ii	o						o	1	1	3, 0, -3		3	3	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
6	3	1/4	1/4	4/4	2	1	V		g	i		V		V							M	1	1	2, 6, 3		2	2	2	3	0.4	0.125	0.375	0.25
6	3	1/2	1/2	4/4	2	1	i		g	i		i		i							m	1	1	1, -2, 2		1	1	3	7	0.3	0.1875	1.0625	0.15
7	4	0	0	4/4	2	1	#viio7		g	i		#viio7		#vii	o	7					o7	1	1	6, 3, 0, -3		6	6	1	4	0.2	0.0625	0.4375	0.125
7	4	1/4	1/4	4/4	2	1	i		g	i		i		i							m	1	1	1, -2, 2		1	1	2	3	0.4	0.125	0.375	0.25
7	4	1/2	1/2	4/4	2	1	#viio6	V43	g	i		#viio6		#vii	o	6					o	1	1	3, 0, 6		6	3	2	3	0.4	0.125	0.375	0.25
7	4	3/4	3/4	4/4	2	1	i6		g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	1	4	0.2	0.0625	0.4375	0.125
8	5	0	0	4/4	2	1	iio6}		g	i		iio6		ii	o	6				}	o	1	1	0, -3, 3		3	0	3	6	0.3333333333333333	0.1875	0.8125	0.1875
8	5	1/2	1/2	4/4	2	1	ii%7	V(4)	g	i		ii%7		ii	%	7					%7	1	1	3, 0, -3, 1		3	3	0	4	0.0	0.0	0.4375	0.0
8	5	3/4	3/4	4/4	2	1	V|HC		g	i		V		V					HC		M	1	1	2, 6, 3		2	2	2	3	0.4	0.125	0.25	0.3333333333333333
9	6	0	0	4/4	2	1	i{		g	i		i		i						{	m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	0.75	0.0
9	6	1/2	1/2	4/4	2	1	III.V65/V		g	III		V65/V		V		65		V			Mm7	1	0	4, 1, -2, 0		0	4	2	7	0.2222222222222222	0.015625	0.984375	0.015625
10	7	0	0	4/4	2	1	V(4)		g	III		V(4)		V			4				M	1	0	-1, -2, 0		-1	-1	0	2	0.0	0.0	0.375	0.0
10	7	1/4	1/4	4/4	2	1	V		g	III		V		V							M	1	0	-1, 3, 0		-1	-1	2	2	0.5	0.1875	0.25	0.42857142857142855
10	7	1/2	1/2	4/4	2	1	V6(2)		g	III		V6(2)		V		6	2				M	1	0	3, 0, 1		-1	3	0	3	0.0	0.0	0.375	0.0
10	7	3/4	3/4	4/4	2	1	V6		g	III		V6		V		6					M	1	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.3125	0.0
10	7	7/8	7/8	4/4	2	1	V7(9)		g	III		V7(9)		V		7	9				Mm7	1	0	-1, 3, 0, -3	1	-1	-1	0	3	0.0	0.0	0.1875	0.0
11	8	0	0	4/4	2	1	I		g	III		I		I							M	1	0	-2, 2, -1		-2	-2	0	9	0.0	0.0	0.625	0.0
11	8	1/2	1/2	4/4	2	1	I6		g	III		I6		I		6					M	1	0	2, -1, -2		-2	2	2	6	0.25	0.1875	0.6875	0.21428571428571427
