mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	A.I[I{			A	I	I	I		I						{	M	0	0	3, 7, 4		3	3	1	14	0.06666666666666667	0.0625	2.1875	0.027777777777777776
2	2	0	0	4/4	2	1	ii6			A	I	I	ii6		ii		6					m	0	0	2, 6, 5		5	2	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
2	2	1/4	1/4	4/4	2	1	viio6			A	I	I	viio6		vii	o	6					o	0	0	5, 2, 8		8	5	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
2	2	1/2	1/2	4/4	2	1	I			A	I	I	I		I							M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.375	0.0
2	2	3/4	3/4	4/4	2	1	viio			A	I	I	viio		vii	o						o	0	0	8, 5, 2		8	8	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
3	3	0	0	4/4	2	1	I			A	I	I	I		I							M	0	0	3, 7, 4		3	3	1	14	0.06666666666666667	0.0625	2.1875	0.027777777777777776
4	4	0	0	4/4	2	1	IV6			A	I	I	IV6		IV		6					M	0	0	6, 3, 2		2	6	0	3	0.0	0.0	0.375	0.0
4	4	1/4	1/4	4/4	2	1	ii6			A	I	I	ii6		ii		6					m	0	0	2, 6, 5		5	2	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
4	4	1/2	1/2	4/4	2	1	IV		ii6	A	I	I	IV		IV							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.375	0.0
4	4	3/4	3/4	4/4	2	1	viio6			A	I	I	viio6		vii	o	6					o	0	0	5, 2, 8		8	5	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
5	5	0	0	4/4	2	1	I]}{			A	I	I	I		I						}{	M	0	0	3, 7, 4		3	3	1	11	0.08333333333333333	0.0625	1.8125	0.03333333333333333
5	5	1/2	1/2	4/4	2	1	V6			A	I		V6		V		6					M	0	0	8, 5, 4		4	8	0	10	0.0	0.0	1.0	0.0
6	6	0	0	4/4	2	1	vi			A	I		vi		vi							m	0	0	6, 3, 7		6	6	1	10	0.09090909090909091	0.0625	1.5625	0.038461538461538464
6	6	1/2	1/2	4/4	2	1	iii6			A	I		iii6		iii		6					m	0	0	4, 8, 7		7	4	0	10	0.0	0.0	1.0	0.0
7	7	0	0	4/4	2	1	IV			A	I		IV		IV							M	0	0	2, 6, 3		2	2	1	10	0.09090909090909091	0.0625	1.5625	0.038461538461538464
7	7	1/2	1/2	4/4	2	1	I6			A	I		I6		I		6					M	0	0	7, 4, 3		3	7	0	10	0.0	0.0	1.0	0.0
8	8	0	0	4/4	2	1	viio6			A	I		viio6		vii	o	6					o	0	0	5, 2, 8		8	5	0	3	0.0	0.0	0.5	0.0
8	8	1/4	1/4	4/4	2	1	I			A	I		I		I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.375	0.0
8	8	1/2	1/2	4/4	2	1	V(64)}			A	I		V(64)		V			64			}	M	0	0	4, 3, 7		4	4	0	2	0.0	0.0	0.25	0.0
8	8	5/8	5/8	4/4	2	1	V|HC			A	I		V		V					HC		M	0	0	4, 8, 5		4	4	1	3	0.25	0.0625	0.3125	0.16666666666666666
9	9	0	0	4/4	2	1	I{			A	I		I		I						{	M	0	0	3, 7, 4		3	3	0	8	0.0	0.0	0.5	0.0
9	9	1/2	1/2	4/4	2	1	V6			A	I		V6		V		6					M	0	0	8, 5, 4		4	8	0	8	0.0	0.0	0.5	0.0
10	10	0	0	4/4	2	1	vi			A	I		vi		vi							m	0	0	6, 3, 7		6	6	0	8	0.0	0.0	0.5	0.0
10	10	1/2	1/2	4/4	2	1	iii6			A	I		iii6		iii		6					m	0	0	4, 8, 7		7	4	0	8	0.0	0.0	0.5	0.0
11	11	0	0	4/4	2	1	IV			A	I		IV		IV							M	0	0	2, 6, 3		2	2	0	8	0.0	0.0	0.5	0.0
11	11	1/2	1/2	4/4	2	1	I6			A	I		I6		I		6					M	0	0	7, 4, 3		3	7	0	8	0.0	0.0	0.5	0.0
12	12	0	0	4/4	2	1	ii			A	I		ii		ii							m	0	0	5, 2, 6		5	5	0	2	0.0	0.0	0.1875	0.0
12	12	1/8	1/8	4/4	2	1	viio			A	I		viio		vii	o						o	0	0	8, 5, 2		8	8	0	3	0.0	0.0	0.25	0.0
12	12	1/4	1/4	4/4	2	1	I			A	I		I		I							M	0	0	3, 7, 4		3	3	0	6	0.0	0.0	0.5	0.0
12	12	1/2	1/2	4/4	2	1	V(64)}			A	I		V(64)		V			64			}	M	0	0	4, 3, 7		4	4	1	2	0.3333333333333333	0.0	0.25	0.0
12	12	5/8	5/8	4/4	2	1	V|HC			A	I		V		V					HC		M	0	0	4, 8, 5		4	4	1	3	0.25	0.0625	0.3125	0.16666666666666666
13	13	0	0	4/4	2	1	V.I{			A	V		I		I						{	M	0	0	4, 8, 5		4	4	1	15	0.0625	0.0625	2.1875	0.027777777777777776
14	14	0	0	4/4	2	1	V7			A	V		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	2	5	0.2857142857142857	0.375	1.0	0.2727272727272727
14	14	1/2	1/2	4/4	2	1	I			A	V		I		I							M	0	0	4, 8, 5		4	4	0	4	0.0	0.0	0.75	0.0
15	15	0	0	4/4	2	1	ii			A	V		ii		ii							m	0	0	6, 3, 7		6	6	4	14	0.2222222222222222	0.3125	2.5625	0.10869565217391304
16	16	0	0	4/4	2	1	V7/ii			A	V		V7/ii		V		7		ii			Mm7	0	0	7, 11, 8, 5		7	7	2	4	0.3333333333333333	0.375	0.75	0.3333333333333333
16	16	1/2	1/2	4/4	2	1	ii			A	V		ii		ii							m	0	0	6, 3, 7		6	6	3	6	0.3333333333333333	0.1875	0.5625	0.25
17	17	0	0	4/4	2	1	V7			A	V		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	16	61	0.2077922077922078	1.0	4.75	0.17391304347826086
21	21	1/2	1/2	4/4	2	1	V(64)			A	V		V(64)		V			64				M	0	0	5, 4, 8		5	5	2	6	0.25	0.125	0.375	0.25
22	22	0	0	4/4	2	1	V			A	V		V		V							M	0	0	5, 9, 6		5	5	2	6	0.25	0.125	0.375	0.25
22	22	1/2	1/2	4/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	0	8	0.0	0.0	0.5	0.0
23	23	0	0	4/4	2	1	ii6			A	V		ii6		ii		6					m	0	0	3, 7, 6		6	3	3	6	0.3333333333333333	0.1875	0.75	0.2
23	23	1/2	1/2	4/4	2	1	I6			A	V		I6		I		6					M	0	0	8, 5, 4		4	8	3	6	0.3333333333333333	0.1875	0.75	0.2
24	24	0	0	4/4	2	1	viio6			A	V		viio6		vii	o	6					o	0	0	6, 3, 9		9	6	2	6	0.25	0.125	0.375	0.25
24	24	1/2	1/2	4/4	2	1	vi6			A	V		vi6		vi		6					m	0	0	4, 8, 7		7	4	3	5	0.375	0.1875	0.3125	0.375
25	25	0	0	4/4	2	1	V6			A	V		V6		V		6					M	0	0	9, 6, 5		5	9	3	6	0.3333333333333333	0.1875	0.75	0.2
25	25	1/2	1/2	4/4	2	1	IV6			A	V		IV6		IV		6					M	0	0	7, 4, 3		3	7	0	10	0.0	0.0	1.0	0.0
26	26	0	0	4/4	2	1	V			A	V		V		V							M	0	0	5, 9, 6		5	5	0	21	0.0	0.0	1.5	0.0
26	26	3/4	3/4	4/4	2	1	V7			A	V		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	1	3	0.25	0.0625	0.1875	0.25
