mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	e.i{	e			i	i							{	m	0, -3, 1		0	0	10	3	0.7692307692307693	1.625	0.375	0.8125
2	2	0	0	3/4	2	1	iv				iv	iv								m	-1, -4, 0		-1	-1	11	2	0.8461538461538461	1.75	0.25	0.875
3	3	0	0	3/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1	8	5	0.6153846153846154	1.125	1.125	0.5
4	4	0	0	3/4	2	1	i|IAC}				i	i						IAC	}	m	0, -3, 1		0	0	11	2	0.8461538461538461	1.2083333333333333	0.16666666666666666	0.8787878787878788
5	5	0	0	3/4	2	1	G.V7/V{	G			V7/V	V		7		V			{	Mm7	2, 6, 3, 0		2	2	9	4	0.6923076923076923	1.0	0.875	0.5333333333333333
6	6	0	0	3/4	2	1	V				V	V								M	1, 5, 2		1	1	9	6	0.6	0.875	0.75	0.5384615384615384
7	7	0	0	3/4	2	1	V7/IV				V7/IV	V		7		IV				Mm7	0, 4, 1, -2		0	0	9	4	0.6923076923076923	1.0	0.875	0.5333333333333333
8	8	0	0	3/4	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1	10	7	0.5882352941176471	0.625	1.125	0.35714285714285715
9	9	0	0	3/4	2	1	I				I	I								M	0, 4, 1		0	0	7	5	0.5833333333333334	0.75	0.875	0.46153846153846156
10	10	0	0	3/4	2	1	V				V	V								M	1, 5, 2		1	1	11	4	0.7333333333333333	0.875	0.875	0.5
11	11	0	0	3/4	2	1	I				I	I								M	0, 4, 1		0	0	3	2	0.6	0.3125	0.1875	0.625
11	11	1/4	1/4	3/4	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1	6	7	0.46153846153846156	0.5	0.875	0.36363636363636365
12	12	0	0	3/4	2	1	V}				V	V							}	M	1, 5, 2		1	1	8	4	0.6666666666666666	1.0	0.75	0.5714285714285714
13	13	0	0	3/4	2	1	V65/V{				V65/V	V		65		V			{	Mm7	6, 3, 0, 2		2	6	6	5	0.5454545454545454	1.25	1.0	0.5555555555555556
14	14	0	0	3/4	2	1	V				V	V								M	1, 5, 2		1	1	7	5	0.5833333333333334	1.125	0.875	0.5625
15	15	0	0	3/4	2	1	V65/V				V65/V	V		65		V				Mm7	6, 3, 0, 2		2	6	9	4	0.6923076923076923	1.625	0.5	0.7647058823529411
16	16	0	0	3/4	2	1	V				V	V								M	1, 5, 2		1	1	9	6	0.6	1.125	1.125	0.5
17	17	0	0	3/4	2	1	ii7				ii7	ii		7						mm7	2, -1, 3, 0		2	2	3	3	0.5	0.75	0.75	0.5
17	17	1/2	1/2	3/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1	3	1	0.75	0.5	0.25	0.6666666666666666
18	18	0	0	3/4	2	1	V7/IV				V7/IV	V		7		IV				Mm7	0, 4, 1, -2		0	0	8	4	0.6666666666666666	1.0	0.5	0.6666666666666666
18	18	1/2	1/2	3/4	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
18	18	5/8	5/8	3/4	2	1	viio7/vi				viio7/vi	vii	o	7		vi				o7	-6, -9, -12, -15		-6	-6	3	0	1.0	0.375	0.0	1.0
19	19	0	0	3/4	2	1	vi				vi	vi								m	-4, -7, -3		-4	-4	3	0	1.0	0.375	0.0	1.0
19	19	1/8	1/8	3/4	2	1	ii6				ii6	ii		6						m	-1, 3, 2		2	-1	2	1	0.6666666666666666	0.25	0.125	0.6666666666666666
19	19	1/4	1/4	3/4	2	1	V(64)				V(64)	V			64					M	1, 0, -3		1	1	2	1	0.6666666666666666	0.5	0.25	0.6666666666666666
19	19	1/2	1/2	3/4	2	1	V				V	V								M	1, 5, 2		1	1	2	1	0.6666666666666666	0.5	0.25	0.6666666666666666
20	20	0	0	3/4	2	1	I|PAC}{				I	I						PAC	}{	M	0, 4, 1		0	0	13	10	0.5652173913043478	1.0625	1.3125	0.4473684210526316
21	21	1/4	1/4	3/4	2	1	i.i		i		i	i								m	0, -3, 1		0	0	3	2	0.6	0.375	0.125	0.75
21	21	1/2	1/2	3/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1	4	1	0.8	0.25	0.25	0.5
22	22	0	0	3/4	2	1	i|IAC}{				i	i						IAC	}{	m	0, -3, 1		0	0	11	4	0.7333333333333333	1.75	0.5	0.7777777777777778
23	23	0	0	3/4	2	1	iv				iv	iv								m	-1, -4, 0		-1	-1	11	2	0.8461538461538461	1.75	0.25	0.875
24	24	0	0	3/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1	8	5	0.6153846153846154	1.125	1.125	0.5
25	25	0	0	3/4	2	1	i|IAC}				i	i						IAC	}	m	0, -3, 1		0	0	10	4	0.7142857142857143	1.0833333333333333	0.4166666666666667	0.7222222222222222
26	26	0	0	3/4	2	1	iv7{				iv7	iv		7					{	mm7	-1, -4, 0, -3		-1	-1	7	5	0.5833333333333334	0.8125	0.8125	0.5
26	26	1/2	1/2	3/4	2	1	viio/VI				viio/VI	vii	o			VI				o	1, -2, -5		1	1	4	0	1.0	0.625	0.0	1.0
27	27	0	0	3/4	2	1	VI				VI	VI								M	-4, 0, -3		-4	-4	10	5	0.6666666666666666	1.0	0.75	0.5714285714285714
28	28	0	0	3/4	2	1	V65/III				V65/III	V		65		III				Mm7	2, -1, -4, -2		-2	2	5	1	0.8333333333333334	0.625	0.25	0.7142857142857143
28	28	1/4	1/4	3/4	2	1	viio/iv				viio/iv	vii	o			iv				o	-3, -6, -9		-3	-3	5	0	1.0	0.625	0.0	1.0
28	28	1/2	1/2	3/4	2	1	V7/iv				V7/iv	V		7		iv				Mm7	0, 4, 1, -2		0	0	4	1	0.8	0.5	0.25	0.6666666666666666
29	29	0	0	3/4	2	1	iv				iv	iv								m	-1, -4, 0		-1	-1	11	3	0.7857142857142857	1.625	0.375	0.8125
30	30	0	0	3/4	2	1	V7/III				V7/III	V		7		III				Mm7	-2, 2, -1, -4		-2	-2	9	4	0.6923076923076923	1.125	0.875	0.5625
31	31	0	0	3/4	2	1	III				III	III								M	-3, 1, -2		-3	-3	10	4	0.7142857142857143	1.25	0.75	0.625
32	32	0	0	3/4	2	2	VI				VI	VI								M	-4, 0, -3		-4	-4	10	1	0.9090909090909091	1.25	0.75	0.625
33	33	0	0	3/4	2	1	V7|HC}{				V7	V		7				HC	}{	Mm7	1, 5, 2, -1		1	1	22	13	0.6285714285714286	2.0	2.0	0.5
35	35	1/4	1/4	3/4	2	1	viio7				viio7	vii	o	7						o7	-2, -5, -8, -11		-2	-2	12	0	1.0	1.5	0.0	1.0
36	36	0	0	3/4	2	2	i				i	i								m	0, -3, 1		0	0	8	3	0.7272727272727273	1.0	0.375	0.7272727272727273
36	36	5/8	5/8	3/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1	2	1	0.6666666666666666	0.25	0.125	0.6666666666666666
37	37	0	0	3/4	2	1	VI				VI	VI								M	-4, 0, -3		-4	-4	7	1	0.875	2.125	0.125	0.9444444444444444
38	38	0	0	3/4	2	2	V(64)				V(64)	V			64					M	1, 0, -3		1	1	6	4	0.6	0.75	0.25	0.75
38	38	1/2	1/2	3/4	2	2	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1	4	1	0.8	0.25	0.25	0.5
39	39	0	0	3/4	2	2	iM7(9)}				iM7(9)	i	M	7	9				}	mM7	0, -3, 1, 5	2	0	0	3	0	1.0	1.0	0.0	1.0
39	39	1/4	1/4	3/4	2	2	i|PAC				i	i						PAC		m	0, -3, 1		0	0	1	1	0.5	0.25	0.25	0.5
