mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	d.i{	d	i		i		i						{	m	1	1	2, -1, 3		2	2	6	13	0.3157894736842105	0.375	1.375	0.21428571428571427
2	2	0	0	4/4	2	1	V6	d	i		V6		V		6					M	1	1	7, 4, 3		3	7	3	10	0.23076923076923078	0.1875	1.3125	0.125
3	3	0	0	4/4	2	1	V7	d	i		V7		V		7					Mm7	1	1	3, 7, 4, 1		3	3	8	11	0.42105263157894735	0.6875	1.0625	0.39285714285714285
4	4	0	0	4/4	2	1	i	d	i		i		i							m	1	1	2, -1, 3		2	2	7	11	0.3888888888888889	0.4375	1.0625	0.2916666666666667
5	5	0	0	4/4	2	1	V7	d	i		V7		V		7					Mm7	1	1	3, 7, 4, 1		3	3	7	12	0.3684210526315789	0.4375	1.3125	0.25
6	6	0	0	4/4	2	1	i}	d	i		i		i						}	m	1	1	2, -1, 3		2	2	11	13	0.4583333333333333	0.6875	0.9375	0.4230769230769231
7	7	0	0	4/4	2	1	iv6	d	i		iv6		iv		6					m	1	1	-2, 2, 1		1	-2	6	7	0.46153846153846156	0.375	0.5	0.42857142857142855
7	7	1/2	1/2	4/4	2	1	VII	d	i		VII		VII							M	1	1	0, 4, 1		0	0	3	5	0.375	0.1875	0.4375	0.3
8	8	0	0	4/4	2	1	III6	d	i		III6		III		6					M	1	1	3, 0, -1		-1	3	6	7	0.46153846153846156	0.375	0.5	0.42857142857142855
8	8	1/2	1/2	4/4	2	1	VI	d	i		VI		VI							M	1	1	-2, 2, -1		-2	-2	3	5	0.375	0.1875	0.4375	0.3
9	9	0	0	4/4	2	1	iio6	d	i		iio6		ii	o	6					o	1	1	1, -2, 4		4	1	7	6	0.5384615384615384	0.4375	0.4375	0.5
9	9	1/2	1/2	4/4	2	1	V[V7	d	i	V	V7		V		7					Mm7	1	1	3, 7, 4, 1		3	3	0	5	0.0	0.0	1.0	0.0
10	10	0	0	4/4	2	1	i6	d	i	V	i6		i		6					m	1	1	-1, 3, 2		2	-1	3	5	0.375	0.1875	1.3125	0.125
10	10	1/2	1/2	4/4	2	1	V2	d	i	V	V2		V		2					Mm7	1	1	1, 3, 7, 4		3	1	0	4	0.0	0.0	0.5	0.0
11	11	0	0	4/4	2	1	i64]	d	i	V	i64		i		64					m	1	1	3, 2, -1		2	3	3	5	0.375	0.1875	0.8125	0.1875
11	11	1/2	1/2	4/4	2	1	VI	d	i		VI		VI							M	1	1	-2, 2, -1		-2	-2	0	3	0.0	0.0	1.0	0.0
12	12	0	0	4/4	2	1	Ger6	d	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-2, 2, -1, 8		8	-2	0	5	0.0	0.0	2.0	0.0
13	13	0	0	4/4	2	2	V7	d	i		V7		V		7					Mm7	1	1	3, 7, 4, 1		3	3	2	9	0.18181818181818182	0.046875	3.078125	0.015
14	14	0	0	4/4	2	2	i|PAC}	d	i		i		i					PAC	}	m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	0.75	0.0
