mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	Bb.I{		Bb	I		I		I						{	M	0	0	-2, 2, -1		-2	-2	2	6	0.25	0.25	1.75	0.125
2	2	0	0	3/4	2	1	V(64)		Bb	I		V(64)		V			64				M	0	0	-1, -2, 2		-1	-1	0	3	0.0	0.0	1.25	0.0
2	2	1/2	1/2	3/4	2	1	V		Bb	I		V		V							M	0	0	-1, 3, 0		-1	-1	2	3	0.4	0.125	0.375	0.25
3	3	0	0	3/4	2	1	I		Bb	I		I		I							M	0	0	-2, 2, -1		-2	-2	0	3	0.0	0.0	0.5	0.0
3	3	1/4	1/4	3/4	2	1	IV		Bb	I		IV		IV							M	0	0	-3, 1, -2		-3	-3	0	2	0.0	0.0	0.5	0.0
3	3	1/2	1/2	3/4	2	1	I6		Bb	I		I6		I		6					M	0	0	2, -1, -2		-2	2	0	3	0.0	0.0	0.75	0.0
4	4	0	0	3/4	2	1	ii		Bb	I		ii		ii							m	0	0	0, -3, 1		0	0	1	2	0.3333333333333333	0.0	0.75	0.0
4	4	1/4	1/4	3/4	2	1	V7		Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1	-1	0	1	0.0	0.0	0.25	0.0
4	4	1/2	1/2	3/4	2	1	I		Bb	I		I		I							M	0	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.5	0.0
5	5	0	0	3/4	2	1	IV		Bb	I		IV		IV							M	0	0	-3, 1, -2		-3	-3	1	5	0.16666666666666666	0.0625	1.125	0.05263157894736842
6	6	0	0	3/4	2	1	I6		Bb	I		I6		I		6					M	0	0	2, -1, -2		-2	2	1	7	0.125	0.03125	1.21875	0.025
7	7	0	0	3/4	2	1	ii6		Bb	I		ii6		ii		6					m	0	0	-3, 1, 0		0	-3	3	4	0.42857142857142855	0.3125	1.1875	0.20833333333333334
8	8	0	0	3/4	2	1	V(64)		Bb	I		V(64)		V			64				M	0	0	-1, -2, 2		-1	-1	0	3	0.0	0.0	1.25	0.0
8	8	1/2	1/2	3/4	2	1	V|HC}		Bb	I		V		V					HC	}	M	0	0	-1, 3, 0		-1	-1	0	1	0.0	0.0	0.25	0.0
9	9	0	0	3/4	2	1	I{		Bb	I		I		I						{	M	0	0	-2, 2, -1		-2	-2	0	8	0.0	0.0	2.0	0.0
10	10	0	0	3/4	2	1	V(64)		Bb	I		V(64)		V			64				M	0	0	-1, -2, 2		-1	-1	0	3	0.0	0.0	1.25	0.0
10	10	1/2	1/2	3/4	2	1	V7		Bb	I		V7		V		7					Mm7	0	0	-1, 3, 0, -3		-1	-1	0	3	0.0	0.0	0.75	0.0
11	11	0	0	3/4	2	1	vi		Bb	I		vi		vi							m	0	0	1, -2, 2		1	1	0	3	0.0	0.0	0.75	0.0
