fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	score_integrity	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	imslp	musicbrainz	originalFormat	pdf	typesetter	viaf	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
wq112n02	1: 3/4	1: 2	19	19	57.0	19	19	57.0		160.5	228	116	0	0	0				Amelia Brey	1759	1759	Packard Humanities Institute (cpebach.org)	Carl Philipp Emanuel Bach	Fantasia in D Major			Wq.112/2					2023-07-20		Microsoft Windows			Fantasia in D Major, Wq.112/2		Carl Philipp Emanuel Bach	3.6.2	1.2.12	MS3	MS3/wq112n02.mscx	False	35-88 (B1-E6)	https://imslp.org/wiki/Clavierst%C3%BCcke_verschiedener_Art%2C_Wq.112_(Bach%2C_Carl_Philipp_Emanuel)	https://musicbrainz.org/work/4df7f68e-2f71-42e7-ab92-d8f76e4aa912	mxl	https://imslp.org/wiki/Special:ReverseLookup/329667	Anna Yuferova	https://viaf.org/viaf/292645495	Harpsichord	50-88 (D3-E6)	Harpsichord	35-66 (B1-F#4)
wq112n08	1: 4/4	1: -2	12	12	48.0	12	12	48.0		110.38	244	155	0	0	0				Amelia Brey	1759	1759	Packard Humanities Institute (cpebach.org)	Carl Philipp Emanuel Bach	Fantasia in B-flat Major			Wq.112/8					2023-07-20		Microsoft Windows			Fantasia in B-flat Major, Wq.112/8		Carl Philipp Emanuel Bach	3.6.2	1.2.12	MS3	MS3/wq112n08.mscx	False	34-87 (Bb1-Eb6)	https://imslp.org/wiki/Clavierst%C3%BCcke_verschiedener_Art%2C_Wq.112_(Bach%2C_Carl_Philipp_Emanuel)	https://musicbrainz.org/work/715cb245-20aa-452c-af50-5c957ad70fed	mxl	https://imslp.org/wiki/Special:ReverseLookup/329667	Anna Yuferova	https://viaf.org/viaf/293044251	Harpsichord	57-87 (A3-Eb6)	Harpsichord	34-65 (Bb1-F4)
wq112n15	1: 4/4	1: -1	3	3	61.0	3	3	61.0		370.75	232	75	0	0	0				Amelia Brey	1759	1759	Packard Humanities Institute (cpebach.org)	Carl Philipp Emanuel Bach	Fantasia in F Major			Wq.112/15					2023-07-20		Microsoft Windows			Fantasia in F Major, Wq.112/15		Carl Philipp Emanuel Bach	3.6.2	1.2.12	MS3	MS3/wq112n15.mscx	False	36-81 (C2-A5)	https://imslp.org/wiki/Clavierst%C3%BCcke_verschiedener_Art%2C_Wq.112_(Bach%2C_Carl_Philipp_Emanuel)	https://musicbrainz.org/work/2fa9c40d-556b-4a61-9e0c-5a5cfad1b599	mxl	https://imslp.org/wiki/Special:ReverseLookup/329667	Anna Yuferova		Harpsichord	52-81 (E3-A5)	Harpsichord	36-65 (C2-F4)
wq113n03	1: 4/4	1: -1	7	7	28.0	7	7	28.0		50.0	194	163	0	0	0				Amelia Brey	1765	1765	Packard Humanities Institute (cpebach.org)	Carl Philipp Emanuel Bach	Fantasia in D Minor			Wq.113/3					2023-07-22		Microsoft Windows			Fantasia in D Minor, Wq.113/3		Carl Philipp Emanuel Bach	3.6.2	1.2.12	MS3	MS3/wq113n03.mscx	False	38-88 (D2-E6)	https://imslp.org/wiki/Kurze_und_leichte_Klavierst%C3%BCcke%2C_Wq.113_(Bach%2C_Carl_Philipp_Emanuel)	https://musicbrainz.org/work/a3421fbb-f998-4f44-90c0-31e8f4f6e18d	mxl	https://imslp.org/wiki/Special:ReverseLookup/96257	Anna Yuferova	https://viaf.org/viaf/294403473	Harpsichord	52-88 (E3-E6)	Harpsichord	38-62 (D2-D4)
wq114n07	1: 7/8, 2: 5/8, 3: 6/2	1: -1	4	4	62.5	4	4	62.5		393.25	279	108	0	0	0				Amelia Brey	1767	1767	Wotquenne Catalogue (https://www.klassika.info/Komponisten/Bach_CPE/wv_wvz1.html)	Carl Philipp Emanuel Bach	Fantasia in D Minor			Wq.114/7					2023-07-20		Microsoft Windows			Fantasia in D Minor, Wq.114/7		Carl Philipp Emanuel Bach	3.6.2	1.2.12	MS3	MS3/wq114n07.mscx	False	38-86 (D2-D6)	https://imslp.org/wiki/Petites_Pieces_per_il_Cembalo_Solo_(Bach%2C_Carl_Philipp_Emanuel)	https://musicbrainz.org/work/41c296c8-6c35-4f2e-95e6-61c209a03420	mxl	https://imslp.org/wiki/Special:ReverseLookup/396484	Anna Yuferova	https://viaf.org/viaf/1388165272164710690001	Harpsichord	56-86 (G#3-D6)	Harpsichord	38-62 (D2-D4)
wq117n11	1: 4/4	1: 1	14	14	56.0	14	14	56.0		160.5	252	169	0	0	0				Amelia Brey	1766	1766	Packard Humanities Institute (cpebach.org)	Carl Philipp Emanuel Bach	Fantasia in G Major			Wq.117/11					2023-07-20		Microsoft Windows			Fantasia in G Major, Wq.117/11		Carl Philipp Emanuel Bach	3.6.2	1.2.12	MS3	MS3/wq117n11.mscx	False	38-86 (D2-D6)	https://imslp.org/wiki/Petites_Pieces_per_il_Cembalo_Solo_(Bach%2C_Carl_Philipp_Emanuel)	https://musicbrainz.org/work/ae197e9e-23ff-474f-812f-5d49f4198a26	mxl	https://imslp.org/wiki/Special:ReverseLookup/396484	Anna Yuferova	https://viaf.org/viaf/294132530	Harpsichord	55-86 (G3-D6)	Harpsichord	38-64 (D2-E4)
wq117n12	1: 4/4	1: -1	14	14	56.0	14	14	56.0		98.5	212	161	0	0	0				Amelia Brey	1766	1766	Wotquenne Catalogue (https://www.klassika.info/Komponisten/Bach_CPE/wv_wvz1.html)	Carl Philipp Emanuel Bach	Fantasia in D Minor			Wq.117/12		IOO			2017-10-08	3.02	Linux	/tmp/lg-540424174.tmp.pdf		Fantasia in D Minor, Wq.117/12		Carl Philipp Emanuel Bach	3.6.2	1.2.12	MS3	MS3/wq117n12.mscx	False	38-86 (D2-D6)	https://imslp.org/wiki/Petites_Pieces_per_il_Cembalo_Solo_(Bach%2C_Carl_Philipp_Emanuel)	https://musicbrainz.org/work/6fdf2766-faff-4794-a60a-ba29b09c343c	xml	https://imslp.org/wiki/Special:ReverseLookup/396484	https://musescore.com/lautebk	https://viaf.org/viaf/309857974/	Harpsichord	61-86 (C#4-D6)	Harpsichord	38-62 (D2-D4)
wq117n13	1: 4/4, 11: 3/4, 12: 20/4, 13: 6/4, 14: 5/4	1: -2, 5: 0, 8: -2	15	8	172.0	15	8	172.0		574.38	731	369	0	0	0				Amelia Brey	1766	1766	Packard Humanities Institute (cpebach.org)	Carl Philipp Emanuel Bach	Fantasia in G Minor			Wq.117/13					2023-07-20		Microsoft Windows			Fantasia in G Minor, Wq.117/13		Carl Philipp Emanuel Bach	3.6.2	1.2.12	MS3	MS3/wq117n13.mscx	False	36-87 (C2-Eb6)	https://imslp.org/wiki/Petites_Pieces_per_il_Cembalo_Solo_(Bach%2C_Carl_Philipp_Emanuel)	https://musicbrainz.org/work/ae2ab94b-21d8-4def-b0e5-f326e21d6455	mxl	https://imslp.org/wiki/Special:ReverseLookup/396484	Anna Yuferova	https://viaf.org/viaf/293023088	Harpsichord	42-87 (F#2-Eb6)	Harpsichord	36-75 (C2-Eb5)
wq117n14	1: 2/4, 3: 4/4, 8: 2/4, 9: 4/4, 15: 18/4, 16: 12/4, 17: 6/4	1: 2	18	18	118.25	18	18	118.25		310.75	419	238	0	0	0				Amelia Brey	1762	1762	Wotquenne Catalogue (https://www.klassika.info/Komponisten/Bach_CPE/wv_wvz1.html)	Carl Philipp Emanuel Bach	Fantasia in D Major			Wq.117/14					2023-07-20		Microsoft Windows			Fantasia in D Major, Wq.117/14		Carl Philipp Emanuel Bach	3.6.2	1.2.12	MS3	MS3/wq117n14.mscx	False	38-88 (D2-E6)	https://imslp.org/wiki/Petites_Pieces_per_il_Cembalo_Solo_(Bach%2C_Carl_Philipp_Emanuel)	https://musicbrainz.org/work/090ef217-d79d-43d3-a17d-ba7a7f7f0a40	mxl	https://imslp.org/wiki/Special:ReverseLookup/396484	Anna Yuferova	https://viaf.org/viaf/292756044	Harpsichord	42-88 (F#2-E6)	Harpsichord	38-75 (D2-Eb5)
wq119n07	1: 2/2, 11: 21/8, 12: 11/4, 13: 29/8, 14: 3/2, 16: 2/2	1: -3	126	125	532.0	126	125	532.0		1836.25	1978	968	0	0	0				Amelia Brey	1754	1754	Packard Humanities Institute (cpebach.org)	Carl Philipp Emanuel Bach	Fantasia and Fugue in C Minor			Wq.119/7					2023-07-20		Microsoft Windows			Fantasia and Fugue in C Minor, Wq.119/7		Carl Philipp Emanuel Bach	3.6.2	1.2.12	MS3	MS3/wq119n07.mscx	False	32-85 (Ab1-Db6)	https://imslp.org/wiki/6_Fugues%2C_Wq.119%2F2-7_(Bach%2C_Carl_Philipp_Emanuel)	https://musicbrainz.org/work/68a2f679-ab64-4aa5-8132-af24307c80a1	mxl	https://imslp.org/wiki/Special:ReverseLookup/509777	Anna Yuferova	https://viaf.org/viaf/3457167867509623060008/	Harpsichord	46-85 (Bb2-Db6)	Harpsichord	32-69 (Ab1-A4)
