mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	4/4	2	1		f.i{		f	i		i	i						{	m	1	1	0, -3, 1		0	0
2	2	4	2.0	0	0	4/4	2	1		V6		f	i		V6	V		6					M	1	1	5, 2, 1		1	5
2	2	6	2.0	1/2	1/2	4/4	2	1		V		f	i		V	V							M	1	1	1, 5, 2		1	1
3	3	8	4.0	0	0	4/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
4	4	12	2.0	0	0	4/4	2	1		V6		f	i		V6	V		6					M	1	1	5, 2, 1		1	5
4	4	14	2.0	1/2	1/2	4/4	2	1		V		f	i		V	V							M	1	1	1, 5, 2		1	1
5	5	16	4.0	0	0	4/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
6	6	20	4.0	0	0	4/4	2	1		V6/III		f	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
7	7	24	1.0	0	0	4/4	2	1		III(^2)		f	i		III(^2)	III			^2				M	1	1	-3, -1, -2		-3	-3
7	7	25	1.0	1/4	1/4	4/4	2	1		III	i6	f	i		III	III							M	1	1	-3, 1, -2		-3	-3
7	7	26	2.0	1/2	1/2	4/4	2	1		iv	iio6	f	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
8	8	28	1.0	0	0	4/4	2	1		V(4)}		f	i		V(4)	V			4			}	M	1	1	1, 0, 2		1	1
8	8	29	3.0	1/4	1/4	4/4	2	1		V7|HC		f	i		V7	V		7			HC		Mm7	1	1	1, 5, 2, -1		1	1
9	9	32	2.0	0	0	4/4	2	1		i6{		f	i		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
9	9	34	2.0	1/2	1/2	4/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
10	10	36	2.0	0	0	4/4	2	1		V6		f	i		V6	V		6					M	1	1	5, 2, 1		1	5
10	10	38	2.0	1/2	1/2	4/4	2	1		V		f	i		V	V							M	1	1	1, 5, 2		1	1
11	11	40	4.0	0	0	4/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
12	12	44	2.0	0	0	4/4	2	1		V6		f	i		V6	V		6					M	1	1	5, 2, 1		1	5
12	12	46	2.0	1/2	1/2	4/4	2	1		V		f	i		V	V							M	1	1	1, 5, 2		1	1
13	13	48	4.0	0	0	4/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
14	14	52	1.0	0	0	4/4	2	1		v.#viio64(2)		f	v		#viio64(2)	#vii	o	64	2				o	1	1	-1, 0, 2		5	-1
14	14	53	1.0	1/4	1/4	4/4	2	1		#viio64		f	v		#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
14	14	54	1.0	1/2	1/2	4/4	2	1		i		f	v		i	i							m	1	1	0, -3, 1		0	0
14	14	55	1.0	3/4	3/4	4/4	2	1		V65		f	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
15	15	56	2.0	0	0	4/4	2	1		i		f	v		i	i							m	1	1	0, -3, 1		0	0
15	15	58	2.0	1/2	1/2	4/4	2	1		bII6		f	v		bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
16	16	60	1.0	0	0	4/4	2	1		V[V(4)}{		f	v	V	V(4)	V			4			}{	M	1	1	1, 0, 2		1	1
16	16	61	2.0	1/4	1/4	4/4	2	1		V		f	v	V	V	V							M	1	1	1, 5, 2		1	1
