mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	2/4	2	1		G.I[I{		G	I	I	I		I						{	M	0	0	0, 4, 1		0	0
2	2	2	2	0.5	0	0	2/4	2	1		IV6		G	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3
2	2	5/2	5/2	0.5	1/8	1/8	2/4	2	1		viio	V6	G	I	I	viio		vii	o						o	0	0	5, 2, -1		5	5
2	2	3	3	3.0	1/4	1/4	2/4	2	1		I}		G	I	I	I		I						}	M	0	0	0, 4, 1		0	0
3	3	4	4	0.0	0	0	2/4	2	1		{		G	I	I									{		0	0				
4	4	6	6	0.5	0	0	2/4	2	1		IV6		G	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3
4	4	13/2	13/2	0.5	1/8	1/8	2/4	2	1		viio	V6	G	I	I	viio		vii	o						o	0	0	5, 2, -1		5	5
4	4	7	7	1.0	1/4	1/4	2/4	2	1		I]}		G	I	I	I		I						}	M	0	0	0, 4, 1		0	0
5	5	8	8	2.0	0	0	2/4	2	1		ii6{		G	I		ii6		ii		6				{	m	0	0	-1, 3, 2		2	-1
6	6	10	10	2.0	0	0	2/4	2	1		I6		G	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	12	12	1.0	0	0	2/4	2	1		viio		G	I		viio		vii	o						o	0	0	5, 2, -1		5	5
7	7	13	13	0.5	1/4	1/4	2/4	2	1		I		G	I		I		I							M	0	0	0, 4, 1		0	0
7	7	27/2	27/2	0.5	3/8	3/8	2/4	2	1		vii%7/V		G	I		vii%7/V		vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
