mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
45	44	703/4	1.0	3/4	3/4	4/4	2	1		V|HC		G	I		V		V					HC		M	0	0	1, 5, 2		1	1
46	45	707/4	1.0	0	0	4/4	2	1		I{		G	I		I		I						{	M	0	0	0, 4, 1		0	0
46	45	711/4	1.0	1/4	1/4	4/4	2	1		V6		G	I		V6		V		6					M	0	0	5, 2, 1		1	5
46	45	715/4	3.0	1/2	1/2	4/4	2	1		vi		G	I		vi		vi							m	0	0	3, 0, 4		3	3
47	46	727/4	1.0	1/4	1/4	4/4	2	1		iii6		G	I		iii6		iii		6					m	0	0	1, 5, 4		4	1
47	46	731/4	4.0	1/2	1/2	4/4	2	1		IV		G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
48	47	747/4	1.5	1/2	1/2	4/4	2	1		V2(4)		G	I		V2(4)		V		2	4				Mm7	0	0	-1, 1, 0, 2		1	-1
48	47	753/4	0.5	7/8	7/8	4/4	2	1		I6		G	I		I6		I		6					M	0	0	4, 1, 0		0	4
49	48	755/4	1.0	0	0	4/4	2	1		viio6		G	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
49	48	759/4	0.5	1/4	1/4	4/4	2	1		viio		G	I		viio		vii	o						o	0	0	5, 2, -1		5	5
49	48	761/4	0.5	3/8	3/8	4/4	2	1		I		G	I		I		I							M	0	0	0, 4, 1		0	0
49	48	763/4	1.5	1/2	1/2	4/4	2	1		V		G	I		V		V							M	0	0	1, 5, 2		1	1
49	48	769/4	0.5	7/8	7/8	4/4	2	1		I6		G	I		I6		I		6					M	0	0	4, 1, 0		0	4
50	49	771/4	1.0	0	0	4/4	2	1		viio6		G	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
50	49	775/4	0.5	1/4	1/4	4/4	2	1		viio		G	I		viio		vii	o						o	0	0	5, 2, -1		5	5
50	49	777/4	0.5	3/8	3/8	4/4	2	1		I		G	I		I		I							M	0	0	0, 4, 1		0	0
50	49	779/4	1.5	1/2	1/2	4/4	2	1		viio6		G	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
50	49	785/4	0.5	7/8	7/8	4/4	2	1		i6		G	I		i6		i		6					m	0	0	-3, 1, 0		0	-3
51	50	787/4	1.0	0	0	4/4	2	1		viio6		G	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
51	50	791/4	0.5	1/4	1/4	4/4	2	1		viio		G	I		viio		vii	o						o	0	0	5, 2, -1		5	5
51	50	793/4	0.5	3/8	3/8	4/4	2	1		i		G	I		i		i							m	0	0	0, -3, 1		0	0
51	50	795/4	2.0	1/2	1/2	4/4	2	1		viio7		G	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
52	51	803/4	1.0	0	0	4/4	2	1		viio}		G	I		viio		vii	o					}	o	0	0	5, 2, -1		5	5
52	51	807/4	0.5	1/4	1/4	4/4	2	1		i(94)		G	I		i(94)		i			94				m	0	0	0, -1, 1	2	0	0
52	51	809/4	0.5	3/8	3/8	4/4	2	1		viio7/V		G	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
52	51	811/4	2.0	1/2	1/2	4/4	2	1		V|HC		G	I		V		V					HC		M	0	0	1, 5, 2		1	1
53	52	819/4	2.0	0	0	4/4	2	1		I6{	iii{	G	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
53	52	827/4	2.0	1/2	1/2	4/4	2	1		V65/ii		G	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
54	53	835/4	2.0	0	0	4/4	2	1		ii		G	I		ii		ii							m	0	0	2, -1, 3		2	2
54	53	843/4	2.0	1/2	1/2	4/4	2	1		V65		G	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
55	54	851/4	0.5	0	0	4/4	2	1		I		G	I		I		I							M	0	0	0, 4, 1		0	0
55	54	853/4	0.5	1/8	1/8	4/4	2	1		vi		G	I		vi		vi							m	0	0	3, 0, 4		3	3
55	54	855/4	1.0	1/4	1/4	4/4	2	1		IV		G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
55	54	859/4	0.5	1/2	1/2	4/4	2	1		iio		G	I		iio		ii	o						o	0	0	2, -1, -4		2	2
55	54	861/4	0.5	5/8	5/8	4/4	2	1		V		G	I		V		V							M	0	0	1, 5, 2		1	1
55	54	863/4	1.0	3/4	3/4	4/4	2	1		iii		G	I		iii		iii							m	0	0	4, 1, 5		4	4
56	55	867/4	0.5	0	0	4/4	2	1		vi		G	I		vi		vi							m	0	0	3, 0, 4		3	3
56	55	869/4	0.5	1/8	1/8	4/4	2	1		IV		G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
56	55	871/4	0.5	1/4	1/4	4/4	2	1		ii		G	I		ii		ii							m	0	0	2, -1, 3		2	2
56	55	873/4	0.5	3/8	3/8	4/4	2	1		ii6		G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
56	55	875/4	1.0	1/2	1/2	4/4	2	1		V[V		G	I	V	V		V							M	0	0	1, 5, 2		1	1
56	55	879/4	1.0	3/4	3/4	4/4	2	1		I		G	I	V	I		I							M	0	0	0, 4, 1		0	0
