mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	2/4	2	1		F.I{		F	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1	1.0	1/4	1/4	2/4	2	1		V65		F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
2	2	2	2.0	0	0	2/4	2	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
3	3	4	0.5	0	0	2/4	2	1		ii65		F	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
3	3	9/2	0.5	1/8	1/8	2/4	2	1		V65/V		F	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
3	3	5	1.0	1/4	1/4	2/4	2	1		V7		F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	6	2.0	0	0	2/4	2	1		I|IAC}		F	I		I		I					IAC	}	M	0	0	0, 4, 1		0	0
5	5	8	1.0	0	0	2/4	2	1		IV{		F	I		IV		IV						{	M	0	0	-1, 3, 0		-1	-1
5	5	9	1.0	1/4	1/4	2/4	2	1		ii6		F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
6	6	10	1.0	0	0	2/4	2	1		V2		F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
6	6	11	1.0	1/4	1/4	2/4	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	12	1.0	0	0	2/4	2	1		viio6		F	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
7	7	13	1.0	1/4	1/4	2/4	2	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
8	8	14	2.0	0	0	2/4	2	1		V}		F	I		V		V						}	M	0	0	1, 5, 2		1	1
8	8	15	0.0	1/4	1/4	2/4	2	1		|HC		F	I									HC			0	0				
9	9	16	2.0	0	0	2/4	2	1		V7/ii{		F	I		V7/ii		V		7		ii		{	Mm7	0	0	3, 7, 4, 1		3	3
10	10	18	1.0	0	0	2/4	2	1		iiM7(9)		F	I		iiM7(9)		ii	M	7	9				mM7	0	0	2, -1, 3, 7	4	2	2
10	10	19	1.0	1/4	1/4	2/4	2	1		ii		F	I		ii		ii							m	0	0	2, -1, 3		2	2
11	11	20	2.0	0	0	2/4	2	1		V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
12	12	22	1.0	0	0	2/4	2	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
12	12	23	1.0	1/4	1/4	2/4	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
13	13	24	1.0	0	0	2/4	2	1		V.V(4)}		F	V		V(4)		V			4			}	M	0	0	1, 0, 2		1	1
13	13	25	1.0	1/4	1/4	2/4	2	1		V|HC		F	V		V		V					HC		M	0	0	1, 5, 2		1	1
14	14	26	1.0	0	0	2/4	2	1		I{		F	V		I		I						{	M	0	0	0, 4, 1		0	0
14	14	27	1.0	1/4	1/4	2/4	2	1		V65		F	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
15	15	28	2.0	0	0	2/4	2	1		I		F	V		I		I							M	0	0	0, 4, 1		0	0
16	16	30	1.0	0	0	2/4	2	1		IV		F	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
16	16	31	1.0	1/4	1/4	2/4	2	1		V7		F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	17	32	1.875	0	0	2/4	2	1		I		F	V		I		I							M	0	0	0, 4, 1		0	0
17	17	271/8	0.125	15/32	15/32	2/4	2	1		V7/IV		F	V		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
18	18	34	0.875	0	0	2/4	2	1		IV		F	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
18	18	279/8	0.125	7/32	7/32	2/4	2	1		V		F	V		V		V							M	0	0	1, 5, 2		1	1
18	18	35	0.875	1/4	1/4	2/4	2	1		vi		F	V		vi		vi							m	0	0	3, 0, 4		3	3
18	18	287/8	0.125	15/32	15/32	2/4	2	1		It6		F	V		It6	It	vii	o	6	b3	V			It	0	0	-4, 0, 6		6	-4
19	19	36	2.0	0	0	2/4	2	1		V		F	V		V		V							M	0	0	1, 5, 2		1	1
20	20	38	0.5	0	0	2/4	2	1		I		F	V		I		I							M	0	0	0, 4, 1		0	0
