mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	10.0	0	0	2/4	2	1	F.I{	F	I		I		I						{	M	0	0	0, 4, 1		0	0
6	6	10	2.0	0	0	2/4	2	1	viio	F	I		viio		vii	o						o	0	0	5, 2, -1		5	5
7	7	12	1.0	0	0	2/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
7	7	13	1.0	1/4	1/4	2/4	2	1	IV	F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
8	8	14	2.0	0	0	2/4	2	1	V|HC}	F	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
9	9	16	2.0	0	0	2/4	2	1	#viio7/ii{	F	I		#viio7/ii		#vii	o	7		ii		{	o7	0	0	7, 4, 1, -2		7	7
10	10	18	1.0	0	0	2/4	2	1	ii	F	I		ii		ii							m	0	0	2, -1, 3		2	2
10	10	19	1.0	1/4	1/4	2/4	2	1	vii%7	F	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
11	11	20	2.0	0	0	2/4	2	2	I	F	I		I		I							M	0	0	0, 4, 1		0	0
12	12	22	2.0	0	0	2/4	2	2	V}	F	I		V		V						}	M	0	0	1, 5, 2		1	1
12	12	23	0.0	1/4	1/4	2/4	2	2	|HC	F	I									HC			0	0				
13	13	24	4.0	0	0	2/4	2	1	I{	F	I		I		I						{	M	0	0	0, 4, 1		0	0
15	15	28	4.0	0	0	2/4	2	1	V6	F	I		V6		V		6					M	0	0	5, 2, 1		1	5
17	17	32	1.0	0	0	2/4	2	1	V.viio6	F	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
17	17	33	1.0	1/4	1/4	2/4	2	1	V65	F	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
18	18	34	2.0	0	0	2/4	2	1	I	F	V		I		I							M	0	0	0, 4, 1		0	0
19	19	36	1.0	0	0	2/4	2	1	IV	F	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
19	19	37	1.0	1/4	1/4	2/4	2	1	V65/V	F	V		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
20	20	38	10.0	0	0	2/4	2	1	V|HC}	F	V		V		V					HC	}	M	0	0	1, 5, 2		1	1
21	21	40	0.0	0	0	2/4	2	1	{	F	V										{		0	0				
25	25	48	2.0	0	0	2/4	2	1	ii65	F	V		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
26	26	50	4.0	0	0	2/4	2	1	Fr43	F	V		Fr43	Fr	V		43	b5	V			Fr	0	0	-4, 0, 2, 6		2	-4
28	28	54	2.0	0	0	2/4	2	1	V|HC}	F	V		V		V					HC	}	M	0	0	1, 5, 2		1	1
29	29	56	2.0	0	0	2/4	2	1	V65/V/V{	F	V		V65/V/V		V		65		V/V		{	Mm7	0	0	7, 4, 1, 3		3	7
30	30	58	2.0	0	0	2/4	2	1	V/V	F	V		V/V		V				V			M	0	0	2, 6, 3		2	2
31	31	60	2.0	0	0	2/4	2	1	V65	F	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
32	32	62	2.0	0	0	2/4	2	1	I	F	V		I		I							M	0	0	0, 4, 1		0	0
33	33	64	2.0	0	0	2/4	2	1	I6	F	V		I6		I		6					M	0	0	4, 1, 0		0	4
34	34	66	2.0	0	0	2/4	2	2	IV	F	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
35	35	68	2.0	0	0	2/4	2	2	V7	F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
36	36	70	2.0	0	0	2/4	2	2	VI|DC}	F	V		VI		VI					DC	}	M	0	0	3, 7, 4		3	3
37	37	72	2.0	0	0	2/4	2	2	V65/V/V{	F	V		V65/V/V		V		65		V/V		{	Mm7	0	0	7, 4, 1, 3		3	7
38	38	74	2.0	0	0	2/4	2	1	VM7/V	F	V		VM7/V		V	M	7		V			MM7	0	0	2, 6, 3, 7		2	2
39	39	76	2.0	0	0	2/4	2	1	V6	F	V		V6		V		6					M	0	0	5, 2, 1		1	5
40	40	78	2.0	0	0	2/4	2	1	I(4)}	F	V		I(4)		I			4			}	M	0	0	0, -1, 1		0	0
41	41	80	2.0	0	0	2/4	2	1	I|IAC	F	V		I		I					IAC		M	0	0	0, 4, 1		0	0
42	42	82	2.0	0	0	2/4	2	1	V65/V/V{	F	V		V65/V/V		V		65		V/V		{	Mm7	0	0	7, 4, 1, 3		3	7
43	43	84	2.0	0	0	2/4	2	1	V/V	F	V		V/V		V				V			M	0	0	2, 6, 3		2	2
44	44	86	2.0	0	0	2/4	2	1	V65	F	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
45	45	88	2.0	0	0	2/4	2	1	V	F	V		V		V							M	0	0	1, 5, 2		1	1
46	46	90	2.0	0	0	2/4	2	1	I6	F	V		I6		I		6					M	0	0	4, 1, 0		0	4
47	47	92	2.0	0	0	2/4	2	1	IV	F	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
48	48	94	1.0	0	0	2/4	2	2	V(4)	F	V		V(4)		V			4				M	0	0	1, 0, 2		1	1
48	48	95	1.0	1/4	1/4	2/4	2	2	V7	F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
49	49	96	2.0	0	0	2/4	2	1	I|PAC}{	F	V		I		I					PAC	}{	M	0	0	0, 4, 1		0	0
50	50	98	2.0	0	0	2/4	2	1	I6	F	V		I6		I		6					M	0	0	4, 1, 0		0	4
51	51	100	2.0	0	0	2/4	2	1	ii65	F	V		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
52	52	102	2.0	0	0	2/4	2	1	V7	F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
53	53	104	2.0	0	0	2/4	2	1	I}{	F	V		I		I						}{	M	0	0	0, 4, 1		0	0
54	54	106	1.0	0	0	2/4	2	1	I6	F	V		I6		I		6					M	0	0	4, 1, 0		0	4
54	54	107	1.0	1/4	1/4	2/4	2	1	ii65	F	V		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
55	55	108	1.0	0	0	2/4	2	1	I64	F	V		I64		I		64					M	0	0	1, 0, 4		0	1
55	55	109	1.0	1/4	1/4	2/4	2	1	vi	F	V		vi		vi							m	0	0	3, 0, 4		3	3
56	56	110	1.0	0	0	2/4	2	1	ii6	F	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
56	56	111	1.0	1/4	1/4	2/4	2	1	V7	F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
57	57	112	14.0	0	0	2/4	2	1	I|PAC}	F	V		I		I					PAC	}	M	0	0	0, 4, 1		0	0
58	58	114	0.0	0	0	2/4	2	1	{	F	V										{		0	0				
64	64	126	2.0	0	0	2/4	2	1	I.V	F	I		V		V							M	0	0	1, 5, 2		1	1
65	65	128	14.0	0	0	2/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
66	66	130	0.0	0	0	2/4	2	1	}{	F	I										}{		0	0				
72	72	142	2.0	0	0	2/4	2	1	V7/IV	F	I		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
73	73	144	3.0	0	0	2/4	2	1	IV	F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
74	74	147	1.0	1/4	1/4	2/4	2	1	V6/V	F	I		V6/V		V		6		V			M	0	0	6, 3, 2		2	6
75	75	148	3.0	0	0	2/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
76	76	151	1.0	1/4	1/4	2/4	2	1	vi.V6	F	vi		V6		V		6					M	0	1	5, 2, 1		1	5
77	77	152	12.0	0	0	2/4	2	1	i	F	vi		i		i							m	0	1	0, -3, 1		0	0
78	78	154	0.0	0	0	2/4	2	1	}{	F	vi										}{		0	1				
83	83	164	2.0	0	0	2/4	2	1	V65	F	vi		V65		V		65					Mm7	0	1	5, 2, -1, 1		1	5
84	84	166	1.0	0	0	2/4	2	1	i	F	vi		i		i							m	0	1	0, -3, 1		0	0
84	84	167	1.0	1/4	1/4	2/4	2	1	ii6	F	vi		ii6		ii		6					m	0	1	-1, 3, 2		2	-1
85	85	168	10.0	0	0	2/4	2	1	V|HC}	F	vi		V		V					HC	}	M	0	1	1, 5, 2		1	1
86	86	170	0.0	0	0	2/4	2	1	{	F	vi										{		0	1				
90	90	178	2.0	0	0	2/4	2	1	viio65/iv	F	vi		viio65/iv		vii	o	65		iv			o7	0	1	-6, -9, -12, -3		-3	-6
91	91	180	2.0	0	0	2/4	2	1	iv6	F	vi		iv6		iv		6					m	0	1	-4, 0, -1		-1	-4
92	92	182	2.0	0	0	2/4	2	1	Ger65	F	vi		Ger65	Ger	vii	o	65	b3	V			Ger	0	1	-4, 0, -3, 6		6	-4
93	93	184	2.0	0	0	2/4	2	1	V}	F	vi		V		V						}	M	0	1	1, 5, 2		1	1
93	93	185	0.0	1/4	1/4	2/4	2	1	|HC	F	vi									HC			0	1				
94	94	186	2.0	0	0	2/4	2	1	#viio6/iv{	F	vi		#viio6/iv		#vii	o	6		iv		{	o	0	1	1, -2, 4		4	1
95	95	188	2.0	0	0	2/4	2	1	iv	F	vi		iv		iv							m	0	1	-1, -4, 0		-1	-1
96	96	190	2.0	0	0	2/4	2	1	viio6/V	F	vi		viio6/V		vii	o	6		V			o	0	1	3, 0, 6		6	3
97	97	192	2.0	0	0	2/4	2	1	V6	F	vi		V6		V		6					M	0	1	5, 2, 1		1	5
98	98	194	2.0	0	0	2/4	2	3	V43(9)	F	vi		V43(9)		V		43	9				Mm7	0	1	2, -1, 1, 5	-4	1	2
99	99	196	1.0	0	0	2/4	2	1	i6	F	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
99	99	197	1.0	1/4	1/4	2/4	2	1	iv	F	vi		iv		iv							m	0	1	-1, -4, 0		-1	-1
100	100	198	2.0	0	0	2/4	2	3	V6	F	vi		V6		V		6					M	0	1	5, 2, 1		1	5
101	101	200	2.0	0	0	2/4	2	1	VI|DC}	F	vi		VI		VI					DC	}	M	0	1	-4, 0, -3		-4	-4
102	102	202	2.0	0	0	2/4	2	1	VI6{	F	vi		VI6		VI		6				{	M	0	1	0, -3, -4		-4	0
103	103	204	2.0	0	0	2/4	2	1	V6	F	vi		V6		V		6					M	0	1	5, 2, 1		1	5
104	104	206	2.0	0	0	2/4	2	1	viio43/IV	F	vi		viio43/IV		vii	o	43		IV			o7	0	1	-2, -5, 4, 1		4	-2
105	105	208	2.0	0	0	2/4	2	1	IV6	F	vi		IV6		IV		6					M	0	1	3, 0, -1		-1	3
106	106	210	2.0	0	0	2/4	2	2	ii%43	F	vi		ii%43		ii	%	43					%7	0	1	-4, 0, 2, -1		2	-4
107	107	212	1.0	0	0	2/4	2	2	i64	F	vi		i64		i		64					m	0	1	1, 0, -3		0	1
107	107	213	1.0	1/4	1/4	2/4	2	2	iv	F	vi		iv		iv							m	0	1	-1, -4, 0		-1	-1
108	108	214	1.0	0	0	2/4	2	1	V(6)	F	vi		V(6)		V			6				M	0	1	1, 5, -3		1	1
108	108	215	1.0	1/4	1/4	2/4	2	1	V	F	vi		V		V							M	0	1	1, 5, 2		1	1
109	109	216	2.0	0	0	2/4	2	1	i|PAC}{	F	vi		i		i					PAC	}{	m	0	1	0, -3, 1		0	0
110	110	218	1.0	0	0	2/4	2	1	i6	F	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
110	110	219	1.0	1/4	1/4	2/4	2	1	ii%65	F	vi		ii%65		ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
111	111	220	1.0	0	0	2/4	2	1	i64	F	vi		i64		i		64					m	0	1	1, 0, -3		0	1
111	111	221	1.0	1/4	1/4	2/4	2	1	iv6	F	vi		iv6		iv		6					m	0	1	-4, 0, -1		-1	-4
112	112	222	1.0	0	0	2/4	2	1	iio6	F	vi		iio6		ii	o	6					o	0	1	-1, -4, 2		2	-1
112	112	223	1.0	1/4	1/4	2/4	2	1	V7	F	vi		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
113	113	224	2.0	0	0	2/4	2	1	i|PAC}	F	vi		i		i					PAC	}	m	0	1	0, -3, 1		0	0
114	114	226	10.0	0	0	2/4	2	1	I.I{	F	I		I		I						{	M	0	0	0, 4, 1		0	0
119	119	236	2.0	0	0	2/4	2	1	viio	F	I		viio		vii	o						o	0	0	5, 2, -1		5	5
120	120	238	1.0	0	0	2/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
120	120	239	1.0	1/4	1/4	2/4	2	1	IV	F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
121	121	240	2.0	0	0	2/4	2	1	V|HC}	F	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
122	122	242	2.0	0	0	2/4	2	1	#viio7/ii{	F	I		#viio7/ii		#vii	o	7		ii		{	o7	0	0	7, 4, 1, -2		7	7
123	123	244	1.0	0	0	2/4	2	2	ii	F	I		ii		ii							m	0	0	2, -1, 3		2	2
123	123	245	1.0	1/4	1/4	2/4	2	2	vii%7	F	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
124	124	246	2.0	0	0	2/4	2	2	I	F	I		I		I							M	0	0	0, 4, 1		0	0
125	125	248	2.0	0	0	2/4	2	2	V}	F	I		V		V						}	M	0	0	1, 5, 2		1	1
125	125	249	0.0	1/4	1/4	2/4	2	2	|HC	F	I									HC			0	0				
126	126	250	2.0	0	0	2/4	2	1	viio6{	F	I		viio6		vii	o	6				{	o	0	0	2, -1, 5		5	2
127	127	252	4.0	0	0	2/4	2	2	I64	F	I		I64		I		64					M	0	0	1, 0, 4		0	1
129	129	256	2.0	0	0	2/4	2	2	V7(9)	F	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
130	130	258	2.0	0	0	2/4	2	2	I64	F	I		I64		I		64					M	0	0	1, 0, 4		0	1
131	131	260	2.0	0	0	2/4	2	2	V|HC}	F	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
132	132	262	2.0	0	0	2/4	2	1	V65/V/V{	F	I		V65/V/V		V		65		V/V		{	Mm7	0	0	7, 4, 1, 3		3	7
