mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
28	28	83	1.0	1/2	1/2	3/4	2	1	V7/iv				V7/iv	V		7		iv				Mm7	0, 4, 1, -2		0	0
29	29	84	3.0	0	0	3/4	2	1	iv				iv	iv								m	-1, -4, 0		-1	-1
30	30	87	3.0	0	0	3/4	2	1	V7/III				V7/III	V		7		III				Mm7	-2, 2, -1, -4		-2	-2
31	31	90	3.0	0	0	3/4	2	1	III				III	III								M	-3, 1, -2		-3	-3
32	32	93	3.0	0	0	3/4	2	2	VI				VI	VI								M	-4, 0, -3		-4	-4
33	33	96	7.0	0	0	3/4	2	1	V7|HC}{				V7	V		7				HC	}{	Mm7	1, 5, 2, -1		1	1
35	35	103	2.0	1/4	1/4	3/4	2	1	viio7				viio7	vii	o	7						o7	-2, -5, -8, -11		-2	-2
36	36	105	2.5	0	0	3/4	2	2	i				i	i								m	0, -3, 1		0	0
36	36	215/2	0.5	5/8	5/8	3/4	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
37	37	108	3.0	0	0	3/4	2	1	VI				VI	VI								M	-4, 0, -3		-4	-4
38	38	111	2.0	0	0	3/4	2	2	V(64)				V(64)	V			64					M	1, 0, -3		1	1
38	38	113	1.0	1/2	1/2	3/4	2	2	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
39	39	114	1.0	0	0	3/4	2	2	iM7(9)}				iM7(9)	i	M	7	9				}	mM7	0, -3, 1, 5	2	0	0
39	39	115	2.0	1/4	1/4	3/4	2	2	i|PAC				i	i						PAC		m	0, -3, 1		0	0
