mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	2/4	2	1	d.i6{		d	i		i6		i		6				{	m	1	1	-3, 1, 0		0	-3
1	1	1	0.5	1/4	1/4	2/4	2	1	#viio6		d	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
1	1	3/2	0.5	3/8	3/8	2/4	2	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
2	2	2	0.5	0	0	2/4	2	1	#viio		d	i		#viio		#vii	o						o	1	1	5, 2, -1		5	5
2	2	5/2	1.5	1/8	1/8	2/4	2	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
3	3	4	0.5	0	0	2/4	2	1	iio6(94)		d	i		iio6(94)		ii	o	6	94				o	1	1	1, -4, 2	-3	2	1
3	3	9/2	0.5	1/8	1/8	2/4	2	1	iio6		d	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
3	3	5	0.5	1/4	1/4	2/4	2	1	viio7(b86)/V		d	i		viio7(b86)/V		vii	o	7	b86	V			o7	1	1	6, 3, 2, -3		6	6
3	3	11/2	0.5	3/8	3/8	2/4	2	1	viio7/V		d	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
4	4	6	0.5	0	0	2/4	2	1	V		d	i		V		V							M	1	1	1, 5, 2		1	1
4	4	13/2	0.5	1/8	1/8	2/4	2	1	VI		d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
4	4	7	0.5	1/4	1/4	2/4	2	1	i64		d	i		i64		i		64					m	1	1	1, 0, -3		0	1
4	4	15/2	0.5	3/8	3/8	2/4	2	1	iv		d	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
5	5	8	0.5	0	0	2/4	2	1	V6/iv		d	i		V6/iv		V		6		iv			M	1	1	4, 1, 0		0	4
5	5	17/2	0.5	1/8	1/8	2/4	2	1	V65/iv		d	i		V65/iv		V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
5	5	9	0.5	1/4	1/4	2/4	2	1	iv(94)		d	i		iv(94)		iv			94				m	1	1	-1, -2, 0	1	-1	-1
5	5	19/2	0.5	3/8	3/8	2/4	2	1	iv		d	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
6	6	10	0.5	0	0	2/4	2	1	V(9)		d	i		V(9)		V			9				M	1	1	1, 5, 2	-4	1	1
6	6	21/2	0.5	1/8	1/8	2/4	2	1	V		d	i		V		V							M	1	1	1, 5, 2		1	1
6	6	11	0.5	1/4	1/4	2/4	2	1	VIM7		d	i		VIM7		VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
6	6	23/2	0.5	3/8	3/8	2/4	2	1	It6		d	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
7	7	12	1.0	0	0	2/4	2	1	V65		d	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
