mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	4/4	2	1	d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
2	2	4	4.0	0	0	4/4	2	1	V6	d	i		V6	V		6					M	1	1	5, 2, 1		1	5
3	3	8	4.0	0	0	4/4	2	1	V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	12	4.0	0	0	4/4	2	1	i}	d	i		i	i						}	m	1	1	0, -3, 1		0	0
4	4	13	0.0	1/4	1/4	4/4	2	1	|IAC	d	i								IAC			1	1				
5	5	16	4.0	0	0	4/4	2	1	V7{	d	i		V7	V		7				{	Mm7	1	1	1, 5, 2, -1		1	1
6	6	20	4.0	0	0	4/4	2	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
7	7	24	2.0	0	0	4/4	2	1	iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
7	7	26	2.0	1/2	1/2	4/4	2	1	VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
8	8	28	2.0	0	0	4/4	2	1	III6	d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
8	8	30	2.0	1/2	1/2	4/4	2	1	VI	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
9	9	32	2.0	0	0	4/4	2	1	iio6	d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
9	9	34	2.0	1/2	1/2	4/4	2	1	V[V7	d	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	10	36	2.0	0	0	4/4	2	1	i6	d	i	V	i6	i		6					m	1	1	-3, 1, 0		0	-3
10	10	38	2.0	1/2	1/2	4/4	2	1	V2	d	i	V	V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
11	11	40	2.0	0	0	4/4	2	1	III6]	d	i	V	III6	III		6					M	1	1	1, -2, -3		-3	1
11	11	42	2.0	1/2	1/2	4/4	2	1	VI	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
12	12	44	4.0	0	0	4/4	2	1	viio65/V	d	i		viio65/V	vii	o	65		V			o7	1	1	3, 0, -3, 6		6	3
13	13	48	4.0	0	0	4/4	2	2	V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
14	14	52	4.0	0	0	4/4	2	2	i|PAC}	d	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
