mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	4.0	0	1/2	3/4	2	1	c.i{		c	i		i	i						{	m	1	1	0, -3, 1		0	0
3	2	4	4	5.0	0	0	3/4	2	1	V6		c	i		V6	V		6					M	1	1	5, 2, 1		1	5
4	3	9	9	1.0	1/2	1/2	3/4	2	1	#viio		c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
5	4	10	10	4.0	0	0	3/4	2	1	i|IAC}		c	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
5	4	12	12	0.0	1/2	1/2	3/4	2	1	{		c	i									{		1	1				
6	5	14	14	3.0	1/4	1/4	3/4	2	1	VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
7	6	17	17	3.0	1/4	1/4	3/4	2	1	iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
8	7	20	20	1.0	1/4	1/4	3/4	2	1	V/III		c	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
8	7	21	21	1.0	1/2	1/2	3/4	2	1	V7/III		c	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
9	8	22	22	1.0	0	0	3/4	2	1	III(74)		c	i		III(74)	III			74				M	1	1	-3, -4, -2	2	-3	-3
9	8	23	23	2.0	1/4	1/4	3/4	2	1	III|PAC}		c	i		III	III					PAC	}	M	1	1	-3, 1, -2		-3	-3
9	8	24	24	0.0	1/2	1/2	3/4	2	1	{		c	i									{		1	1				
10	9	25	25	3.0	0	0	3/4	2	1	i		c	i		i	i							m	1	1	0, -3, 1		0	0
11	10	28	28	5.0	0	0	3/4	2	1	V6		c	i		V6	V		6					M	1	1	5, 2, 1		1	5
12	11	33	33	1.0	1/2	1/2	3/4	2	1	#viio7		c	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
13	12	34	34	4.0	0	0	3/4	2	1	i|IAC}		c	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
13	12	36	36	0.0	1/2	1/2	3/4	2	1	{		c	i									{		1	1				
14	13	38	38	2.0	1/4	1/4	3/4	2	1	VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
15	14	40	40	3.0	0	0	3/4	2	1	iv65		c	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
16	15	43	43	2.0	0	0	3/4	2	1	iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
16	15	45	45	1.0	1/2	1/2	3/4	2	1	V7/III		c	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
17	16	46	46	1.0	0	0	3/4	2	1	III(74)		c	i		III(74)	III			74				M	1	1	-3, -4, -2	2	-3	-3
17	16	47	47	2.0	1/4	1/4	3/4	2	1	III|PAC}		c	i		III	III					PAC	}	M	1	1	-3, 1, -2		-3	-3
17	16	48	48	0.0	1/2	1/2	3/4	2	1	{		c	i									{		1	1				
18	17	49	49	3.0	0	0	3/4	2	1	V/iv		c	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
19	18	52	52	1.0	0	0	3/4	2	1	iv6(2)		c	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
19	18	53	53	2.0	1/4	1/4	3/4	2	1	iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
20	19	55	55	3.0	0	0	3/4	2	1	V/III		c	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
21	20	58	58	1.0	0	0	3/4	2	1	III6(2)		c	i		III6(2)	III		6	2				M	1	1	1, -2, -1		-3	1
21	20	59	59	1.0	1/4	1/4	3/4	2	1	III6		c	i		III6	III		6					M	1	1	1, -2, -3		-3	1
21	20	60	60	1.0	1/2	1/2	3/4	2	1	III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
22	21	61	61	1.0	0	0	3/4	2	1	iv(^2)		c	i		iv(^2)	iv			^2				m	1	1	-1, 1, 0		-1	-1
22	21	62	62	2.0	1/4	1/4	3/4	2	1	iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
23	22	64	64	1.0	0	0	3/4	2	1	iio		c	i		iio	ii	o						o	1	1	2, -1, -4		2	2
23	22	65	65	1.0	1/4	1/4	3/4	2	1	#viio64		c	i		#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
