mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.5	0	0	6/8	2	1	C.I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	3/2	3/2	1.0	3/8	3/8	6/8	2	1	ii2		C	I		ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
1	1	5/2	5/2	1.5	5/8	5/8	6/8	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
2	2	4	4	0.5	1/4	1/4	6/8	2	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	2	9/2	9/2	1.0	3/8	3/8	6/8	2	1	ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
2	2	11/2	11/2	2.0	5/8	5/8	6/8	2	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	15/2	15/2	0.5	3/8	3/8	6/8	2	1	IV(4)		C	I		IV(4)		IV			4				M	0	0	-1, 5, 0		-1	-1
3	3	8	8	1.0	1/2	1/2	6/8	2	1	IV		C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	4	9	9	1.5	0	0	6/8	2	1	ii		C	I		ii		ii							m	0	0	2, -1, 3		2	2
4	4	21/2	21/2	1.0	3/8	3/8	6/8	2	1	V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
4	4	23/2	23/2	0.5	5/8	5/8	6/8	2	1	V|HC}		C	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
5	5	12	12	1.5	0	0	6/8	2	1	I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
5	5	27/2	27/2	1.0	3/8	3/8	6/8	2	1	ii2		C	I		ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
5	5	29/2	29/2	1.5	5/8	5/8	6/8	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
6	6	16	16	0.5	1/4	1/4	6/8	2	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	33/2	33/2	1.0	3/8	3/8	6/8	2	1	ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
6	6	35/2	35/2	2.0	5/8	5/8	6/8	2	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	39/2	39/2	1.5	3/8	3/8	6/8	2	1	ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	8	21	21	1.0	0	0	6/8	2	1	V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	8	22	22	0.5	1/4	1/4	6/8	2	1	V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	45/2	45/2	1.0	3/8	3/8	6/8	2	1	I(74)		C	I		I(74)		I			74				M	0	0	0, -1, 1	5	0	0
8	8	47/2	47/2	0.5	5/8	5/8	6/8	2	1	I|PAC}		C	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
9	9	24	24	1.5	0	0	6/8	2	1	I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
9	9	51/2	51/2	1.0	3/8	3/8	6/8	2	1	ii2		C	I		ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
9	9	53/2	53/2	1.5	5/8	5/8	6/8	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
10	10	28	28	0.5	1/4	1/4	6/8	2	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	10	57/2	57/2	1.0	3/8	3/8	6/8	2	1	ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
10	10	59/2	59/2	2.0	5/8	5/8	6/8	2	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
11	11	63/2	63/2	1.5	3/8	3/8	6/8	2	1	IV		C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
12	12	33	33	1.5	0	0	6/8	2	1	ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
12	12	69/2	69/2	1.0	3/8	3/8	6/8	2	1	V(4)		C	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
12	12	71/2	71/2	0.5	5/8	5/8	6/8	2	1	V|HC}		C	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
13	13	36	36	1.5	0	0	6/8	2	1	I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
13	13	75/2	75/2	1.0	3/8	3/8	6/8	2	1	ii2		C	I		ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
13	13	77/2	77/2	1.5	5/8	5/8	6/8	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
14	14	40	40	0.5	1/4	1/4	6/8	2	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
14	14	81/2	81/2	1.0	3/8	3/8	6/8	2	1	ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
14	14	83/2	83/2	2.0	5/8	5/8	6/8	2	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	87/2	87/2	1.5	3/8	3/8	6/8	2	1	ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
16	16	45	45	1.0	0	0	6/8	2	1	V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
16	16	46	46	0.5	1/4	1/4	6/8	2	1	V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	93/2	93/2	1.0	3/8	3/8	6/8	2	1	I(94)		C	I		I(94)		I			94				M	0	0	0, -1, 1	2	0	0
16	16	95/2	95/2	2.0	5/8	5/8	6/8	2	1	I|PAC}		C	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
17	17	48	48	0.0	0	0	6/8	2	1	{		C	I										{		0	0				
