mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	4/4	2	2	d.i[i{	d	i	i	i		i						{	m	1	1	0, -3, 1		0	0
1	1	2	2.0	1/2	1/2	4/4	2	2	#viio6	d	i	i	#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
1	1	4	2.0	1	1	4/4	2	2	V2(b9)	d	i	i	V2(b9)		V		2	b9				Mm7	1	1	-1, 1, 5, 2	-11	1	-1
1	1	6	2.0	3/2	3/2	4/4	2	2	i]	d	i	i	i		i							m	1	1	0, -3, 1		0	0
1	1	8	2.0	2	2	4/4	2	2	V2/iv	d	i		V2/iv		V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
1	1	10	2.0	5/2	5/2	4/4	2	2	V2/VII	d	i		V2/VII		V		2		VII			Mm7	1	1	-3, -1, 3, 0		-1	-3
1	1	12	2.0	3	3	4/4	2	2	V7/V	d	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
1	1	14	2.0	7/2	7/2	4/4	2	2	i6	d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
1	1	16	2.0	4	4	4/4	2	2	V65/V	d	i		V65/V		V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
1	1	18	2.0	9/2	9/2	4/4	2	2	V2	d	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
1	1	20	2.0	5	5	4/4	2	2	i65	d	i		i65		i		65					mm7	1	1	-3, 1, -2, 0		0	-3
1	1	22	2.0	11/2	11/2	4/4	2	2	iv6	d	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
1	1	24	2.0	6	6	4/4	2	2	Ger6/iv	d	i		Ger6/iv	Ger	vii	o	65	b3	V/iv			Ger	1	1	-5, -1, -4, 5		5	-5
1	1	26	2.0	13/2	13/2	4/4	2	2	#viio6	d	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
1	1	28	2.0	7	7	4/4	2	2	V	d	i		V		V							M	1	1	1, 5, 2		1	1
1	1	30	2.0	15/2	15/2	4/4	2	2	V(64)	d	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
1	1	32	2.0	8	8	4/4	2	2	V[viio43/V]	d	i	V	viio43/V		vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
1	1	34	2.5	17/2	17/2	4/4	2	2	V(64)	d	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
2	2	73/2	0.25	1/8	1/8	4/4	1	1	i6	d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
2	2	147/4	0.25	3/16	3/16	4/4	1	1	#viio6	d	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	37	0.25	1/4	1/4	4/4	1	1	VI6	d	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
