mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	4/4	2	1	Bb.I{	Bb	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	2	1.0	1/2	1/2	4/4	2	1	V65	Bb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
1	1	3	1.0	3/4	3/4	4/4	2	1	I	Bb	I		I	I							M	0	0	0, 4, 1		0	0
2	2	4	1.0	0	0	4/4	2	1	ii65	Bb	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
2	2	5	1.0	1/4	1/4	4/4	2	1	V	Bb	I		V	V							M	0	0	1, 5, 2		1	1
2	2	6	3.5	1/2	1/2	4/4	2	1	I|IAC}	Bb	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
3	3	8	0.0	0	0	4/4	2	1	{	Bb	I									{		0	0				
3	3	19/2	0.5	3/8	3/8	4/4	2	1	V6/ii	Bb	I		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
3	3	10	1.0	1/2	1/2	4/4	2	1	ii(9)	Bb	I		ii(9)	ii			9				m	0	0	2, -1, 3	4	2	2
3	3	11	1.0	3/4	3/4	4/4	2	1	V65	Bb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	4	12	1.0	0	0	4/4	2	1	I(^2)	Bb	I		I(^2)	I			^2				M	0	0	0, 2, 1		0	0
4	4	13	1.0	1/4	1/4	4/4	2	1	vii%7/V	Bb	I		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
4	4	14	1.0	1/2	1/2	4/4	2	1	V(64)}	Bb	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
4	4	15	1.0	3/4	3/4	4/4	2	1	V|HC	Bb	I		V	V					HC		M	0	0	1, 5, 2		1	1
5	5	16	2.0	0	0	4/4	2	1	V.I{	Bb	V		I	I						{	M	0	0	0, 4, 1		0	0
5	5	18	4.0	1/2	1/2	4/4	2	1	viio6	Bb	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
6	6	22	1.0	1/2	1/2	4/4	2	1	I6(7)}	Bb	V		I6(7)	I		6	7			}	M	0	0	4, 1, 5		0	4
6	6	23	1.0	3/4	3/4	4/4	2	1	I6	Bb	V		I6	I		6					M	0	0	4, 1, 0		0	4
7	7	24	2.0	0	0	4/4	2	1	V65/IV{	Bb	V		V65/IV	V		65		IV		{	Mm7	0	0	4, 1, -2, 0		0	4
7	7	26	2.0	1/2	1/2	4/4	2	1	IV	Bb	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	8	28	2.0	0	0	4/4	2	1	ii	Bb	V		ii	ii							m	0	0	2, -1, 3		2	2
8	8	30	1.0	1/2	1/2	4/4	2	1	V(4)}	Bb	V		V(4)	V			4			}	M	0	0	1, 0, 2		1	1
8	8	31	1.0	3/4	3/4	4/4	2	1	V|HC	Bb	V		V	V					HC		M	0	0	1, 5, 2		1	1
9	9	32	2.0	0	0	4/4	2	1	V65{	Bb	V		V65	V		65				{	Mm7	0	0	5, 2, -1, 1		1	5
9	9	34	2.0	1/2	1/2	4/4	2	1	I64	Bb	V		I64	I		64					M	0	0	1, 0, 4		0	1
10	10	36	2.0	0	0	4/4	2	1	V7	Bb	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	38	2.0	1/2	1/2	4/4	2	1	I	Bb	V		I	I							M	0	0	0, 4, 1		0	0
11	11	40	2.0	0	0	4/4	2	1	ii6	Bb	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
11	11	42	1.0	1/2	1/2	4/4	2	1	V2	Bb	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
11	11	43	1.0	3/4	3/4	4/4	2	1	I6	Bb	V		I6	I		6					M	0	0	4, 1, 0		0	4
12	12	44	0.5	0	0	4/4	2	1	IV(^2)	Bb	V		IV(^2)	IV			^2				M	0	0	-1, 1, 0		-1	-1
12	12	89/2	0.5	1/8	1/8	4/4	2	1	IV	Bb	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
12	12	45	0.5	1/4	1/4	4/4	2	1	V(64)	Bb	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
12	12	91/2	0.5	3/8	3/8	4/4	2	1	V	Bb	V		V	V							M	0	0	1, 5, 2		1	1
12	12	46	1.0	1/2	1/2	4/4	2	1	I|PAC}{	Bb	V		I	I					PAC	}{	M	0	0	0, 4, 1		0	0
12	12	47	0.5	3/4	3/4	4/4	2	1	V6	Bb	V		V6	V		6					M	0	0	5, 2, 1		1	5
12	12	95/2	0.5	7/8	7/8	4/4	2	1	V43	Bb	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
13	13	48	0.5	0	0	4/4	2	1	I	Bb	V		I	I							M	0	0	0, 4, 1		0	0
13	13	97/2	0.5	1/8	1/8	4/4	2	1	I6	Bb	V		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	49	0.5	1/4	1/4	4/4	2	1	V64	Bb	V		V64	V		64					M	0	0	2, 1, 5		1	2
13	13	99/2	0.5	3/8	3/8	4/4	2	1	V2	Bb	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
13	13	50	0.5	1/2	1/2	4/4	2	1	I6	Bb	V		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	101/2	0.5	5/8	5/8	4/4	2	1	I	Bb	V		I	I							M	0	0	0, 4, 1		0	0
13	13	51	0.5	3/4	3/4	4/4	2	1	V6	Bb	V		V6	V		6					M	0	0	5, 2, 1		1	5
13	13	103/2	0.5	7/8	7/8	4/4	2	1	V43	Bb	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	14	52	0.5	0	0	4/4	2	1	I	Bb	V		I	I							M	0	0	0, 4, 1		0	0
14	14	105/2	0.5	1/8	1/8	4/4	2	1	vi6	Bb	V		vi6	vi		6					m	0	0	0, 4, 3		3	0
14	14	53	0.5	1/4	1/4	4/4	2	1	V64/vi	Bb	V		V64/vi	V		64		vi			M	0	0	5, 4, 8		4	5
14	14	107/2	0.5	3/8	3/8	4/4	2	1	V43/vi	Bb	V		V43/vi	V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
14	14	54	2.0	1/2	1/2	4/4	2	1	vi}	Bb	V		vi	vi						}	m	0	0	3, 0, 4		3	3
15	15	56	1.5	0	0	4/4	2	1	I6{	Bb	V		I6	I		6				{	M	0	0	4, 1, 0		0	4
15	15	115/2	0.5	3/8	3/8	4/4	2	1	V65/IV	Bb	V		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
