mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	2/4	2	1	a.i{		a	i		i		i						{	m	1	1	0, -3, 1		0	0
2	2	2	2.0	0	0	2/4	2	1	#viio7		a	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
3	3	4	1.0	0	0	2/4	2	1	I		a	i		I		I							M	1	1	0, 4, 1		0	0
3	3	5	1.0	1/4	1/4	2/4	2	1	V7		a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	6	0.5	0	0	2/4	2	1	i(42)		a	i		i(42)		i			42				m	1	1	2, -1, 1		0	2
4	4	13/2	0.5	1/8	1/8	2/4	2	1	viio7/V		a	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
4	4	7	1.0	1/4	1/4	2/4	2	1	V|HC}		a	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
5	5	8	2.0	0	0	2/4	2	1	i{		a	i		i		i						{	m	1	1	0, -3, 1		0	0
6	6	10	2.0	0	0	2/4	2	1	#viio7		a	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
7	7	12	0.5	0	0	2/4	2	1	i		a	i		i		i							m	1	1	0, -3, 1		0	0
7	7	25/2	0.5	1/8	1/8	2/4	2	1	iv		a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
7	7	13	0.5	1/4	1/4	2/4	2	1	V(64)		a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
7	7	27/2	0.5	3/8	3/8	2/4	2	1	V		a	i		V		V							M	1	1	1, 5, 2		1	1
8	8	14	4.0	0	0	2/4	2	1	i|PAC}		a	i		i		i					PAC	}	m	1	1	0, -3, 1		0	0
9	9	16	0.0	0	0	2/4	2	1	{		a	i										{		1	1				
10	10	18	2.0	0	0	2/4	2	1	#viio7		a	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
11	11	20	1.0	0	0	2/4	2	1	i		a	i		i		i							m	1	1	0, -3, 1		0	0
11	11	21	1.0	1/4	1/4	2/4	2	1	V7		a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	12	22	0.5	0	0	2/4	2	1	i(42)		a	i		i(42)		i			42				m	1	1	2, -1, 1		0	2
12	12	45/2	0.5	1/8	1/8	2/4	2	1	viio7/V		a	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
12	12	23	1.0	1/4	1/4	2/4	2	1	V|HC}		a	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
13	13	24	2.0	0	0	2/4	2	1	i{		a	i		i		i						{	m	1	1	0, -3, 1		0	0
14	14	26	2.0	0	0	2/4	2	1	#viio7		a	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
15	15	28	0.5	0	0	2/4	2	1	i		a	i		i		i							m	1	1	0, -3, 1		0	0
15	15	57/2	0.5	1/8	1/8	2/4	2	1	iv		a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
15	15	29	0.5	1/4	1/4	2/4	2	1	V(64)		a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
15	15	59/2	0.5	3/8	3/8	2/4	2	1	V7		a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
16	16	30	2.0	0	0	2/4	2	1	i|PAC}		a	i		i		i					PAC	}	m	1	1	0, -3, 1		0	0
17	17	32	1.0	0	0	2/4	2	1	III.I6{		a	III		I6		I		6				{	M	1	0	4, 1, 0		0	4
17	17	33	1.0	1/4	1/4	2/4	2	1	viio		a	III		viio		vii	o						o	1	0	5, 2, -1		5	5
18	18	34	1.0	0	0	2/4	2	1	V		a	III		V		V							M	1	0	1, 5, 2		1	1
18	18	35	1.0	1/4	1/4	2/4	2	1	I		a	III		I		I							M	1	0	0, 4, 1		0	0
19	19	36	1.0	0	0	2/4	2	1	IV		a	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
19	19	37	1.0	1/4	1/4	2/4	2	1	ii		a	III		ii		ii							m	1	0	2, -1, 3		2	2
20	20	38	0.5	0	0	2/4	2	1	viio		a	III		viio		vii	o						o	1	0	5, 2, -1		5	5
20	20	77/2	0.5	1/8	1/8	2/4	2	1	viio6/V		a	III		viio6/V		vii	o	6		V			o	1	0	3, 0, 6		6	3
20	20	39	1.0	1/4	1/4	2/4	2	1	V|HC}		a	III		V		V					HC	}	M	1	0	1, 5, 2		1	1
21	21	40	2.0	0	0	2/4	2	1	V2{		a	III		V2		V		2				{	Mm7	1	0	-1, 1, 5, 2		1	-1
22	22	42	1.0	0	0	2/4	2	1	viio7/V		a	III		viio7/V		vii	o	7		V			o7	1	0	6, 3, 0, -3		6	6
22	22	43	0.5	1/4	1/4	2/4	2	1	V(b64)		a	III		V(b64)		V			b64				M	1	0	1, 0, -3		1	1
22	22	87/2	0.5	3/8	3/8	2/4	2	1	V		a	III		V		V							M	1	0	1, 5, 2		1	1
23	23	44	2.0	0	0	2/4	2	1	V2		a	III		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
24	24	46	1.0	0	0	2/4	2	1	I6		a	III		I6		I		6					M	1	0	4, 1, 0		0	4
24	24	47	0.5	1/4	1/4	2/4	2	1	viio6		a	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
24	24	95/2	0.5	3/8	3/8	2/4	2	1	I		a	III		I		I							M	1	0	0, 4, 1		0	0
25	25	48	0.25	0	0	2/4	2	1	IV		a	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
25	25	193/4	0.5	1/16	1/16	2/4	2	1	viio6		a	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
25	25	195/4	0.75	3/16	3/16	2/4	2	1	I6		a	III		I6		I		6					M	1	0	4, 1, 0		0	4
25	25	99/2	0.5	3/8	3/8	2/4	2	1	viio		a	III		viio		vii	o						o	1	0	5, 2, -1		5	5
26	26	50	0.5	0	0	2/4	2	1	i		a	III		i		i							m	1	0	0, -3, 1		0	0
26	26	101/2	0.5	1/8	1/8	2/4	2	1	V2/IV		a	III		V2/IV		V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
26	26	51	0.5	1/4	1/4	2/4	2	1	IV6		a	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
26	26	103/2	0.5	3/8	3/8	2/4	2	1	Fr6		a	III		Fr6	Fr	V		43	b5	V			Fr	1	0	-4, 0, 2, 6		2	-4
27	27	52	0.5	0	0	2/4	2	1	V		a	III		V		V							M	1	0	1, 5, 2		1	1
27	27	105/2	0.5	1/8	1/8	2/4	2	1	iv		a	III		iv		iv							m	1	0	-1, -4, 0		-1	-1
27	27	53	0.5	1/4	1/4	2/4	2	1	V(64)		a	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
27	27	107/2	0.5	3/8	3/8	2/4	2	1	V		a	III		V		V							M	1	0	1, 5, 2		1	1
28	28	54	1.5	0	0	2/4	2	1	I|PAC}{		a	III		I		I					PAC	}{	M	1	0	0, 4, 1		0	0
28	28	111/2	2.0	3/8	3/8	2/4	2	1	V2/IV		a	III		V2/IV		V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
29	29	115/2	1.0	3/8	3/8	2/4	2	1	V43/IV		a	III		V43/IV		V		43		IV			Mm7	1	0	1, -2, 0, 4		0	1
30	30	117/2	1.0	1/8	1/8	2/4	2	1	IV		a	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
30	30	119/2	0.375	3/8	3/8	2/4	2	1	I6		a	III		I6		I		6					M	1	0	4, 1, 0		0	4
30	30	479/8	0.125	15/32	15/32	2/4	2	1	viio6	ii	a	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
31	31	60	0.875	0	0	2/4	2	1	I		a	III		I		I							M	1	0	0, 4, 1		0	0
31	31	487/8	0.125	7/32	7/32	2/4	2	1	viio/V		a	III		viio/V		vii	o			V			o	1	0	6, 3, 0		6	6
31	31	61	0.875	1/4	1/4	2/4	2	1	V7		a	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
