mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
21	21	62	0.5	1/2	1/2	3/4	2	2	V43	A	v		V43	V		43						Mm7	0	1	2, -1, 1, 5		1	2
21	21	125/2	1.5	5/8	5/8	3/4	2	1	i	A	v		i	i								m	0	1	0, -3, 1		0	0
22	22	64	1.0	1/4	1/4	3/4	2	1	V65/V	A	v		V65/V	V		65		V				Mm7	0	1	6, 3, 0, 2		2	6
22	22	65	1.0	1/2	1/2	3/4	2	1	V|HC}	A	v		V	V						HC	}	M	0	1	1, 5, 2		1	1
23	23	66	1.0	0	0	3/4	2	1	I.#viio7/vi{	A	I		#viio7/vi	#vii	o	7		vi			{	o7	0	0	8, 5, 2, -1		8	8
23	23	67	3.0	1/4	1/4	3/4	2	1	i	A	I		i	i								m	0	0	0, -3, 1		0	0
24	24	70	1.0	1/4	1/4	3/4	2	1	V65/V	A	I		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
24	24	71	1.0	1/2	1/2	3/4	2	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
25	25	72	2.0	0	0	3/4	2	1	V2	A	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
25	25	74	1.0	1/2	1/2	3/4	2	1	i6	A	I		i6	i		6						m	0	0	-3, 1, 0		0	-3
26	26	75	1.0	0	0	3/4	2	1	#viio6	A	I		#viio6	#vii	o	6						o	0	0	2, -1, 5		5	2
26	26	76	1.0	1/4	1/4	3/4	2	1	i	A	I		i	i								m	0	0	0, -3, 1		0	0
26	26	77	1.0	1/2	1/2	3/4	2	1	V7}	A	I		V7	V		7					}	Mm7	0	0	1, 5, 2, -1		1	1
27	27	78	1.0	0	0	3/4	2	1	I[I{	A	I	I	I	I							{	M	0	0	0, 4, 1		0	0
27	27	79	3.0	1/4	1/4	3/4	2	1	viio6	A	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
28	28	82	1.0	1/4	1/4	3/4	2	1	vii%2	A	I		vii%2	vii	%	2						%7	0	0	3, 5, 2, -1		5	3
28	28	83	1.0	1/2	1/2	3/4	2	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
29	29	84	3.0	0	0	3/4	2	1	ii6	A	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
30	30	87	3.0	0	0	3/4	2	1	I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
31	31	90	1.0	0	0	3/4	2	1	IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
31	31	91	1.0	1/4	1/4	3/4	2	1	V(64)	A	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
31	31	92	1.0	1/2	1/2	3/4	2	1	V7	A	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
32	32	93	6.0	0	0	3/4	2	1	I}	A	I		I	I							}	M	0	0	0, 4, 1		0	0
32	32	95	0.0	1/2	1/2	3/4	2	2	|PAC	A	I									PAC			0	0				
34	34	99	3.0	0	0	3/4	2	1	bIII.V6{	A	bIII		V6	V		6					{	M	0	0	5, 2, 1		1	5
35	35	102	3.0	0	0	3/4	2	1	I	A	bIII		I	I								M	0	0	0, 4, 1		0	0
36	36	105	3.0	0	0	3/4	2	1	V43	A	bIII		V43	V		43						Mm7	0	0	2, -1, 1, 5		1	2
37	37	108	3.0	0	0	3/4	2	1	I6	A	bIII		I6	I		6						M	0	0	4, 1, 0		0	4
38	38	111	3.0	0	0	3/4	2	1	ii7	A	bIII		ii7	ii		7						mm7	0	0	2, -1, 3, 0		2	2
39	39	114	3.0	0	0	3/4	2	1	V6	A	bIII		V6	V		6						M	0	0	5, 2, 1		1	5
40	40	117	3.0	0	0	3/4	2	1	V7	A	bIII		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
41	41	120	3.0	0	0	3/4	2	1	I}	A	bIII		I	I							}	M	0	0	0, 4, 1		0	0
41	41	122	0.0	1/2	1/2	3/4	2	1	|IAC	A	bIII									IAC			0	0				
