mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	3/4	2	1	A.I[I{	A	I	I	I	I							{	M	0	0	0, 4, 1		0	0
1	1	1	1.0	1/4	1/4	3/4	2	1	viio6	A	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
1	1	2	2.0	1/2	1/2	3/4	2	1	I	A	I		I	I								M	0	0	0, 4, 1		0	0
2	2	4	1.0	1/4	1/4	3/4	2	1	vii%2	A	I		vii%2	vii	%	2						%7	0	0	3, 5, 2, -1		5	3
2	2	5	1.0	1/2	1/2	3/4	2	1	I]	A	I		I	I					]			M	0	0	0, 4, 1		0	0
3	3	6	1.0	0	0	3/4	2	1	I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
3	3	7	1.0	1/4	1/4	3/4	2	1	IV	A	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
3	3	8	1.0	1/2	1/2	3/4	2	1	viio6	A	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
4	4	9	1.0	0	0	3/4	2	1	I6	A	I		I6	I		6						M	0	0	4, 1, 0		0	4
4	4	10	1.0	1/4	1/4	3/4	2	1	ii6	A	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
4	4	11	1.0	1/2	1/2	3/4	2	1	V	A	I		V	V								M	0	0	1, 5, 2		1	1
5	5	12	1.0	0	0	3/4	2	2	I	A	I		I	I								M	0	0	0, 4, 1		0	0
5	5	13	1.0	1/4	1/4	3/4	2	2	V2/V	A	I		V2/V	V		2		V				Mm7	0	0	0, 2, 6, 3		2	0
5	5	14	1.0	1/2	1/2	3/4	2	2	V6	A	I		V6	V		6						M	0	0	5, 2, 1		1	5
6	6	15	2.0	0	0	3/4	2	2	V.V65/V	A	V		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
6	6	17	1.0	1/2	1/2	3/4	2	2	V7	A	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
7	7	18	1.0	0	0	3/4	2	1	I	A	V		I	I								M	0	0	0, 4, 1		0	0
7	7	19	1.0	1/4	1/4	3/4	2	1	IV	A	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
7	7	20	1.0	1/2	1/2	3/4	2	4	V	A	V		V	V								M	0	0	1, 5, 2		1	1
8	8	21	3.0	0	0	3/4	2	1	I}	A	V		I	I							}	M	0	0	0, 4, 1		0	0
8	8	23	0.0	1/2	1/2	3/4	2	1	|PAC	A	V									PAC			0	0				
9	9	24	2.0	0	0	3/4	2	1	V2{	A	V		V2	V		2					{	Mm7	0	0	-1, 1, 5, 2		1	-1
9	9	26	1.0	1/2	1/2	3/4	2	1	i6	A	V		i6	i		6						m	0	0	-3, 1, 0		0	-3
10	10	27	1.0	0	0	3/4	2	1	viio6	A	V		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
10	10	28	1.0	1/4	1/4	3/4	2	1	i	A	V		i	i								m	0	0	0, -3, 1		0	0
10	10	29	1.0	1/2	1/2	3/4	2	1	V7}	A	V		V7	V		7					}	Mm7	0	0	1, 5, 2, -1		1	1
11	11	30	1.0	0	0	3/4	2	2	I[I{	A	V	I	I	I							{	M	0	0	0, 4, 1		0	0
11	11	31	1.0	1/4	1/4	3/4	2	2	viio6	A	V		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
11	11	32	2.0	1/2	1/2	3/4	2	2	I	A	V		I	I								M	0	0	0, 4, 1		0	0
12	12	34	1.0	1/4	1/4	3/4	2	1	vii%2	A	V		vii%2	vii	%	2						%7	0	0	3, 5, 2, -1		5	3
12	12	35	1.0	1/2	1/2	3/4	2	1	I	A	V		I	I								M	0	0	0, 4, 1		0	0
13	13	36	3.0	0	0	3/4	2	1	vi6]	A	V		vi6	vi		6			]			m	0	0	0, 4, 3		3	0
14	14	39	3.0	0	0	3/4	2	1	V6	A	V		V6	V		6						M	0	0	5, 2, 1		1	5
15	15	42	1.0	0	0	3/4	2	1	IV	A	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
15	15	43	1.0	1/4	1/4	3/4	2	1	V(64)	A	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
15	15	44	1.0	1/2	1/2	3/4	2	1	V7	A	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
16	16	45	3.0	0	0	3/4	2	1	I}	A	V		I	I							}	M	0	0	0, 4, 1		0	0
16	16	47	0.0	1/2	1/2	3/4	2	1	|PAC	A	V									PAC			0	0				
17	17	48	1.0	0	0	3/4	2	2	ii.i[i6{	A	ii	i	i6	i		6					{	m	0	1	-3, 1, 0		0	-3
17	17	49	1.0	1/4	1/4	3/4	2	2	V7	A	ii		V7	V		7						Mm7	0	1	1, 5, 2, -1		1	1
17	17	50	2.0	1/2	1/2	3/4	2	2	i	A	ii		i	i								m	0	1	0, -3, 1		0	0
18	18	52	1.0	1/4	1/4	3/4	2	2	#vii%7	A	ii		#vii%7	#vii	%	7						%7	0	1	5, 2, -1, 3		5	5
18	18	53	1.0	1/2	1/2	3/4	2	2	i]	A	ii		i	i					]			m	0	1	0, -3, 1		0	0
19	19	54	1.0	0	0	3/4	2	2	v.V2/VI	A	v		V2/VI	V		2		VI				Mm7	0	1	-5, -3, 1, -2		-3	-5
19	19	55	2.0	1/4	1/4	3/4	2	2	VI6	A	v		VI6	VI		6						M	0	1	0, -3, -4		-4	0
20	20	57	1.0	0	0	3/4	2	2	V2/VII	A	v		V2/VII	V		2		VII				Mm7	0	1	-3, -1, 3, 0		-1	-3
20	20	58	2.0	1/4	1/4	3/4	2	2	VII6	A	v		VII6	VII		6						M	0	1	2, -1, -2		-2	2
21	21	60	1.0	0	0	3/4	2	2	V2	A	v		V2	V		2						Mm7	0	1	-1, 1, 5, 2		1	-1
21	21	61	1.0	1/4	1/4	3/4	2	2	i6	A	v		i6	i		6						m	0	1	-3, 1, 0		0	-3
