mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3.0	0	0	3/4	2	1	a.i{		a	i		i	i						{	m	1	1	0, -3, 1		0	0
2	2	3	3	1.0	0	0	3/4	2	1	V(^4)		a	i		V(^4)	V			^4				M	1	1	1, 5, 0		1	1
2	2	4	4	5.0	1/4	1/4	3/4	2	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
4	4	9	9	1.0	0	0	3/4	2	1	i(^2)}		a	i		i(^2)	i			^2			}	m	1	1	0, 2, 1		0	0
4	4	10	10	4.0	1/4	1/4	3/4	2	1	i|IAC		a	i		i	i					IAC		m	1	1	0, -3, 1		0	0
5	5	12	12	0.0	0	0	3/4	2	1	{		a	i									{		1	1				
5	5	14	14	1.0	1/2	1/2	3/4	2	1	VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
6	6	15	15	2.0	0	0	3/4	2	1	VII		a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
6	6	17	17	1.0	1/2	1/2	3/4	2	1	v		a	i		v	v							m	1	1	1, -2, 2		1	1
7	7	18	18	2.0	0	0	3/4	2	1	VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
7	7	20	20	1.0	1/2	1/2	3/4	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
8	8	21	21	1.0	0	0	3/4	2	1	V(4)}		a	i		V(4)	V			4			}	M	1	1	1, 0, 2		1	1
8	8	22	22	2.0	1/4	1/4	3/4	2	1	V|HC		a	i		V	V					HC		M	1	1	1, 5, 2		1	1
8	8	45/2	45/2	0.0	3/8	3/8	3/4	2	1	{		a	i									{		1	1				
9	9	24	24	3.0	0	0	3/4	2	1	V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
10	10	27	27	1.0	0	0	3/4	2	1	iv(4)		a	i		iv(4)	iv			4				m	1	1	-1, -2, 0		-1	-1
10	10	28	28	2.0	1/4	1/4	3/4	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
11	11	30	30	3.0	0	0	3/4	2	1	III.V		a	III		V	V							M	1	0	1, 5, 2		1	1
12	12	33	33	1.0	0	0	3/4	2	1	I(4)}		a	III		I(4)	I			4			}	M	1	0	0, -1, 1		0	0
12	12	34	34	1.0	1/4	1/4	3/4	2	1	I|IAC		a	III		I	I					IAC		M	1	0	0, 4, 1		0	0
12	12	69/2	69/2	0.0	3/8	3/8	3/4	2	1	{		a	III									{		1	0				
12	12	35	35	1.0	1/2	1/2	3/4	2	1	V43		a	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
13	13	36	36	6.0	0	0	3/4	2	1	I6		a	III		I6	I		6					M	1	0	4, 1, 0		0	4
15	15	42	42	6.0	0	0	3/4	2	1	V6		a	III		V6	V		6					M	1	0	5, 2, 1		1	5
17	17	48	48	3.0	0	0	3/4	2	1	I		a	III		I	I							M	1	0	0, 4, 1		0	0
18	18	51	51	3.0	0	0	3/4	2	1	V6		a	III		V6	V		6					M	1	0	5, 2, 1		1	5
19	19	54	54	1.0	0	0	3/4	2	1	I		a	III		I	I							M	1	0	0, 4, 1		0	0
19	19	55	55	1.5	1/4	1/4	3/4	2	1	IV6		a	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
19	19	113/2	113/2	0.5	5/8	5/8	3/4	2	1	ii6		a	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
20	20	57	57	3.0	0	0	3/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1	1
21	21	60	60	1.0	0	0	3/4	2	1	I|IAC}{		a	III		I	I					IAC	}{	M	1	0	0, 4, 1		0	0
21	21	61	61	2.0	1/4	1/4	3/4	2	1	I6		a	III		I6	I		6					M	1	0	4, 1, 0		0	4
22	22	63	63	1.0	0	0	3/4	2	1	IV		a	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
22	22	64	64	1.0	1/4	1/4	3/4	2	1	viio/V		a	III		viio/V	vii	o			V			o	1	0	6, 3, 0		6	6
22	22	65	65	1.0	1/2	1/2	3/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1	1
23	23	66	66	1.0	0	0	3/4	2	1	#viio/vi		a	III		#viio/vi	#vii	o			vi			o	1	0	8, 5, 2		8	8
23	23	67	67	1.0	1/4	1/4	3/4	2	1	vi		a	III		vi	vi							m	1	0	3, 0, 4		3	3
23	23	68	68	1.0	1/2	1/2	3/4	2	1	IV6		a	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
24	24	69	69	1.0	0	0	3/4	2	1	V6		a	III		V6	V		6					M	1	0	5, 2, 1		1	5
24	24	70	70	1.0	1/4	1/4	3/4	2	1	vi6		a	III		vi6	vi		6					m	1	0	0, 4, 3		3	0
24	24	71	71	1.0	1/2	1/2	3/4	2	1	viio6		a	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
25	25	72	72	1.0	0	0	3/4	2	1	I6		a	III		I6	I		6					M	1	0	4, 1, 0		0	4
25	25	73	73	1.0	1/4	1/4	3/4	2	1	ii6		a	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
25	25	74	74	1.0	1/2	1/2	3/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1	1
26	26	75	75	9.0	0	0	3/4	2	1	I|PAC}		a	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
26	26	76	76	0.0	1/4	1/4	3/4	2	1	{		a	III									{		1	0				
29	29	84	84	1.0	0	0	3/4	2	1	vi		a	III		vi	vi							m	1	0	3, 0, 4		3	3
29	29	85	85	1.0	1/4	1/4	3/4	2	1	IV		a	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
29	29	86	86	1.0	1/2	1/2	3/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1	1
30	30	87	87	9.0	0	0	3/4	2	1	I|PAC}		a	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
30	30	88	88	0.0	1/4	1/4	3/4	2	1	{		a	III									{		1	0				
33	33	96	96	1.0	0	0	3/4	2	1	vi		a	III		vi	vi							m	1	0	3, 0, 4		3	3
33	33	97	97	1.0	1/4	1/4	3/4	2	1	IV		a	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
33	33	98	98	1.0	1/2	1/2	3/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1	1
34	34	99	99	2.0	0	0	3/4	2	1	I(^7)}		a	III		I(^7)	I			^7			}	M	1	0	0, 4, 1	5	0	0
34	34	101	101	1.0	1/2	1/2	3/4	2	1	I|PAC		a	III		I	I					PAC		M	1	0	0, 4, 1		0	0
35	35	102	102	3.0	0	0	3/4	2	1	i.i{		a	i		i	i						{	m	1	1	0, -3, 1		0	0
36	36	105	105	5.0	0	0	3/4	2	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
37	37	110	110	1.0	1/2	1/2	3/4	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
38	38	111	111	5.0	0	0	3/4	2	1	i|IAC}		a	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
39	39	114	114	0.0	0	0	3/4	2	1	{		a	i									{		1	1				
39	39	116	116	1.0	1/2	1/2	3/4	2	1	VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
40	40	117	117	2.0	0	0	3/4	2	1	VII		a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
40	40	119	119	1.0	1/2	1/2	3/4	2	1	v		a	i		v	v							m	1	1	1, -2, 2		1	1
41	41	120	120	2.0	0	0	3/4	2	1	VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
41	41	122	122	1.0	1/2	1/2	3/4	2	1	ii		a	i		ii	ii							m	1	1	2, -1, 3		2	2
42	42	123	123	1.0	0	0	3/4	2	1	V(4)}		a	i		V(4)	V			4			}	M	1	1	1, 0, 2		1	1
42	42	124	124	2.0	1/4	1/4	3/4	2	1	V|HC		a	i		V	V					HC		M	1	1	1, 5, 2		1	1
42	42	249/2	249/2	0.0	3/8	3/8	3/4	2	1	{		a	i									{		1	1				
43	43	126	126	1.0	0	0	3/4	2	1	V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
43	43	127	127	1.0	1/4	1/4	3/4	2	1	iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
43	43	128	128	1.0	1/2	1/2	3/4	2	1	#viio6/iv		a	i		#viio6/iv	#vii	o	6		iv			o	1	1	1, -2, 4		4	1
44	44	129	129	1.0	0	0	3/4	2	1	iv(4)		a	i		iv(4)	iv			4				m	1	1	-1, -2, 0		-1	-1
44	44	130	130	2.0	1/4	1/4	3/4	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
45	45	132	132	1.0	0	0	3/4	2	1	III.V		a	III		V	V							M	1	0	1, 5, 2		1	1
45	45	133	133	1.0	1/4	1/4	3/4	2	1	I6		a	III		I6	I		6					M	1	0	4, 1, 0		0	4
45	45	134	134	1.0	1/2	1/2	3/4	2	1	viio6		a	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
46	46	135	135	1.0	0	0	3/4	2	1	I(4)}		a	III		I(4)	I			4			}	M	1	0	0, -1, 1		0	0
46	46	136	136	1.0	1/4	1/4	3/4	2	1	I|IAC		a	III		I	I					IAC		M	1	0	0, 4, 1		0	0
46	46	273/2	273/2	0.0	3/8	3/8	3/4	2	1	{		a	III									{		1	0				
46	46	137	137	1.0	1/2	1/2	3/4	2	1	V43		a	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
47	47	138	138	6.0	0	0	3/4	2	1	I6		a	III		I6	I		6					M	1	0	4, 1, 0		0	4
49	49	144	144	6.0	0	0	3/4	2	1	V6		a	III		V6	V		6					M	1	0	5, 2, 1		1	5
51	51	150	150	3.0	0	0	3/4	2	1	I		a	III		I	I							M	1	0	0, 4, 1		0	0
52	52	153	153	3.0	0	0	3/4	2	1	V6		a	III		V6	V		6					M	1	0	5, 2, 1		1	5
53	53	156	156	1.0	0	0	3/4	2	1	I		a	III		I	I							M	1	0	0, 4, 1		0	0
53	53	157	157	1.5	1/4	1/4	3/4	2	1	IV6		a	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
53	53	317/2	317/2	0.5	5/8	5/8	3/4	2	1	ii6		a	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
54	54	159	159	3.0	0	0	3/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1	1
55	55	162	162	1.0	0	0	3/4	2	1	I|IAC}{		a	III		I	I					IAC	}{	M	1	0	0, 4, 1		0	0
55	55	163	163	2.0	1/4	1/4	3/4	2	1	I6		a	III		I6	I		6					M	1	0	4, 1, 0		0	4
56	56	165	165	1.0	0	0	3/4	2	1	IV		a	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
56	56	166	166	1.0	1/4	1/4	3/4	2	1	V6/V		a	III		V6/V	V		6		V			M	1	0	6, 3, 2		2	6
56	56	167	167	1.0	1/2	1/2	3/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1	1
57	57	168	168	1.0	0	0	3/4	2	1	V6/vi		a	III		V6/vi	V		6		vi			M	1	0	8, 5, 4		4	8
57	57	169	169	1.0	1/4	1/4	3/4	2	1	vi		a	III		vi	vi							m	1	0	3, 0, 4		3	3
57	57	170	170	1.0	1/2	1/2	3/4	2	1	IV6		a	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
58	58	171	171	1.0	0	0	3/4	2	1	V6		a	III		V6	V		6					M	1	0	5, 2, 1		1	5
58	58	172	172	1.0	1/4	1/4	3/4	2	1	vi6		a	III		vi6	vi		6					m	1	0	0, 4, 3		3	0
58	58	173	173	1.0	1/2	1/2	3/4	2	1	viio6		a	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
