mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	7/2	0.5	7/8	7/8	4/4	2	1	D.I{		D	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	4	0.5	0	0	4/4	2	1	IV(97)		D	I		IV(97)		IV			97				M	0	0	-1, 3, 0	1, 4	-1	-1
2	2	9/2	0.5	1/8	1/8	4/4	2	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
2	2	5	1.0	1/4	1/4	4/4	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
2	2	6	0.5	1/2	1/2	4/4	2	1	vi(^64)		D	I		vi(^64)		vi			^64				m	0	0	3, 2, 4	-1	3	3
2	2	13/2	0.5	5/8	5/8	4/4	2	1	vi		D	I		vi		vi							m	0	0	3, 0, 4		3	3
2	2	7	1.0	3/4	3/4	4/4	2	1	I6	vi64	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	8	1.0	0	0	4/4	2	1	ii65		D	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
3	3	9	1.0	1/4	1/4	4/4	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	10	2.0	1/2	1/2	4/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
4	4	12	0.5	0	0	4/4	2	1	V65(+6)		D	I		V65(+6)		V		65	+6				Mm7	0	0	5, 2, -1, 1	4	1	5
4	4	25/2	1.5	1/8	1/8	4/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
4	4	14	1.0	1/2	1/2	4/4	2	1	V2/V		D	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
4	4	15	1.0	3/4	3/4	4/4	2	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	5	16	1.0	0	0	4/4	2	1	viio7/ii		D	I		viio7/ii		vii	o	7		ii			o7	0	0	0, -3, -6, -9		0	0
5	5	17	1.0	1/4	1/4	4/4	2	1	V7/ii		D	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
5	5	18	1.0	1/2	1/2	4/4	2	1	V/V	V64	D	I		V/V		V				V			M	0	0	2, 6, 3		2	2
5	5	19	1.0	3/4	3/4	4/4	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	20	0.5	0	0	4/4	2	1	V65/V		D	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
6	6	41/2	0.5	1/8	1/8	4/4	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
6	6	21	1.0	1/4	1/4	4/4	2	1	V65/V		D	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
6	6	22	0.5	1/2	1/2	4/4	2	1	V(9)		D	I		V(9)		V			9				M	0	0	1, 5, 2	3	1	1
6	6	45/2	1.0	5/8	5/8	4/4	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
6	6	47/2	0.5	7/8	7/8	4/4	2	1	V2		D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	7	24	0.5	0	0	4/4	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	49/2	0.5	1/8	1/8	4/4	2	1	vi6		D	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
7	7	25	1.0	1/4	1/4	4/4	2	1	V/V		D	I		V/V		V				V			M	0	0	2, 6, 3		2	2
7	7	26	2.0	1/2	1/2	4/4	2	1	I/V|PAC}		D	I		I/V		I				V	PAC	}	M	0	0	1, 5, 2		1	1
7	7	55/2	0.0	7/8	7/8	4/4	2	1	{		D	I										{		0	0				
8	8	28	2.5	0	0	4/4	2	1	V65/ii		D	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
8	8	61/2	1.0	5/8	5/8	4/4	2	1	ii		D	I		ii		ii							m	0	0	2, -1, 3		2	2
8	8	63/2	0.5	7/8	7/8	4/4	2	1	ii6		D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
9	9	32	1.0	0	0	4/4	2	1	iio65/ii		D	I		iio65/ii		ii	o	65		ii			o7	0	0	1, -2, -5, 4		4	1
9	9	33	1.0	1/4	1/4	4/4	2	1	V7/ii		D	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
9	9	34	2.0	1/2	1/2	4/4	2	1	ii		D	I		ii		ii							m	0	0	2, -1, 3		2	2
10	10	36	0.5	0	0	4/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
10	10	73/2	0.5	1/8	1/8	4/4	2	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
10	10	37	1.5	1/4	1/4	4/4	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	77/2	1.0	5/8	5/8	4/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
