mc	mn	quarterbeats	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	duration_qb
1	1	0	0	0	4/4	2	1	E.I{		E	I		I		I						{	M	0	0	0, 4, 1		0	0	
1	1	1/2	1/8	1/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
1	1	1	1/4	1/4	4/4	2	1	V43		E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
1	1	3/2	3/8	3/8	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
1	1	2	1/2	1/2	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
1	1	5/2	5/8	5/8	4/4	2	1	viio6/V		E	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
1	1	3	3/4	3/4	4/4	2	1	V(4)		E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1	
1	1	7/2	7/8	7/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
2	2	4	0	0	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
2	2	5	1/4	1/4	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
2	2	6	1/2	1/2	4/4	2	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
2	2	7	3/4	3/4	4/4	2	1	I(94)}		E	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0	
2	2	15/2	7/8	7/8	4/4	2	1	I|IAC		E	I		I		I					IAC		M	0	0	0, 4, 1		0	0	
3	3	8	0	0	4/4	2	1	{		E	I										{		0	0					0.0
3	3	17/2	1/8	1/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
3	3	9	1/4	1/4	4/4	2	1	V43		E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
3	3	19/2	3/8	3/8	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
3	3	10	1/2	1/2	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
3	3	21/2	5/8	5/8	4/4	2	1	viio6/V		E	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
3	3	11	3/4	3/4	4/4	2	1	V(4)		E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1	
3	3	23/2	7/8	7/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
4	4	12	0	0	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
4	4	13	1/4	1/4	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
4	4	14	1/2	1/2	4/4	2	1	V(64)		E	I		V(64)		V			64				M	0	0	1, 0, 4		1	1	
4	4	29/2	5/8	5/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
4	4	15	3/4	3/4	4/4	2	1	I|PAC}		E	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0	
5	5	16	0	0	4/4	2	1	{		E	I										{		0	0					0.0
5	5	33/2	1/8	1/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
5	5	17	1/4	1/4	4/4	2	1	V43		E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
5	5	35/2	3/8	3/8	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
5	5	18	1/2	1/2	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
5	5	37/2	5/8	5/8	4/4	2	1	viio6/V		E	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
5	5	19	3/4	3/4	4/4	2	1	V(4)		E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1	
5	5	39/2	7/8	7/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
6	6	20	0	0	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
6	6	21	1/4	1/4	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
6	6	22	1/2	1/2	4/4	2	1	V7		E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	
6	6	23	3/4	3/4	4/4	2	1	I(94)}		E	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0	
6	6	47/2	7/8	7/8	4/4	2	1	I|IAC		E	I		I		I					IAC		M	0	0	0, 4, 1		0	0	
7	7	24	0	0	4/4	2	1	{		E	I										{		0	0					0.0
7	7	49/2	1/8	1/8	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
7	7	25	1/4	1/4	4/4	2	1	V43		E	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	
7	7	51/2	3/8	3/8	4/4	2	1	I		E	I		I		I							M	0	0	0, 4, 1		0	0	
7	7	26	1/2	1/2	4/4	2	1	V6		E	I		V6		V		6					M	0	0	5, 2, 1		1	5	
7	7	53/2	5/8	5/8	4/4	2	1	viio6/V		E	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	
7	7	27	3/4	3/4	4/4	2	1	V(4)		E	I		V(4)		V			4				M	0	0	1, 0, 2		1	1	
7	7	55/2	7/8	7/8	4/4	2	1	V		E	I		V		V							M	0	0	1, 5, 2		1	1	
8	8	28	0	0	4/4	2	1	I6		E	I		I6		I		6					M	0	0	4, 1, 0		0	4	
8	8	29	1/4	1/4	4/4	2	1	ii6		E	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	
