mc	mn	quarterbeats	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	duration_qb
1	1	0	0	0	2/4	2	1	D.I{		D	I		I	I						{	M	0	0	0, 4, 1		0	0	
4	4	89/8	0	0	4/4	2	1	vi		D	I		vi	vi							m	0	0	3, 0, 4		3	3	
5	5	121/8	0	0	4/4	2	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4	
5	5	137/8	1/2	1/2	4/4	2	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	
6	6	153/8	0	0	4/4	2	1	V(64)		D	I		V(64)	V			64				M	0	0	1, 0, 4		1	1	
6	6	169/8	1/2	1/2	4/4	2	1	V7		D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	
7	7	185/8	0	0	4/4	2	1	I|IAC}		D	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0	
7	7	201/8	1/2	1/2	4/4	2	1	{		D	I									{		0	0					0.0
7	7	209/8	3/4	3/4	4/4	2	1	I2		D	I		I2	I		2					Mm7	0	0	-2, 0, 4, 1		0	-2	
8	8	225/8	0	0	2/4	2	1	V.viio6		D	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2	
9	9	241/8	0	0	4/4	2	1	V7		D	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	
11	11	309/8	0	0	4/4	2	1	I(4)}{		D	V		I(4)	I			4			}{	M	0	0	0, -1, 1		0	0	
11	11	317/8	1/4	1/4	4/4	2	1	I		D	V		I	I							M	0	0	0, 4, 1		0	0	
11	11	87/2	39/32	39/32	4/4	2	1	#ivo6		D	V		#ivo6	#iv	o	6					o	0	0	3, 0, 6		6	3	
11	11	351/8	21/16	21/16	4/4	2	1	II7		D	V		II7	II		7					Mm7	0	0	2, 6, 3, 0		2	2	
12	12	52	2	2	4/4	2	1	V43/bVI		D	V		V43/bVI	V		43		bVI			Mm7	0	0	-2, -5, -3, 1		-3	-2	
12	12	54	5/2	5/2	4/4	2	1	bVI		D	V		bVI	bVI							M	0	0	-4, 0, -3		-4	-4	
12	12	55	11/4	11/4	4/4	2	1	viio/bVI		D	V		viio/bVI	vii	o			bVI			o	0	0	1, -2, -5		1	1	
12	12	56	3	3	4/4	2	1	V2/bVI		D	V		V2/bVI	V		2		bVI			Mm7	0	0	-5, -3, 1, -2		-3	-5	
13	13	233/4	1/2	1/2	4/4	2	1	I.V2		D	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	
13	13	241/4	1	1	4/4	2	1	I2}{	V2/IV}{	D	I		I2	I		2				}{	Mm7	0	0	-2, 0, 4, 1		0	-2	
13	13	257/4	2	2	4/4	2	1	iv6		D	I		iv6	iv		6					m	0	0	-4, 0, -1		-1	-4	
16	16	377/4	0	0	12/4	2	1	viio7/V		D	I		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6	
16	16	393/4	1	1	12/4	2	1	V65/V		D	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6	
16	16	401/4	3/2	3/2	12/4	2	1	V2		D	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	
16	16	409/4	2	2	12/4	2	1	I65		D	I		I65	I		65					Mm7	0	0	4, 1, -2, 0		0	4	
16	16	417/4	5/2	5/2	12/4	2	1	viio/V		D	I		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6	
16	16	425/4	3	3	12/4	2	1	vii%7/V		D	I		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6	
16	16	433/4	7/2	7/2	12/4	2	1	V(64)		D	I		V(64)	V			64				M	0	0	1, 0, 4		1	1	
16	16	441/4	4	4	12/4	2	1	V7		D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	
17	17	425/4	0	0	6/4	2	1	I[I|PAC}{		D	I	I	I	I					PAC	}{	M	0	0	0, 4, 1		0	0	
17	17	435/4	5/8	5/8	6/4	2	1	I7	V7/IV	D	I	I	I7	I		7					Mm7	0	0	0, 4, 1, -2		0	0	
17	17	451/4	13/8	13/8	6/4	2	1	IV		D	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1	
17	17	465/4	5/2	5/2	6/4	2	1	viio6		D	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2	
18	18	449/4	0	0	6/4	2	1	I]		D	I	I	I	I							M	0	0	0, 4, 1		0	0	
18	18	457/4	1/2	1/2	6/4	2	1	}		D	I									}		0	0					0.0
