mc	mn	quarterbeats	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	duration_qb
1	1	0	0	0	4/4	2	1	g.i{		g	i		i		i						{	m	1	1	0, -3, 1		0	0	
1	1	23/16	23/64	23/64	4/4	2	1	#viio65		g	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2	
2	1	4	0	0	4/4	2	2	i6		g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3	
2	1	8	1	1	4/4	2	2	V2		g	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1	
2	1	10	3/2	3/2	4/4	2	2	i6		g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3	
2	1	12	2	2	4/4	2	2	V65		g	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5	
2	1	14	5/2	5/2	4/4	2	2	i		g	i		i		i							m	1	1	0, -3, 1		0	0	
2	1	16	3	3	4/4	2	2	V6		g	i		V6		V		6					M	1	1	5, 2, 1		1	5	
2	1	17	13/4	13/4	4/4	2	2	iio6/iv		g	i		iio6/iv		ii	o	6		iv			o	1	1	-2, -5, 1		1	-2	
2	1	18	7/2	7/2	4/4	2	2	IV6		g	i		IV6		IV		6					M	1	1	3, 0, -1		-1	3	
2	1	19	15/4	15/4	4/4	2	2	It6	iv6	g	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4	
2	1	20	4	4	4/4	2	2	V64		g	i		V64		V		64					M	1	1	2, 1, 5		1	2	
2	1	21	17/4	17/4	4/4	2	2	#viio7		g	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5	
3	1	22	0	0	4/4	2	1	V(64)		g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1	
3	1	24	1/2	1/2	4/4	2	1	V7(b9)|HC}		g	i		V7(b9)		V		7	b9		HC	}	Mm7	1	1	1, 5, 2, -1	-11	1	1	
3	1	221/8	45/32	45/32	4/4	2	1	i{		g	i		i		i						{	m	1	1	0, -3, 1		0	0	
4	1	119/4	3/16	3/16	4/4	2	1	V2/iv		g	i		V2/iv		V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2	
5	1	35	0	0	4/4	2	1	#iii.#viio7		g	#iii		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5	
5	1	37	1/2	1/2	4/4	2	1	V(64)		g	#iii		V(64)		V			64				M	1	1	1, 0, -3		1	1	
5	1	40	5/4	5/4	4/4	2	1	V7		g	#iii		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	
5	1	41	3/2	3/2	4/4	2	1	i|IAC}		g	#iii		i		i					IAC	}	m	1	1	0, -3, 1		0	0	
5	1	42	7/4	7/4	4/4	2	1	{		g	#iii										{		1	1					0.0
5	1	43	2	2	4/4	2	1	iv.#viio65/V		g	iv		#viio65/V		#vii	o	65		V			o7	1	1	3, 0, -3, 6		6	3	
6	2	44	0	0	4/4	2	1	V43/V		g	iv		V43/V		V		43		V			Mm7	1	1	3, 0, 2, 6		2	3	
6	2	45	1/4	1/4	4/4	2	1	ii%43}		g	iv		ii%43		ii	%	43				}	%7	1	1	-4, 0, 2, -1		2	-4	
6	2	47	3/4	3/4	4/4	2	1	#viio2|HC		g	iv		#viio2		#vii	o	2			HC		o7	1	1	-4, 5, 2, -1		5	-4	
6	2	51	7/4	7/4	4/4	2	1	bii.i6{		g	bii		i6		i		6				{	m	1	1	-3, 1, 0		0	-3	
6	2	55	11/4	11/4	4/4	2	1	i		g	bii		i		i							m	1	1	0, -3, 1		0	0	
6	2	57	13/4	13/4	4/4	2	1	i64		g	bii		i64		i		64					m	1	1	1, 0, -3		0	1	
6	2	59	15/4	15/4	4/4	2	1	V7		g	bii		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	
6	2	61	17/4	17/4	4/4	2	1	i.#viio65		g	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2	
6	2	63	19/4	19/4	4/4	2	1	#viio7		g	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5	
6	2	65	21/4	21/4	4/4	2	1	#vii.V(64)		g	#vii		V(64)		V			64				M	1	1	1, 0, -3		1	1	
6	2	67	23/4	23/4	4/4	2	1	V7		g	#vii		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	
7	2	69	0	0	4/4	2	2	i64		g	#vii		i64		i		64					m	1	1	1, 0, -3		0	1	
7	2	70	1/4	1/4	4/4	2	2	V		g	#vii		V		V							M	1	1	1, 5, 2		1	1	
7	2	71	1/2	1/2	4/4	2	2	V7		g	#vii		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	
7	2	72	3/4	3/4	4/4	2	2	i64}		g	#vii		i64		i		64				}	m	1	1	1, 0, -3		0	1	
7	2	73	1	1	4/4	2	2	{		g	#vii										{		1	1					0.0
7	2	74	5/4	5/4	4/4	2	2	Ger65		g	#vii		Ger65	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4	
7	2	75	3/2	3/2	4/4	2	2	#vii%/VII		g	#vii		#vii%/VII		#vii	%			VII			%7	1	1					
7	2	76	7/4	7/4	4/4	2	2	VII		g	#vii		VII		VII							M	1	1	-2, 2, -1		-2	-2	
7	2	77	2	2	4/4	2	2	#viio7		g	#vii		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5	
7	2	78	9/4	9/4	4/4	2	2	i		g	#vii		i		i							m	1	1	0, -3, 1		0	0	
