mc	mn	quarterbeats	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	duration_qb
7	2	79	5/2	5/2	4/4	2	2	iv.#viio7/V		g	iv		#viio7/V		#vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6	
7	2	80	11/4	11/4	4/4	2	2	V		g	iv		V		V							M	1	1	1, 5, 2		1	1	
8	2	81	0	0	4/4	2	2	iio64		g	iv		iio64		ii	o	64					o	1	1	-4, 2, -1		2	-4	
8	2	82	1/4	1/4	4/4	2	2	#viio65		g	iv		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2	
8	2	83	1/2	1/2	4/4	2	2	#viio7		g	iv		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5	
8	2	85	1	1	4/4	2	2	V7		g	iv		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	
9	3	90	3/4	3/4	4/4	2	1	#viio2		g	iv		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4	
9	3	99	3	3	4/4	2	1	V7|HC}		g	iv		V7		V		7			HC	}	Mm7	1	1	1, 5, 2, -1		1	1	
9	3	101	7/2	7/2	4/4	2	1	{		g	iv										{		1	1					0.0
10	4	105	0	0	4/4	2	2	i		g	iv		i		i							m	1	1	0, -3, 1		0	0	
10	4	106	1/4	1/4	4/4	2	2	vii.IV64		g	vii		IV64		IV		64					M	1	1	0, -1, 3		-1	0	
10	4	107	1/2	1/2	4/4	2	2	#viio(94)		g	vii		#viio(94)		#vii	o		94				o	1	1	5, -3, -1	0	5	5	
10	4	108	3/4	3/4	4/4	2	2	bvii		g	vii		bvii		bvii							m	1	1	-9, -12, -8		-9	-9	
10	4	109	1	1	4/4	2	2	iv6		g	vii		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4	
10	4	110	5/4	5/4	4/4	2	2	V7		g	vii		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	
10	4	115	5/2	5/2	4/4	2	2	#viio2		g	vii		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4	
10	4	120	15/4	15/4	4/4	2	2	#viio7|HC}		g	vii		#viio7		#vii	o	7			HC	}	o7	1	1	5, 2, -1, -4		5	5	
10	4	122	17/4	17/4	4/4	2	2	{		g	vii										{		1	1					0.0
10	4	124	19/4	19/4	4/4	2	2	i.V65		g	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5	
11	4	125	0	0	3/4	2	1	i		g	i		i		i							m	1	1	0, -3, 1		0	0	
11	4	126	1/4	1/4	3/4	2	1	i6		g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3	
11	4	127	1/2	1/2	3/4	2	1	iv		g	i		iv		iv							m	1	1	-1, -4, 0		-1	-1	
11	4	130	5/4	5/4	3/4	2	1	V2|HC}		g	i		V2		V		2			HC	}	Mm7	1	1	-1, 1, 5, 2		1	-1	
11	4	132	7/4	7/4	3/4	2	1	#viio2{		g	i		#viio2		#vii	o	2				{	o7	1	1	-4, 5, 2, -1		5	-4	
12	5	136	0	0	20/4	2	1	#viio7		g	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5	
12	5	138	1/2	1/2	20/4	2	1	i}		g	i		i		i						}	m	1	1	0, -3, 1		0	0	
13	6	156	0	0	6/4	2	1	{		g	i										{		1	1					0.0
13	6	158	1/2	1/2	6/4	2	1	ii%65		g	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1	
13	6	160	1	1	6/4	2	1	#viio7/V		g	i		#viio7/V		#vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6	
13	6	162	3/2	3/2	6/4	2	1	#viio65/iv		g	i		#viio65/iv		#vii	o	65		iv			o7	1	1	1, -2, -5, 4		4	1	
13	6	164	2	2	6/4	2	1	viio6		g	i		viio6		vii	o	6					o	1	1	-5, -8, -2		-2	-5	
13	6	166	5/2	5/2	6/4	2	1	V[iv		g	i	V	iv		iv							m	1	1	-1, -4, 0		-1	-1	
13	6	168	3	3	6/4	2	1	#viio43		g	i	V	#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1	
13	6	170	7/2	7/2	6/4	2	1	i]		g	i	V	i		i							m	1	1	0, -3, 1		0	0	
13	6	172	4	4	6/4	2	1	bII6		g	i		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1	
13	6	174	9/2	9/2	6/4	2	1	#viio7/V		g	i		#viio7/V		#vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6	
14	7	162	0	0	5/4	2	1	V(64)		g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1	
15	8	167	0	0	5/4	2	2	V7		g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	
15	8	169	1/2	1/2	5/4	2	2	i(9#74)		g	i		i(9#74)		i			9#74				m	1	1	0, -1, 1	2, 5	0	0	
15	8	171	1	1	5/4	2	1	i|PAC}		g	i		i		i					PAC	}	m	1	1	0, -3, 1		0	0	
