mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4.0	0	0	4/4	2	1		A.I[I{		A	I	I	I		I						{	M	0	0	0, 4, 1		0	0
2	2	4	4	1.0	0	0	4/4	2	1		ii6		A	I	I	ii6		ii		6					m	0	0	-1, 3, 2		2	-1
2	2	5	5	1.0	1/4	1/4	4/4	2	1		viio6		A	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
2	2	6	6	1.0	1/2	1/2	4/4	2	1		I		A	I	I	I		I							M	0	0	0, 4, 1		0	0
2	2	7	7	1.0	3/4	3/4	4/4	2	1		viio		A	I	I	viio		vii	o						o	0	0	5, 2, -1		5	5
3	3	8	8	4.0	0	0	4/4	2	1		I		A	I	I	I		I							M	0	0	0, 4, 1		0	0
4	4	12	12	1.0	0	0	4/4	2	1		IV6		A	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3
4	4	13	13	1.0	1/4	1/4	4/4	2	1		ii6		A	I	I	ii6		ii		6					m	0	0	-1, 3, 2		2	-1
4	4	14	14	1.0	1/2	1/2	4/4	2	1		IV	ii6	A	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
4	4	15	15	1.0	3/4	3/4	4/4	2	1		viio6		A	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
5	5	16	16	2.0	0	0	4/4	2	1		I]}{		A	I	I	I		I						}{	M	0	0	0, 4, 1		0	0
5	5	18	18	2.0	1/2	1/2	4/4	2	1		V6		A	I		V6		V		6					M	0	0	5, 2, 1		1	5
6	6	20	20	2.0	0	0	4/4	2	1		vi		A	I		vi		vi							m	0	0	3, 0, 4		3	3
