mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	2/4	2	1	a.i{		a	i		i		i						{	m	1	1	0, -3, 1		0	0
2	2	2	2.0	0	0	2/4	2	1	V6		a	i		V6		V		6					M	1	1	5, 2, 1		1	5
3	3	4	2.0	0	0	2/4	2	1	i		a	i		i		i							m	1	1	0, -3, 1		0	0
4	4	6	2.0	0	0	2/4	2	1	V6		a	i		V6		V		6					M	1	1	5, 2, 1		1	5
5	5	8	2.0	0	0	2/4	2	1	i		a	i		i		i							m	1	1	0, -3, 1		0	0
6	6	10	2.0	0	0	2/4	2	1	VI		a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
7	7	12	2.0	0	0	2/4	2	1	iio6		a	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
8	8	14	1.0	0	0	2/4	2	1	V(4)}		a	i		V(4)		V			4			}	M	1	1	1, 0, 2		1	1
8	8	15	1.0	1/4	1/4	2/4	2	1	V|HC		a	i		V		V					HC		M	1	1	1, 5, 2		1	1
9	9	16	2.0	0	0	2/4	2	1	i{		a	i		i		i						{	m	1	1	0, -3, 1		0	0
10	10	18	2.0	0	0	2/4	2	1	V6		a	i		V6		V		6					M	1	1	5, 2, 1		1	5
11	11	20	2.0	0	0	2/4	2	1	i		a	i		i		i							m	1	1	0, -3, 1		0	0
12	12	22	2.0	0	0	2/4	2	1	V6		a	i		V6		V		6					M	1	1	5, 2, 1		1	5
13	13	24	2.0	0	0	2/4	2	1	i		a	i		i		i							m	1	1	0, -3, 1		0	0
14	14	26	1.0	0	0	2/4	2	1	VI(4)		a	i		VI(4)		VI			4				M	1	1	-4, 2, -3		-4	-4
14	14	27	0.5	1/4	1/4	2/4	2	1	VI		a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
14	14	55/2	0.5	3/8	3/8	2/4	2	1	iv		a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
15	15	28	1.0	0	0	2/4	2	1	V(64)		a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
15	15	29	1.0	1/4	1/4	2/4	2	1	V		a	i		V		V							M	1	1	1, 5, 2		1	1
16	16	30	1.0	0	0	2/4	2	1	i(#7)}		a	i		i(#7)		i			#7			}	m	1	1	0, -3, 1	5	0	0
16	16	31	1.0	1/4	1/4	2/4	2	1	i|PAC		a	i		i		i					PAC		m	1	1	0, -3, 1		0	0
17	17	32	2.0	0	0	2/4	2	1	i{		a	i		i		i						{	m	1	1	0, -3, 1		0	0
18	18	34	2.0	0	0	2/4	2	1	V6		a	i		V6		V		6					M	1	1	5, 2, 1		1	5
19	19	36	2.0	0	0	2/4	2	1	i		a	i		i		i							m	1	1	0, -3, 1		0	0
20	20	38	2.0	0	0	2/4	2	1	V6		a	i		V6		V		6					M	1	1	5, 2, 1		1	5
21	21	40	2.0	0	0	2/4	2	1	i		a	i		i		i							m	1	1	0, -3, 1		0	0
22	22	42	2.0	0	0	2/4	2	1	VI		a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
23	23	44	2.0	0	0	2/4	2	1	iio6		a	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
24	24	46	1.0	0	0	2/4	2	1	V(4)}		a	i		V(4)		V			4			}	M	1	1	1, 0, 2		1	1
