mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	3/4	2	1	a.i{		a	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1	1.0	1/4	1/4	3/4	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
1	1	2	2	1.0	1/2	1/2	3/4	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	3	3	1.0	0	0	3/4	2	2	i		a	i		i	i							m	1	1	0, -3, 1		0	0
2	2	4	4	1.0	1/4	1/4	3/4	2	2	iio		a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
2	2	5	5	2.0	1/2	1/2	3/4	2	2	i		a	i		i	i							m	1	1	0, -3, 1		0	0
3	3	7	7	0.5	1/4	1/4	3/4	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	15/2	15/2	0.5	3/8	3/8	3/4	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	8	8	0.5	1/2	1/2	3/4	2	1	#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
4	4	9	9	0.5	0	0	3/4	2	1	V6		a	i		V6	V		6					M	1	1	5, 2, 1		1	5
4	4	19/2	19/2	0.5	1/8	1/8	3/4	2	1	viio6/V		a	i		viio6/V	vii	o	6		V			o	1	1	3, 0, 6		6	3
4	4	10	10	2.0	1/4	1/4	3/4	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	12	12	1.0	0	0	3/4	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
5	5	13	13	1.0	1/4	1/4	3/4	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
5	5	14	14	1.0	1/2	1/2	3/4	2	1	III.V65		a	III		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
6	6	15	15	3.0	0	0	3/4	2	4	I		a	III		I	I							M	1	0	0, 4, 1		0	0
7	7	18	18	3.0	0	0	3/4	2	2	ii6		a	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
8	8	21	21	3.0	0	0	3/4	2	1	V}{		a	III		V	V						}{	M	1	0	1, 5, 2		1	1
9	9	24	24	3.0	0	0	3/4	2	1	V(64)		a	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
10	10	27	27	3.0	0	0	3/4	2	1	V7		a	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
11	11	30	30	0.5	0	0	3/4	2	1	vi		a	III		vi	vi							m	1	0	3, 0, 4		3	3
11	11	61/2	61/2	0.5	1/8	1/8	3/4	2	1	IV		a	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
11	11	31	31	0.5	1/4	1/4	3/4	2	1	ii		a	III		ii	ii							m	1	0	2, -1, 3		2	2
11	11	63/2	63/2	0.5	3/8	3/8	3/4	2	1	viio		a	III		viio	vii	o						o	1	0	5, 2, -1		5	5
11	11	32	32	0.5	1/2	1/2	3/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1	1
11	11	65/2	65/2	0.5	5/8	5/8	3/4	2	1	iii		a	III		iii	iii							m	1	0	4, 1, 5		4	4
12	12	33	33	0.5	0	0	3/4	2	1	I		a	III		I	I							M	1	0	0, 4, 1		0	0
12	12	67/2	67/2	0.5	1/8	1/8	3/4	2	1	vi		a	III		vi	vi							m	1	0	3, 0, 4		3	3
12	12	34	34	0.5	1/4	1/4	3/4	2	1	IV		a	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
12	12	69/2	69/2	0.5	3/8	3/8	3/4	2	1	ii		a	III		ii	ii							m	1	0	2, -1, 3		2	2
12	12	35	35	0.5	1/2	1/2	3/4	2	1	viio		a	III		viio	vii	o						o	1	0	5, 2, -1		5	5
12	12	71/2	71/2	0.5	5/8	5/8	3/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1	1
13	13	36	36	1.0	0	0	3/4	2	1	I+		a	III		I+	I	+						+	1	0	0, 4, 8		0	0
13	13	37	37	0.5	1/4	1/4	3/4	2	1	IV		a	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
13	13	75/2	75/2	0.5	3/8	3/8	3/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1	1
13	13	38	38	0.5	1/2	1/2	3/4	2	1	vi		a	III		vi	vi							m	1	0	3, 0, 4		3	3
13	13	77/2	77/2	0.5	5/8	5/8	3/4	2	1	viio		a	III		viio	vii	o						o	1	0	5, 2, -1		5	5
14	14	39	39	0.5	0	0	3/4	2	1	I		a	III		I	I							M	1	0	0, 4, 1		0	0
14	14	79/2	79/2	0.5	1/8	1/8	3/4	2	1	ii		a	III		ii	ii							m	1	0	2, -1, 3		2	2
14	14	40	40	1.0	1/4	1/4	3/4	2	1	iii		a	III		iii	iii							m	1	0	4, 1, 5		4	4
14	14	41	41	1.0	1/2	1/2	3/4	2	1	vi64		a	III		vi64	vi		64					m	1	0	4, 3, 0		3	4
15	15	42	42	2.0	0	0	3/4	2	1	ii65		a	III		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
15	15	44	44	0.5	1/2	1/2	3/4	2	1	V(6)		a	III		V(6)	V			6				M	1	0	1, 5, 4		1	1
15	15	89/2	89/2	0.5	5/8	5/8	3/4	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1	1
16	16	45	45	2.0	0	0	3/4	2	1	vi		a	III		vi	vi							m	1	0	3, 0, 4		3	3
