mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.25		0	0	3/4	1	1	1/16		1/16	1		0	60	C4	4	0
1	1	1/4	1/4	0.25		1/16	1/16	3/4	1	1	1/16		1/16	1		4	64	E4	4	1
1	1	1/2	1/2	0.25		1/8	1/8	3/4	1	1	1/16		1/16	1		1	67	G4	4	2
1	1	3/4	3/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		0	72	C5	5	3
1	1	1	1	0.25		1/4	1/4	3/4	1	1	1/16		1/16	1		4	76	E5	5	4
1	1	5/4	5/4	0.25		5/16	5/16	3/4	1	1	1/16		1/16	1		1	79	G5	5	5
1	1	3/2	3/2	0.25		3/8	3/8	3/4	1	1	1/16		1/16	1		-1	77	F5	5	6
1	1	7/4	7/4	0.25		7/16	7/16	3/4	1	1	1/16		1/16	1		4	76	E5	5	7
1	1	2	2	0.25		1/2	1/2	3/4	1	1	1/16		1/16	1		2	74	D5	5	8
1	1	9/4	9/4	0.25		9/16	9/16	3/4	1	1	1/16		1/16	1		0	72	C5	5	9
1	1	5/2	5/2	0.25		5/8	5/8	3/4	1	1	1/16		1/16	1		5	71	B4	4	10
1	1	11/4	11/4	0.25		11/16	11/16	3/4	1	1	1/16		1/16	1		0	72	C5	5	11
2	2	3	3	0.25		0	0	3/4	1	1	1/16		1/16	1		2	74	D5	5	12
2	2	13/4	13/4	0.25		1/16	1/16	3/4	1	1	1/16		1/16	1		5	71	B4	4	13
2	2	7/2	7/2	0.25		1/8	1/8	3/4	1	1	1/16		1/16	1		6	66	F#4	4	14
2	2	15/4	15/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		1	67	G4	4	15
2	2	4	4	0.25		1/4	1/4	3/4	1	1	1/16		1/16	1		5	59	B3	3	16
2	2	17/4	17/4	0.25		5/16	5/16	3/4	1	1	1/16		1/16	1		2	62	D4	4	17
2	2	9/2	9/2	0.25		3/8	3/8	3/4	1	1	1/16		1/16	1		1	67	G4	4	18
2	2	19/4	19/4	0.25		7/16	7/16	3/4	1	1	1/16		1/16	1		5	71	B4	4	19
2	2	5	5	0.25		1/2	1/2	3/4	1	1	1/16		1/16	1		2	74	D5	5	20
2	2	21/4	21/4	0.25		9/16	9/16	3/4	1	1	1/16		1/16	1		1	79	G5	5	21
2	2	11/2	11/2	0.25		5/8	5/8	3/4	1	1	1/16		1/16	1		2	74	D5	5	22
2	2	23/4	23/4	0.25		11/16	11/16	3/4	1	1	1/16		1/16	1		5	71	B4	4	23
3	3	6	6	0.25		0	0	3/4	1	1	1/16		1/16	1		7	61	C#4	4	24
3	3	25/4	25/4	0.25		1/16	1/16	3/4	1	1	1/16		1/16	1		4	64	E4	4	25
3	3	13/2	13/2	0.25		1/8	1/8	3/4	1	1	1/16		1/16	1		1	67	G4	4	26
3	3	27/4	27/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		-2	70	Bb4	4	27
3	3	7	7	0.25		1/4	1/4	3/4	1	1	1/16		1/16	1		7	73	C#5	5	28
3	3	29/4	29/4	0.25		5/16	5/16	3/4	1	1	1/16		1/16	1		4	76	E5	5	29
3	3	15/2	15/2	0.25		3/8	3/8	3/4	1	1	1/16		1/16	1		1	79	G5	5	30
3	3	31/4	31/4	0.25		7/16	7/16	3/4	1	1	1/16		1/16	1		-2	82	Bb5	5	31
3	3	8	8	0.25		1/2	1/2	3/4	1	1	1/16		1/16	1		3	81	A5	5	32
3	3	33/4	33/4	0.25		9/16	9/16	3/4	1	1	1/16		1/16	1		1	79	G5	5	33
3	3	17/2	17/2	0.25		5/8	5/8	3/4	1	1	1/16		1/16	1		-1	77	F5	5	34
3	3	35/4	35/4	0.25		11/16	11/16	3/4	1	1	1/16		1/16	1		4	76	E5	5	35
4	4	9	9	0.25		0	0	3/4	1	1	1/16		1/16	1		-1	77	F5	5	36
4	4	37/4	37/4	0.25		1/16	1/16	3/4	1	1	1/16		1/16	1		3	81	A5	5	37
4	4	19/2	19/2	0.25		1/8	1/8	3/4	1	1	1/16		1/16	1		7	73	C#5	5	38
4	4	39/4	39/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		2	74	D5	5	39
4	4	10	10	0.25		1/4	1/4	3/4	1	1	1/16		1/16	1		-1	77	F5	5	40
4	4	41/4	41/4	0.25		5/16	5/16	3/4	1	1	1/16		1/16	1		2	74	D5	5	41
4	4	21/2	21/2	0.25		3/8	3/8	3/4	1	1	1/16		1/16	1		3	69	A4	4	42
