mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5		0	0	2/4	2	1	1/8		1/8	1		-1	41	F2	2	10
1	1	0	1.0		0	0	2/4	1	2	1/4		1/4	1		-4	68	Ab4	4	5
1	1	0	1.0		0	0	2/4	1	1	1/4		1/4	1		0	72	C5	5	0
1	1	1/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		-1	53	F3	3	11
1	1	1	0.25		1/4	1/4	2/4	1	2	1/16		1/16	1		1	67	G4	4	6
1	1	1	0.25		1/4	1/4	2/4	1	1	1/16		1/16	1		-2	70	Bb4	4	1
1	1	5/4	0.25		5/16	5/16	2/4	1	2	1/16		1/16	1		-1	65	F4	4	7
1	1	5/4	0.25		5/16	5/16	2/4	1	1	1/16		1/16	1		-4	68	Ab4	4	2
1	1	3/2	0.25		3/8	3/8	2/4	1	2	1/16		1/16	1		1	67	G4	4	8
1	1	3/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		-2	70	Bb4	4	3
1	1	7/4	0.25		7/16	7/16	2/4	1	2	1/16		1/16	1		-4	68	Ab4	4	9
1	1	7/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		0	72	C5	5	4
2	2	2	1.0		0	0	2/4	1	2	1/4		1/4	1		-2	70	Bb4	4	17
2	2	2	0.75		0	0	2/4	1	1	3/16		1/8	3/2		0	72	C5	5	12
2	2	5/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		4	52	E3	3	19
2	2	11/4	0.125		3/16	3/16	2/4	1	1	1/32		1/32	1		-3	75	Eb5	5	13
2	2	23/8	0.125		7/32	7/32	2/4	1	1	1/32		1/32	1		-5	73	Db5	5	14
2	2	3	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		-1	53	F3	3	20
2	2	3	0.5		1/4	1/4	2/4	1	2	1/8		1/8	1		-4	68	Ab4	4	18
2	2	3	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		0	72	C5	5	15
2	2	7/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		-1	41	F2	2	21
2	2	15/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		-4	56	Ab3	3	22
2	2	15/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		0	60	C4	4	22
2	2	15/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		-1	77	F5	5	16
3	3	4	1.0		0	0	2/4	2	1	1/4		1/4	1		1	55	G3	3	30
3	3	4	1.0		0	0	2/4	2	1	1/4		1/4	1		-2	58	Bb3	3	30
3	3	4	0.25		0	0	2/4	1	1	1/16		1/16	1		-1	77	F5	5	23
3	3	17/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		-3	75	Eb5	5	24
3	3	9/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1	1	-3	75	Eb5	5	25
3	3	5	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		-1	53	F3	3	31
3	3	5	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		-4	56	Ab3	3	31
3	3	5	0.25		1/4	1/4	2/4	1	1	1/16		1/16	1	-1	-3	75	Eb5	5	26
3	3	21/4	0.25		5/16	5/16	2/4	1	1	1/16		1/16	1		-5	73	Db5	5	27
3	3	11/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		-5	73	Db5	5	28
3	3	23/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		-5	73	Db5	5	29
4	4	6	0.0		0	0	2/4	1	1	0	grace32	1/32	1		0	72	C5	5	32
4	4	6	0.0		0	0	2/4	1	1	0	grace32	1/32	1		-3	75	Eb5	5	33
4	4	6	0.5		0	0	2/4	1	1	1/8		1/8	1		-5	73	Db5	5	34
4	4	13/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		4	52	E3	3	37
4	4	13/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		-2	58	Bb3	3	37
4	4	13/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		0	72	C5	5	35
4	4	7	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		4	52	E3	3	38
4	4	7	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		-2	58	Bb3	3	38
4	4	15/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		-1	53	F3	3	39
4	4	15/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		-4	56	Ab3	3	39
4	4	31/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		-5	73	Db5	5	36
5	5	8	0.0		0	0	2/4	1	1	0	grace32	1/32	1		0	72	C5	5	40
5	5	8	0.0		0	0	2/4	1	1	0	grace32	1/32	1		-3	75	Eb5	5	41
5	5	8	0.25		0	0	2/4	1	1	1/16		1/16	1		-5	73	Db5	5	42
5	5	33/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		0	72	C5	5	43
5	5	17/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		-3	51	Eb3	3	50
5	5	17/2	0.5		1/8	1/8	2/4	1	2	1/8		1/8	1		-6	66	Gb4	4	48
5	5	17/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1	1	0	72	C5	5	44
5	5	9	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		-5	49	Db3	3	51
5	5	9	1.0		1/4	1/4	2/4	1	2	1/4		1/4	1		-1	65	F4	4	49
5	5	9	0.25		1/4	1/4	2/4	1	1	1/16		1/16	1	-1	0	72	C5	5	45
5	5	37/4	0.25		5/16	5/16	2/4	1	1	1/16		1/16	1		-2	70	Bb4	4	46
5	5	19/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		-5	49	Db3	3	52
5	5	19/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1	1	-2	70	Bb4	4	47
6	6	10	0.5		0	0	2/4	2	1	1/8		1/8	1		0	48	C3	3	62
6	6	10	1.0		0	0	2/4	1	2	1/4		1/4	1		-3	63	Eb4	4	60
6	6	10	0.25		0	0	2/4	1	1	1/16		1/16	1	-1	-2	70	Bb4	4	53
6	6	41/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		-4	68	Ab4	4	54
6	6	21/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		0	48	C3	3	63
6	6	21/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1	1	-4	68	Ab4	4	55
6	6	11	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		-2	46	Bb2	2	64
6	6	11	1.0		1/4	1/4	2/4	1	2	1/4		1/4	1		-5	61	Db4	4	61
6	6	11	0.375		1/4	1/4	2/4	1	1	3/32		1/16	3/2	-1	-4	68	Ab4	4	56
