mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.375	0	0	3/8	1	1	3/32		1/16	3/2		2	74	D5	5	0
1	1	3/8	0.125	3/32	3/32	3/8	1	1	1/32		1/32	1		1	79	G5	5	1
1	1	1/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-2	58	Bb3	3	4
1	1	1/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		2	74	D5	5	2
1	1	1	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		3	57	A3	3	5
1	1	1	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		0	72	C5	5	3
2	2	3/2	0.5	0	0	3/8	2	1	1/8		1/8	1		1	55	G3	3	10
2	2	3/2	0.5	0	0	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	6
2	2	2	1.0	1/8	1/8	3/8	2	3	1/4		1/4	1		6	54	F#3	3	13
2	2	2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-3	63	Eb4	4	11
2	2	2	0.75	1/8	1/8	3/8	1	1	3/16		1/8	3/2		3	69	A4	4	7
2	2	5/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		2	62	D4	4	12
2	2	11/4	0.125	5/16	5/16	3/8	1	1	1/32		1/32	1		-2	70	Bb4	4	8
2	2	23/8	0.125	11/32	11/32	3/8	1	1	1/32		1/32	1		0	72	C5	5	9
3	3	3	0.375	0	0	3/8	2	1	3/32		1/16	3/2		1	55	G3	3	19
3	3	3	0.375	0	0	3/8	1	1	3/32		1/16	3/2		-2	70	Bb4	4	14
3	3	27/8	0.125	3/32	3/32	3/8	2	1	1/32		1/32	1		-2	46	Bb2	2	20
3	3	27/8	0.125	3/32	3/32	3/8	1	1	1/32		1/32	1		1	67	G4	4	15
3	3	7/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		0	48	C3	3	21
3	3	7/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		3	69	A4	4	16
3	3	4	0.0	1/4	1/4	3/8	1	1	0	grace16	1/16	1		1	67	G4	4	17
3	3	4	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		2	50	D3	3	22
3	3	4	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		6	66	F#4	4	18
4	4	9/2	0.0	0	0	3/8	1	1	0	grace16	1/16	2/3		3	69	A4	4	23
4	4	9/2	0.875	0	0	3/8	2	1	7/32		1/8	7/4		-3	39	Eb2	2	28
4	4	9/2	0.16666666666666666	0	0	3/8	1	1	1/24		1/16	2/3		1	67	G4	4	24
4	4	14/3	0.16666666666666666	1/24	1/24	3/8	1	1	1/24		1/16	2/3		6	66	F#4	4	25
4	4	29/6	0.16666666666666666	1/12	1/12	3/8	1	1	1/24		1/16	2/3		1	67	G4	4	26
4	4	5	1.0	1/8	1/8	3/8	1	1	1/4		1/4	1		1	55	G3	3	27
4	4	43/8	0.125	7/32	7/32	3/8	2	1	1/32		1/32	1		-3	51	Eb3	3	29
4	4	11/2	0.375	1/4	1/4	3/8	2	1	3/32		1/16	3/2		2	50	D3	3	30
4	4	47/8	0.125	11/32	11/32	3/8	2	1	1/32		1/32	1		0	48	C3	3	31
5	5	6	0.0	0	0	3/8	1	1	0	grace32	1/32	2/3		1	79	G5	5	32
5	5	6	0.0	0	0	3/8	1	1	0	grace32	1/32	2/3		3	81	A5	5	33
5	5	6	0.5	0	0	3/8	2	1	1/8		1/8	1		5	47	B2	2	39
5	5	6	0.16666666666666666	0	0	3/8	1	1	1/24		1/16	2/3		1	79	G5	5	34
5	5	37/6	0.16666666666666666	1/24	1/24	3/8	1	1	1/24		1/16	2/3		6	78	F#5	5	35
5	5	19/3	0.16666666666666666	1/12	1/12	3/8	1	1	1/24		1/16	2/3		1	79	G5	5	36
5	5	13/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		5	47	B2	2	40
5	5	13/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	40
5	5	27/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		1	79	G5	5	37
5	5	7	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	48	C3	3	41
5	5	7	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	41
5	5	29/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		1	79	G5	5	38
6	6	15/2	0.0	0	0	3/8	1	1	0	grace32	1/32	2/3		1	79	G5	5	42
6	6	15/2	0.0	0	0	3/8	1	1	0	grace32	1/32	2/3		3	81	A5	5	43
6	6	15/2	0.16666666666666666	0	0	3/8	1	1	1/24		1/16	2/3		1	79	G5	5	44
6	6	23/3	0.16666666666666666	1/24	1/24	3/8	1	1	1/24		1/16	2/3		6	78	F#5	5	45
6	6	47/6	0.16666666666666666	1/12	1/12	3/8	1	1	1/24		1/16	2/3		1	79	G5	5	46
6	6	8	0.5	1/8	1/8	3/8	2	3	1/8		1/8	1		2	50	D3	3	52
6	6	8	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		5	59	B3	3	50
6	6	33/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		1	79	G5	5	47
6	6	17/2	0.5	1/4	1/4	3/8	2	3	1/8		1/8	1		-3	51	Eb3	3	53
6	6	17/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	60	C4	4	51
6	6	35/4	0.125	5/16	5/16	3/8	1	1	1/32		1/32	1		1	79	G5	5	48
6	6	71/8	0.125	11/32	11/32	3/8	1	1	1/32		1/32	1		-3	87	Eb6	6	49
7	7	9	0.5	0	0	3/8	1	1	1/8		1/8	1		2	86	D6	6	54
7	7	37/4	0.125	1/16	1/16	3/8	2	1	1/32		1/32	1		1	55	G3	3	65
7	7	75/8	0.125	3/32	3/32	3/8	2	1	1/32		1/32	1		-2	58	Bb3	3	66
7	7	19/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		-3	63	Eb4	4	67
7	7	19/2	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		7	85	C#6	6	55
7	7	39/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	68
7	7	79/8	0.125	7/32	7/32	3/8	1	1	1/32		1/32	1		-2	70	Bb4	4	56
7	7	10	0.0	1/4	1/4	3/8	1	1	0	grace32	1/32	1		-2	70	Bb4	4	57
7	7	10	0.0	1/4	1/4	3/8	1	1	0	grace32	1/32	1		0	72	C5	5	58
7	7	10	0.125	1/4	1/4	3/8	1	1	1/32		1/32	1		-2	70	Bb4	4	59
7	7	81/8	0.125	9/32	9/32	3/8	1	1	1/32		1/32	1		3	69	A4	4	60
7	7	41/4	0.0	5/16	5/16	3/8	1	1	0	grace32	1/32	1		3	69	A4	4	61
7	7	41/4	0.0	5/16	5/16	3/8	1	1	0	grace32	1/32	1		-2	70	Bb4	4	62
7	7	41/4	0.125	5/16	5/16	3/8	1	1	1/32		1/32	1		3	69	A4	4	63
7	7	83/8	0.125	11/32	11/32	3/8	1	1	1/32		1/32	1		1	67	G4	4	64
8	8	21/2	0.5	0	0	3/8	2	1	1/8		1/8	1	1	2	50	D3	3	74
8	8	21/2	0.3333333333333333	0	0	3/8	1	1	1/12		1/8	2/3		1	67	G4	4	69
8	8	65/6	0.125	1/12	1/12	3/8	1	1	1/32		1/32	1		6	66	F#4	4	70
8	8	263/24	0.041666666666666664	11/96	11/96	3/8	1	1	1/96		1/64	2/3		1	67	G4	4	71
8	8	11	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1	-1	2	50	D3	3	75
8	8	11	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		1	67	G4	4	72
8	8	45/4	0.75	3/16	3/16	3/8	2	1	3/16		1/8	3/2		2	38	D2	2	76
8	8	23/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		3	69	A4	4	73
9	9	12	0.5	0	0	3/8	1	1	1/8		1/8	1	1	-2	70	Bb4	4	77
9	9	25/2	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1	-1	-2	70	Bb4	4	78
9	9	51/4	0.125	3/16	3/16	3/8	1	1	1/32		1/32	1		0	72	C5	5	79
9	9	103/8	0.125	7/32	7/32	3/8	1	1	1/32		1/32	1		2	74	D5	5	80
9	9	13	0.125	1/4	1/4	3/8	1	1	1/32		1/32	1		-1	77	F5	5	81
9	9	105/8	0.125	9/32	9/32	3/8	1	1	1/32		1/32	1		-3	75	Eb5	5	82
9	9	53/4	0.125	5/16	5/16	3/8	1	1	1/32		1/32	1		2	74	D5	5	83
9	9	107/8	0.125	11/32	11/32	3/8	1	1	1/32		1/32	1		0	72	C5	5	84
10	10	27/2	0.25	0	0	3/8	1	1	1/16		1/16	1		-2	70	Bb4	4	85
10	10	55/4	0.125	1/16	1/16	3/8	1	1	1/32		1/32	1		-4	68	Ab4	4	86
