mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.875		0	0	2/4	2	1	7/32		1/8	7/4		-1	53	F3	3	5
1	1	0	0.875		0	0	2/4	2	1	7/32		1/8	7/4		3	57	A3	3	5
1	1	0	0.875		0	0	2/4	2	1	7/32		1/8	7/4		0	60	C4	4	5
1	1	0	0.875		0	0	2/4	1	1	7/32		1/8	7/4		1	67	G4	4	0
1	1	7/8	0.125		7/32	7/32	2/4	2	1	1/32		1/32	1		-1	53	F3	3	6
1	1	7/8	0.125		7/32	7/32	2/4	2	1	1/32		1/32	1		0	60	C4	4	6
1	1	7/8	0.125		7/32	7/32	2/4	1	1	1/32		1/32	1		3	69	A4	4	1
1	1	1	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		4	52	E3	3	7
1	1	1	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		0	60	C4	4	7
1	1	1	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		3	69	A4	4	2
1	1	3/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		1	67	G4	4	3
1	1	15/8	0.125		15/32	15/32	2/4	2	1	1/32		1/32	1		4	52	E3	3	8
1	1	15/8	0.125		15/32	15/32	2/4	2	1	1/32		1/32	1		0	60	C4	4	8
1	1	15/8	0.125		15/32	15/32	2/4	1	1	1/32		1/32	1		-2	70	Bb4	4	4
2	2	2	1.0		0	0	2/4	2	1	1/4		1/4	1		-1	53	F3	3	14
2	2	2	1.0		0	0	2/4	2	1	1/4		1/4	1		0	60	C4	4	14
2	2	2	0.5		0	0	2/4	1	1	1/8		1/8	1		-2	70	Bb4	4	9
2	2	5/2	0.375		1/8	1/8	2/4	1	1	3/32		1/16	3/2		3	69	A4	4	10
2	2	23/8	0.125		7/32	7/32	2/4	1	1	1/32		1/32	1		-2	70	Bb4	4	11
2	2	3	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		0	72	C5	5	12
2	2	31/8	0.125		15/32	15/32	2/4	2	1	1/32		1/32	1		3	57	A3	3	15
2	2	31/8	0.125		15/32	15/32	2/4	1	1	1/32		1/32	1		-1	65	F4	4	13
