mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5	0	0	2/4	2	1	1/8		1/8	1		-1	53	F3	3	5
1	1	0	0	0.75	0	0	2/4	1	1	3/16		1/8	3/2		3	69	A4	4	0
1	1	0	0	0.75	0	0	2/4	1	1	3/16		1/8	3/2		0	72	C5	5	0
1	1	1/2	1/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		-1	41	F2	2	6
1	1	3/4	3/4	0.125	3/16	3/16	2/4	1	1	1/32		1/32	1		2	74	D5	5	1
1	1	7/8	7/8	0.125	7/32	7/32	2/4	1	1	1/32		1/32	1		4	76	E5	5	2
1	1	1	1	0.5	1/4	1/4	2/4	1	1	1/8		1/8	1		-1	77	F5	5	3
1	1	3/2	3/2	0.5	3/8	3/8	2/4	1	1	1/8		1/8	1		1	79	G5	5	4
2	2	2	2	0.5	0	0	2/4	1	1	1/8		1/8	1		3	81	A5	5	7
2	2	5/2	5/2	0.5	1/8	1/8	2/4	1	1	1/8		1/8	1		-1	77	F5	5	8
2	2	3	3	1.0	1/4	1/4	2/4	2	1	1/4		1/4	1		-2	58	Bb3	3	10
2	2	3	3	1.0	1/4	1/4	2/4	1	1	1/4		1/4	1		2	74	D5	5	9
3	3	4	4	1.0	0	0	2/4	2	1	1/4		1/4	1		1	55	G3	3	13
3	3	4	4	1.0	0	0	2/4	1	1	1/4		1/4	1		-2	70	Bb4	4	11
3	3	5	5	1.0	1/4	1/4	2/4	2	1	1/4		1/4	1		4	52	E3	3	14
3	3	5	5	1.0	1/4	1/4	2/4	1	1	1/4		1/4	1		1	67	G4	4	12
4	4	6	6	0.5	0	0	2/4	2	1	1/8		1/8	1		-1	53	F3	3	23
4	4	6	6	0.25	0	0	2/4	1	1	1/16		1/16	1		-2	70	Bb4	4	15
4	4	25/4	25/4	0.25	1/16	1/16	2/4	1	1	1/16		1/16	1		3	69	A4	4	16
4	4	13/2	13/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		-2	46	Bb2	2	24
4	4	13/2	13/2	0.25	1/8	1/8	2/4	1	1	1/16		1/16	1		1	67	G4	4	17
4	4	27/4	27/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		-1	65	F4	4	18
4	4	7	7	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		0	48	C3	3	25
4	4	7	7	0.25	1/4	1/4	2/4	1	1	1/16		1/16	1		-1	65	F4	4	19
4	4	29/4	29/4	0.25	5/16	5/16	2/4	1	1	1/16		1/16	1		4	64	E4	4	20
4	4	15/2	15/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		-2	46	Bb2	2	26
4	4	15/2	15/2	0.25	3/8	3/8	2/4	1	1	1/16		1/16	1		2	62	D4	4	21
4	4	31/4	31/4	0.25	7/16	7/16	2/4	1	1	1/16		1/16	1		0	60	C4	4	22
5	5	8	8	0.5	0	0	2/4	2	1	1/8		1/8	1		3	45	A2	2	32
5	5	8	8	0.75	0	0	2/4	1	1	3/16		1/8	3/2		0	72	C5	5	27
5	5	17/2	17/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		-1	53	F3	3	33
5	5	35/4	35/4	0.125	3/16	3/16	2/4	1	1	1/32		1/32	1		2	74	D5	5	28
5	5	71/8	71/8	0.125	7/32	7/32	2/4	1	1	1/32		1/32	1		4	76	E5	5	29
5	5	9	9	0.5	1/4	1/4	2/4	1	1	1/8		1/8	1		-1	77	F5	5	30
5	5	19/2	19/2	0.5	3/8	3/8	2/4	1	1	1/8		1/8	1		1	79	G5	5	31
6	6	10	10	0.5	0	0	2/4	1	1	1/8		1/8	1		3	81	A5	5	34
6	6	21/2	21/2	0.5	1/8	1/8	2/4	1	1	1/8		1/8	1		-1	77	F5	5	35
6	6	11	11	1.0	1/4	1/4	2/4	2	1	1/4		1/4	1		2	50	D3	3	37
6	6	11	11	1.0	1/4	1/4	2/4	2	1	1/4		1/4	1		2	62	D4	4	37
6	6	11	11	1.0	1/4	1/4	2/4	1	1	1/4		1/4	1		-1	77	F5	5	36
6	6	11	11	1.0	1/4	1/4	2/4	1	1	1/4		1/4	1		-1	89	F6	6	36
7	7	12	12	1.0	0	0	2/4	2	1	1/4		1/4	1		-2	46	Bb2	2	44
7	7	12	12	1.0	0	0	2/4	2	1	1/4		1/4	1		-2	58	Bb3	3	44
7	7	12	12	0.5	0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	38
7	7	12	12	0.5	0	0	2/4	1	1	1/8		1/8	1		2	86	D6	6	38
7	7	51/4	51/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		-2	82	Bb5	5	39
7	7	13	13	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		0	60	C4	4	45
7	7	13	13	0.25	1/4	1/4	2/4	1	1	1/16		1/16	1		3	81	A5	5	40
7	7	53/4	53/4	0.25	5/16	5/16	2/4	1	1	1/16		1/16	1		1	79	G5	5	41
7	7	27/2	27/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		0	48	C3	3	46
7	7	27/2	27/2	0.25	3/8	3/8	2/4	1	1	1/16		1/16	1		-1	77	F5	5	42
7	7	55/4	55/4	0.25	7/16	7/16	2/4	1	1	1/16		1/16	1		4	76	E5	5	43
8	8	14	14	0.0	0	0	2/4	1	1	0	grace16	1/16	1		4	76	E5	5	47
8	8	14	14	0.5	0	0	2/4	2	1	1/8		1/8	1		-1	53	F3	3	52
8	8	14	14	0.5	0	0	2/4	1	1	1/8		1/8	1		-1	77	F5	5	48
8	8	29/2	29/2	0.25	1/8	1/8	2/4	2	1	1/16		1/16	1		0	48	C3	3	53
8	8	29/2	29/2	0.25	1/8	1/8	2/4	1	1	1/16		1/16	1		0	72	C5	5	49
8	8	59/4	59/4	0.25	3/16	3/16	2/4	2	1	1/16		1/16	1		3	45	A2	2	54
8	8	59/4	59/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		3	69	A4	4	50
8	8	15	15	1.0	1/4	1/4	2/4	2	1	1/4		1/4	1		-1	41	F2	2	55
8	8	15	15	1.0	1/4	1/4	2/4	1	1	1/4		1/4	1		-1	65	F4	4	51
9	9	16	16	0.5	0	0	2/4	2	1	1/8		1/8	1		-1	53	F3	3	61
9	9	16	16	0.75	0	0	2/4	1	1	3/16		1/8	3/2		3	69	A4	4	56
9	9	16	16	0.75	0	0	2/4	1	1	3/16		1/8	3/2		0	72	C5	5	56
9	9	33/2	33/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		-1	41	F2	2	62
