mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.75	0	0	3/4	2	1	3/16		1/8	3/2		2	62	D4	4	5
1	1	0	0.75	0	0	3/4	1	1	3/16		1/8	3/2		2	74	D5	5	0
1	1	3/4	0.125	3/16	3/16	3/4	2	1	1/32		1/32	1		7	61	C#4	4	6
1	1	3/4	0.125	3/16	3/16	3/4	1	1	1/32		1/32	1		7	73	C#5	5	1
1	1	7/8	0.125	7/32	7/32	3/4	2	1	1/32		1/32	1		2	62	D4	4	7
1	1	7/8	0.125	7/32	7/32	3/4	1	1	1/32		1/32	1		2	74	D5	5	2
1	1	1	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	8
1	1	1	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		3	69	A4	4	3
1	1	2	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	1	67	G4	4	4
1	1	2	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	-2	70	Bb4	4	4
2	2	3	1.0	0	0	3/4	2	1	1/4		1/4	1		3	45	A2	2	13
2	2	3	0.5	0	0	3/4	1	1	1/8		1/8	1	-1	1	67	G4	4	9
2	2	3	0.5	0	0	3/4	1	1	1/8		1/8	1	-1	-2	70	Bb4	4	9
2	2	7/2	1.0	1/8	1/8	3/4	1	1	1/4		1/4	1		-1	65	F4	4	10
2	2	7/2	1.0	1/8	1/8	3/4	1	1	1/4		1/4	1		3	69	A4	4	10
2	2	4	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	45	A2	2	14
2	2	9/2	1.0	3/8	3/8	3/4	1	1	1/4		1/4	1		4	64	E4	4	11
2	2	9/2	1.0	3/8	3/8	3/4	1	1	1/4		1/4	1		1	67	G4	4	11
2	2	5	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	50	D3	3	15
2	2	11/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		2	62	D4	4	12
2	2	11/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-1	65	F4	4	12
3	3	6	0.75	0	0	3/4	2	1	3/16		1/8	3/2		2	62	D4	4	23
3	3	6	0.75	0	0	3/4	1	1	3/16		1/8	3/2		2	74	D5	5	16
3	3	27/4	0.125	3/16	3/16	3/4	2	1	1/32		1/32	1		7	61	C#4	4	24
3	3	27/4	0.125	3/16	3/16	3/4	1	1	1/32		1/32	1		7	73	C#5	5	17
3	3	55/8	0.125	7/32	7/32	3/4	2	1	1/32		1/32	1		2	62	D4	4	25
3	3	55/8	0.125	7/32	7/32	3/4	1	1	1/32		1/32	1		2	74	D5	5	18
3	3	7	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	26
3	3	7	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		3	69	A4	4	19
3	3	8	0.75	1/2	1/2	3/4	1	1	3/16		1/8	3/2		-2	70	Bb4	4	20
3	3	35/4	0.125	11/16	11/16	3/4	1	1	1/32		1/32	1		3	69	A4	4	21
3	3	71/8	0.125	23/32	23/32	3/4	1	1	1/32		1/32	1		1	67	G4	4	22
4	4	9	1.0	0	0	3/4	2	1	1/4		1/4	1		3	45	A2	2	36
4	4	9	0.75	0	0	3/4	1	1	3/16		1/8	3/2		3	69	A4	4	27
4	4	39/4	0.125	3/16	3/16	3/4	1	1	1/32		1/32	1		1	67	G4	4	28
4	4	79/8	0.125	7/32	7/32	3/4	1	1	1/32		1/32	1		-1	65	F4	4	29
4	4	10	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	45	A2	2	37
4	4	10	0.75	1/4	1/4	3/4	1	1	3/16		1/8	3/2		1	67	G4	4	30
4	4	43/4	0.125	7/16	7/16	3/4	1	1	1/32		1/32	1		-1	65	F4	4	31
4	4	87/8	0.125	15/32	15/32	3/4	1	1	1/32		1/32	1		4	64	E4	4	32
4	4	11	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	50	D3	3	38
4	4	11	0.75	1/2	1/2	3/4	1	1	3/16		1/8	3/2		-1	65	F4	4	33
4	4	47/4	0.125	11/16	11/16	3/4	1	1	1/32		1/32	1		4	64	E4	4	34
4	4	95/8	0.125	23/32	23/32	3/4	1	1	1/32		1/32	1		2	62	D4	4	35
5	5	12	0.75	0	0	3/4	2	1	3/16		1/8	3/2		2	62	D4	4	49
5	5	12	0.75	0	0	3/4	1	1	3/16		1/8	3/2		-1	77	F5	5	39
5	5	51/4	0.125	3/16	3/16	3/4	2	1	1/32		1/32	1		7	61	C#4	4	50
5	5	51/4	0.125	3/16	3/16	3/4	1	1	1/32		1/32	1		4	76	E5	5	40
5	5	103/8	0.125	7/32	7/32	3/4	2	1	1/32		1/32	1		2	62	D4	4	51
5	5	103/8	0.125	7/32	7/32	3/4	1	1	1/32		1/32	1		-1	77	F5	5	41
5	5	13	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	52
5	5	13	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		1	79	G5	5	42
5	5	27/2	0.25	3/8	3/8	3/4	1	1	1/16		1/16	1		1	67	G4	4	43
5	5	55/4	0.25	7/16	7/16	3/4	1	1	1/16		1/16	1		-2	70	Bb4	4	44
5	5	14	0.25	1/2	1/2	3/4	1	1	1/16		1/16	1		2	74	D5	5	45
5	5	57/4	0.25	9/16	9/16	3/4	1	1	1/16		1/16	1		2	86	D6	6	46
5	5	29/2	0.25	5/8	5/8	3/4	1	1	1/16		1/16	1		-2	82	Bb5	5	47
5	5	59/4	0.25	11/16	11/16	3/4	1	1	1/16		1/16	1		1	79	G5	5	48
6	6	15	0.75	0	0	3/4	2	1	3/16		1/8	3/2		0	60	C4	4	63
6	6	15	0.75	0	0	3/4	1	1	3/16		1/8	3/2		4	76	E5	5	53
