mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	slur
1	1	0	0.0	0	0	Tempo	3/4	1	1	0								Allegro	126	
1	1	0	0.0	0	0	Dynamic	3/4	1	1	0						f				
1	1	0	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥 = 80	80	
1	1	0	0.125	0	0	Chord	3/4	1	1	1/32			1/32	1	0					
1	1	1/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32			1/32	1	1					
1	1	1/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32			1/32	1	2					
1	1	3/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32			1/32	1	3					
1	1	1/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32			1/32	1	4					
1	1	5/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32			1/32	1	5					
1	1	3/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	6					
1	1	7/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	7					
1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	8		articStaccatissimoAbove			
1	1	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	9		articStaccatissimoAbove			
1	1	0	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	10					0
1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	11		articStaccatissimoAbove			
1	1	2	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	12		articStaccatissimoBelow			
1	1	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	13		articStaccatissimoBelow			
2	2	3	0.125	0	0	Chord	3/4	1	1	1/32			1/32	1	14					
2	2	25/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32			1/32	1	15					
2	2	13/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32			1/32	1	16					
