mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	1/4	Tempo	3/8	1	1	0							Саntabileemesto	52.0			1.0	
1	0	0	0	0.0	0	1/4	Dynamic	3/8	1	1	0					p							
1	0	0	0	0.0	0	1/4	Tempo	3/8	1	1	0							𝅘𝅥.=44	66.0	𝅘𝅥.	44.0	0.0	
1	0	0	0	0.5	0	1/4	Chord	3/8	1	1	1/8		1/8	1	0								0
2	1	1/2	1/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	1								0
2	1	1	1	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	2								0
2	1	3/2	3/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	3		ornamentTurn						
2	1	3/2	3/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	4								1
3	2	2	2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	5								2
3	2	5/2	5/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	6								2
3	2	3	3	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	7								2
3	2	2	2	1.0	0	0	Chord	3/8	1	2	1/4		1/4	1	8								1
3	2	3	3	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	9								1
4	3	7/2	7/2	0.0	0	0	Chord	3/8	1	1	0	grace32	1/32	1	10								2
4	3	7/2	7/2	0.0	0	0	Chord	3/8	1	1	0	grace32	1/32	1	11								2
4	3	7/2	7/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	12								2
4	3	9/2	9/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	13								
4	3	7/2	7/2	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	14								1
4	3	4	4	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	15								1
4	3	9/2	9/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	16								1
5	4	5	5	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	17								3
5	4	11/2	11/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	18		ornamentTurn						3
5	4	6	6	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	19								3
5	4	5	5	1.5	0	0	Chord	3/8	1	2	3/8		1/4	3/2	20								
6	5	13/2	13/2	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	21								3
6	5	13/2	13/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	22		ornamentTurn						3
6	5	15/2	15/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	23								
6	5	7	7	0.0	1/8	1/8	Dynamic	3/8	2	1	0					f							
6	5	15/2	15/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	24								4
6	5	7	7	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	25								5
6	5	15/2	15/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	26								
7	6	8	8	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	27								6
7	6	67/8	67/8	0.0625	3/32	3/32	Chord	3/8	1	1	1/64		1/64	1	28								6
7	6	135/16	135/16	0.0625	7/64	7/64	Chord	3/8	1	1	1/64		1/64	1	29								
7	6	17/2	17/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	30								7
7	6	9	9	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	31		ornamentTurn						
7	6	8	8	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	32								
7	6	17/2	17/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	33								
7	6	9	9	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	34								
7	6	8	8	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	35								4
7	6	17/2	17/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	36								4
7	6	9	9	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	37		ornamentTurn						
7	6	8	8	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	38								
7	6	17/2	17/2	1.0	1/8	1/8	Chord	3/8	2	2	1/4		1/4	1	39								
8	7	19/2	19/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	40								
8	7	19/2	19/2	0.5	0	0	Chord	3/8	1	3	1/8		1/8	1	41								
8	7	39/4	39/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	42								8
8	7	10	10	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	43								8
8	7	41/4	41/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	44								8
8	7	21/2	21/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	45								8
8	7	43/4	43/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	46								
8	7	19/2	19/2	0.5	0	0	Chord	3/8	2	3	1/8		1/8	1	47								
9	8	11	11	0.0	0	0	Dynamic	3/8	1	1	0					p							
9	8	11	11	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	48								9
9	8	45/4	45/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	49								9
9	8	23/2	23/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	50								9
9	8	47/4	47/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	51								9
9	8	12	12	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	52								
9	8	99/8	99/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	53								
10	9	25/2	25/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	54								
10	9	51/4	51/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	55		ornamentTurn						
