mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/8	Tempo	2/4	1	1	0							Allegretto	112.0			1.0	
1	0	0	0	0.0	0	3/8	Dynamic	2/4	1	1	0					p							
1	0	0	0	0.0	0	3/8	Tempo	2/4	1	1	0							𝅘𝅥=96	96.0	𝅘𝅥	96.0	1.0	
1	0	0	0	0.25	0	3/8	Chord	2/4	1	1	1/16		1/16	1	0								0
1	0	1/4	1/4	0.25	1/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1								
2	1	1/2	1/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	2								1
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	3		articStaccatissimoAbove						
2	1	2	2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	4								2
2	1	9/4	9/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	5								
2	1	1	1	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	6								3
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	7		articStaccatissimoBelow						
3	2	5/2	5/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	8								4
3	2	7/2	7/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	9		articStaccatissimoAbove						
3	2	4	4	0.0	3/8	3/8	Dynamic	2/4	1	1	0					f							
3	2	4	4	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	10								5
3	2	17/4	17/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	11								
3	2	3	3	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	12								6
3	2	7/2	7/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	13		articStaccatissimoBelow						
4	3	9/2	9/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	14								7
4	3	19/4	19/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	15								
4	3	5	5	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	16								8
4	3	21/4	21/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	17								
4	3	11/2	11/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	18								9
4	3	23/4	23/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	19								
4	3	6	6	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	20								10
4	3	25/4	25/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	21								
4	3	5	5	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	22								
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	23								
4	3	6	6	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	24								
5	4	13/2	13/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	25								11
5	4	27/4	27/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	26								
5	4	7	7	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	27								
5	4	29/4	29/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	28								
5	4	15/2	15/2	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	29								
5	4	15/2	15/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	30								12
5	4	31/4	31/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	31								
5	4	8	8	0.0	3/8	3/8	Dynamic	2/4	1	1	0					p							
5	4	8	8	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	32								
5	4	33/4	33/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	33								
5	4	13/2	13/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	34								
5	4	7	7	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	35								
5	4	15/2	15/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	36								
6	5	17/2	17/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	37								13
6	5	35/4	35/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	38								
6	5	37/4	37/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	39								
6	5	19/2	19/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	40								14
6	5	39/4	39/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	41								
6	5	10	10	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	42								
6	5	41/4	41/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	43								
6	5	9	9	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	44								
6	5	19/2	19/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	45								
7	6	21/2	21/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	46								15
7	6	43/4	43/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	47								
7	6	45/4	45/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	48								
7	6	23/2	23/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	49								16
7	6	47/4	47/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	50								
7	6	12	12	0.0	3/8	3/8	Dynamic	2/4	1	1	0					f							
7	6	12	12	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	51		articStaccatissimoAbove						
7	6	12	12	0.5	3/8	3/8	Chord	2/4	1	4	1/8		1/8	1	52		articStaccatissimoBelow						
7	6	11	11	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	53								
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	54								
7	6	12	12	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	55		articStaccatissimoBelow						
8	7	25/2	25/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	56		articStaccatissimoAbove						
8	7	13	13	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	57		articStaccatissimoAbove						
8	7	14	14	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	58								
8	7	85/6	85/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	59								
8	7	43/3	43/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	60								
8	7	25/2	25/2	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	61								
8	7	25/2	25/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	62								
8	7	27/2	27/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	63								17
9	8	29/2	29/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	64								
9	8	44/3	44/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	65								
9	8	89/6	89/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	66								
9	8	15	15	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	67								
9	8	91/6	91/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	68								
9	8	46/3	46/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	69								
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	70		articStaccatissimoAbove						
9	8	29/2	29/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	71								
10	9	33/2	33/2	0.0	0	0	Dynamic	2/4	1	1	0					p							
10	9	33/2	33/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	72								
10	9	50/3	50/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	73								
10	9	101/6	101/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	74								
10	9	17	17	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	75								
10	9	103/6	103/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	76								
10	9	52/3	52/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	77								
10	9	35/2	35/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	78								
10	9	53/3	53/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	79								
10	9	107/6	107/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	80								
10	9	18	18	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	81								
10	9	109/6	109/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	82								
10	9	55/3	55/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	83								
11	10	37/2	37/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	84								
11	10	56/3	56/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	85								
11	10	113/6	113/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	86								
11	10	19	19	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	87								
11	10	115/6	115/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	88								
11	10	58/3	58/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	89								
11	10	39/2	39/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	90								
11	10	59/3	59/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	91								
11	10	119/6	119/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	92								
11	10	20	20	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	93								
11	10	121/6	121/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	94								
11	10	61/3	61/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	95								
12	11	41/2	41/2	0.0	0	0	Dynamic	2/4	1	1	0					f							
12	11	41/2	41/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	96								
12	11	21	21	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	97								18
12	11	169/8	169/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	98								18
12	11	85/4	85/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	99								18
12	11	171/8	171/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	100								
12	11	43/2	43/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	101								19
