mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	staff_text	tempo	qpm
1	1	0	0.0	0	0	Tempo	4/4	1	1	0								Allegretto	116
1	1	0	0.0	0	0	StaffText	4/4	1	1	0							Arpeggio		
1	1	0	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1.0	0				
1	1	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1.0	1				
1	1	4	2.0	1	1	Chord	4/4	1	1	1/2			1/2	1.0	2				
1	1	6	2.0	3/2	3/2	Chord	4/4	1	1	1/2			1/2	1.0	3				
1	1	8	2.0	2	2	Chord	4/4	1	1	1/2			1/2	1.0	4				
1	1	10	2.0	5/2	5/2	Chord	4/4	1	1	1/2			1/2	1.0	5				
1	1	12	0.0	3	3	Dynamic	4/4	1	1	0						f			
1	1	12	2.0	3	3	Chord	4/4	1	1	1/2			1/2	1.0	6				
1	1	14	2.0	7/2	7/2	Chord	4/4	1	1	1/2			1/2	1.0	7				
1	1	16	2.0	4	4	Chord	4/4	1	1	1/2			1/2	1.0	8				
1	1	18	0.0	9/2	9/2	Dynamic	4/4	1	1	0						f			
1	1	18	2.0	9/2	9/2	Chord	4/4	1	1	1/2			1/2	1.0	9				
1	1	20	0.0	5	5	Dynamic	4/4	1	1	0						p			
1	1	20	2.0	5	5	Chord	4/4	1	1	1/2			1/2	1.0	10				
1	1	22	2.0	11/2	11/2	Chord	4/4	1	1	1/2			1/2	1.0	11				
1	1	24	2.0	6	6	Chord	4/4	1	1	1/2			1/2	1.0	12				
1	1	26	0.0	13/2	13/2	Dynamic	4/4	1	1	0						f			
1	1	26	2.0	13/2	13/2	Chord	4/4	1	1	1/2			1/2	1.0	13				
1	1	28	2.0	7	7	Chord	4/4	1	1	1/2			1/2	1.0	14				
1	1	30	2.0	15/2	15/2	Chord	4/4	1	1	1/2			1/2	1.0	15				
1	1	32	2.0	8	8	Chord	4/4	1	1	1/2			1/2	1.0	16				
1	1	34	2.0	17/2	17/2	Chord	4/4	1	1	1/2			1/2	1.0	17				
1	1	0	2.0	0	0	Chord	4/4	1	2	1/2			1/2	1.0	18				
1	1	2	2.0	1/2	1/2	Chord	4/4	1	2	1/2			1/2	1.0	19				
1	1	4	2.0	1	1	Chord	4/4	1	2	1/2			1/2	1.0	20				
