mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	staff_text	tempo	qpm
1	1	6	2.0	3/2	3/2	Chord	4/4	1	2	1/2			1/2	1.0	21				
1	1	8	2.0	2	2	Chord	4/4	1	2	1/2			1/2	1.0	22				
1	1	10	2.0	5/2	5/2	Chord	4/4	1	2	1/2			1/2	1.0	23				
1	1	12	2.0	3	3	Chord	4/4	1	2	1/2			1/2	1.0	24				
1	1	14	2.0	7/2	7/2	Chord	4/4	1	2	1/2			1/2	1.0	25				
1	1	16	2.0	4	4	Chord	4/4	1	2	1/2			1/2	1.0	26				
1	1	18	2.0	9/2	9/2	Chord	4/4	1	2	1/2			1/2	1.0	27				
1	1	20	2.0	5	5	Chord	4/4	1	2	1/2			1/2	1.0	28				
1	1	22	2.0	11/2	11/2	Chord	4/4	1	2	1/2			1/2	1.0	29				
1	1	24	2.0	6	6	Chord	4/4	1	2	1/2			1/2	1.0	30				
1	1	26	2.0	13/2	13/2	Chord	4/4	1	2	1/2			1/2	1.0	31				
1	1	28	2.0	7	7	Chord	4/4	1	2	1/2			1/2	1.0	32				
1	1	30	2.0	15/2	15/2	Chord	4/4	1	2	1/2			1/2	1.0	33				
1	1	32	2.0	8	8	Chord	4/4	1	2	1/2			1/2	1.0	34				
1	1	34	2.0	17/2	17/2	Chord	4/4	1	2	1/2			1/2	1.0	35				
1	1	0	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1.0	36				
1	1	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1.0	37				
1	1	4	2.0	1	1	Chord	4/4	2	1	1/2			1/2	1.0	38				
1	1	6	2.0	3/2	3/2	Chord	4/4	2	1	1/2			1/2	1.0	39				
1	1	8	2.0	2	2	Chord	4/4	2	1	1/2			1/2	1.0	40				
1	1	10	0.0	5/2	5/2	Dynamic	4/4	2	1	0						p			
1	1	10	2.0	5/2	5/2	Chord	4/4	2	1	1/2			1/2	1.0	41				
1	1	12	2.0	3	3	Chord	4/4	2	1	1/2			1/2	1.0	42				
1	1	14	2.0	7/2	7/2	Chord	4/4	2	1	1/2			1/2	1.0	43				
1	1	16	0.0	4	4	Dynamic	4/4	2	1	0						p			
1	1	16	2.0	4	4	Chord	4/4	2	1	1/2			1/2	1.0	44				
1	1	18	2.0	9/2	9/2	Chord	4/4	2	1	1/2			1/2	1.0	45				
1	1	20	0.0	5	5	Dynamic	4/4	2	1	0						p			
1	1	20	2.0	5	5	Chord	4/4	2	1	1/2			1/2	1.0	46				
1	1	22	2.0	11/2	11/2	Chord	4/4	2	1	1/2			1/2	1.0	47				
1	1	24	2.0	6	6	Chord	4/4	2	1	1/2			1/2	1.0	48				
1	1	26	2.0	13/2	13/2	Chord	4/4	2	1	1/2			1/2	1.0	49				
1	1	28	2.0	7	7	Chord	4/4	2	1	1/2			1/2	1.0	50				
1	1	30	2.0	15/2	15/2	Chord	4/4	2	1	1/2			1/2	1.0	51				
1	1	32	2.0	8	8	Chord	4/4	2	1	1/2			1/2	1.0	52				
1	1	34	2.0	17/2	17/2	Chord	4/4	2	1	1/2			1/2	1.0	53				
1	1	0	2.0	0	0	Chord	4/4	2	2	1/2			1/2	1.0	54				
1	1	2	2.0	1/2	1/2	Chord	4/4	2	2	1/2			1/2	1.0	55				
1	1	4	2.0	1	1	Chord	4/4	2	2	1/2			1/2	1.0	56				
1	1	6	2.0	3/2	3/2	Chord	4/4	2	2	1/2			1/2	1.0	57				
1	1	8	2.0	2	2	Chord	4/4	2	2	1/2			1/2	1.0	58				
1	1	10	2.0	5/2	5/2	Chord	4/4	2	2	1/2			1/2	1.0	59				
1	1	12	2.0	3	3	Chord	4/4	2	2	1/2			1/2	1.0	60				
1	1	14	2.0	7/2	7/2	Chord	4/4	2	2	1/2			1/2	1.0	61				
1	1	16	2.0	4	4	Chord	4/4	2	2	1/2			1/2	1.0	62				
1	1	18	2.0	9/2	9/2	Chord	4/4	2	2	1/2			1/2	1.0	63				
1	1	20	2.0	5	5	Chord	4/4	2	2	1/2			1/2	1.0	64				
1	1	22	2.0	11/2	11/2	Chord	4/4	2	2	1/2			1/2	1.0	65				
1	1	24	2.0	6	6	Chord	4/4	2	2	1/2			1/2	1.0	66				
1	1	26	2.0	13/2	13/2	Chord	4/4	2	2	1/2			1/2	1.0	67				
1	1	28	2.0	7	7	Chord	4/4	2	2	1/2			1/2	1.0	68				
1	1	30	2.0	15/2	15/2	Chord	4/4	2	2	1/2			1/2	1.0	69				
1	1	32	2.0	8	8	Chord	4/4	2	2	1/2			1/2	1.0	70				
1	1	34	2.0	17/2	17/2	Chord	4/4	2	2	1/2			1/2	1.0	71				
2	2	73/2	0.0625	1/8	1/8	Chord	4/4	1	1	1/64			1/64	1.0	72				
2	2	585/16	0.0625	9/64	9/64	Chord	4/4	1	1	1/64			1/64	1.0	73				
2	2	293/8	0.0625	5/32	5/32	Chord	4/4	1	1	1/64			1/64	1.0	74				
2	2	587/16	0.0625	11/64	11/64	Chord	4/4	1	1	1/64			1/64	1.0	75				
2	2	147/4	0.0625	3/16	3/16	Chord	4/4	1	1	1/64			1/64	1.0	76				
2	2	589/16	0.0625	13/64	13/64	Chord	4/4	1	1	1/64			1/64	1.0	77				
2	2	295/8	0.0625	7/32	7/32	Chord	4/4	1	1	1/64			1/64	1.0	78				
2	2	591/16	0.0625	15/64	15/64	Chord	4/4	1	1	1/64			1/64	1.0	79				
2	2	37	0.0625	1/4	1/4	Chord	4/4	1	1	1/64			1/64	1.0	80				
2	2	593/16	0.0625	17/64	17/64	Chord	4/4	1	1	1/64			1/64	1.0	81				
2	2	297/8	0.0625	9/32	9/32	Chord	4/4	1	1	1/64			1/64	1.0	82				
2	2	595/16	0.0625	19/64	19/64	Chord	4/4	1	1	1/64			1/64	1.0	83				
2	2	149/4	0.0625	5/16	5/16	Chord	4/4	1	1	1/64			1/64	1.0	84				
2	2	597/16	0.0625	21/64	21/64	Chord	4/4	1	1	1/64			1/64	1.0	85				
2	2	299/8	0.0625	11/32	11/32	Chord	4/4	1	1	1/64			1/64	1.0	86				
2	2	599/16	0.0625	23/64	23/64	Chord	4/4	1	1	1/64			1/64	1.0	87				
2	2	75/2	0.0625	3/8	3/8	Chord	4/4	1	1	1/64			1/64	1.0	88				
2	2	601/16	0.0625	25/64	25/64	Chord	4/4	1	1	1/64			1/64	1.0	89				
2	2	301/8	0.0625	13/32	13/32	Chord	4/4	1	1	1/64			1/64	1.0	90				
2	2	603/16	0.0625	27/64	27/64	Chord	4/4	1	1	1/64			1/64	1.0	91				
2	2	151/4	0.0625	7/16	7/16	Chord	4/4	1	1	1/64			1/64	1.0	92				
2	2	605/16	0.0625	29/64	29/64	Chord	4/4	1	1	1/64			1/64	1.0	93				
2	2	303/8	0.0625	15/32	15/32	Chord	4/4	1	1	1/64			1/64	1.0	94				
2	2	607/16	0.0625	31/64	31/64	Chord	4/4	1	1	1/64			1/64	1.0	95				
2	2	38	0.0625	1/2	1/2	Chord	4/4	1	1	1/64			1/64	1.0	96				
2	2	609/16	0.0625	33/64	33/64	Chord	4/4	1	1	1/64			1/64	1.0	97				
2	2	305/8	0.0625	17/32	17/32	Chord	4/4	1	1	1/64			1/64	1.0	98				
2	2	611/16	0.0625	35/64	35/64	Chord	4/4	1	1	1/64			1/64	1.0	99				
2	2	153/4	0.0625	9/16	9/16	Chord	4/4	1	1	1/64			1/64	1.0	100				
2	2	613/16	0.0625	37/64	37/64	Chord	4/4	1	1	1/64			1/64	1.0	101				
2	2	307/8	0.0625	19/32	19/32	Chord	4/4	1	1	1/64			1/64	1.0	102				
2	2	615/16	0.0625	39/64	39/64	Chord	4/4	1	1	1/64			1/64	1.0	103				
2	2	77/2	0.0625	5/8	5/8	Chord	4/4	1	1	1/64			1/64	1.0	104				
2	2	617/16	0.0625	41/64	41/64	Chord	4/4	1	1	1/64			1/64	1.0	105				
2	2	309/8	0.0625	21/32	21/32	Chord	4/4	1	1	1/64			1/64	1.0	106				
2	2	619/16	0.0625	43/64	43/64	Chord	4/4	1	1	1/64			1/64	1.0	107				
2	2	155/4	0.0625	11/16	11/16	Chord	4/4	1	1	1/64			1/64	1.0	108				
2	2	621/16	0.0625	45/64	45/64	Chord	4/4	1	1	1/64			1/64	1.0	109				
2	2	311/8	0.0625	23/32	23/32	Chord	4/4	1	1	1/64			1/64	1.0	110				
2	2	623/16	0.0625	47/64	47/64	Chord	4/4	1	1	1/64			1/64	1.0	111				
2	2	39	0.0625	3/4	3/4	Chord	4/4	1	1	1/64			1/64	1.0	112				
2	2	625/16	0.0625	49/64	49/64	Chord	4/4	1	1	1/64			1/64	1.0	113				
2	2	313/8	0.0625	25/32	25/32	Chord	4/4	1	1	1/64			1/64	1.0	114				
2	2	627/16	0.0625	51/64	51/64	Chord	4/4	1	1	1/64			1/64	1.0	115				
2	2	157/4	0.0625	13/16	13/16	Chord	4/4	1	1	1/64			1/64	1.0	116				
2	2	629/16	0.0625	53/64	53/64	Chord	4/4	1	1	1/64			1/64	1.0	117				
2	2	315/8	0.0625	27/32	27/32	Chord	4/4	1	1	1/64			1/64	1.0	118				
2	2	631/16	0.0625	55/64	55/64	Chord	4/4	1	1	1/64			1/64	1.0	119				
3	3	79/2	0.0625	0	3/8	Chord	4/4	1	1	1/64			1/64	1.0	120				
3	3	633/16	0.0625	1/64	25/64	Chord	4/4	1	1	1/64			1/64	1.0	121				
3	3	317/8	0.0625	1/32	13/32	Chord	4/4	1	1	1/64			1/64	1.0	122				
3	3	635/16	0.0625	3/64	27/64	Chord	4/4	1	1	1/64			1/64	1.0	123				
3	3	159/4	0.0625	1/16	7/16	Chord	4/4	1	1	1/64			1/64	1.0	124				
3	3	637/16	0.0625	5/64	29/64	Chord	4/4	1	1	1/64			1/64	1.0	125				
3	3	319/8	0.0625	3/32	15/32	Chord	4/4	1	1	1/64			1/64	1.0	126				
3	3	639/16	0.0625	7/64	31/64	Chord	4/4	1	1	1/64			1/64	1.0	127				
3	3	40	0.0625	1/8	1/2	Chord	4/4	1	1	1/64			1/64	1.0	128				
3	3	641/16	0.0625	9/64	33/64	Chord	4/4	1	1	1/64			1/64	1.0	129				
3	3	321/8	0.0625	5/32	17/32	Chord	4/4	1	1	1/64			1/64	1.0	130				
3	3	643/16	0.0625	11/64	35/64	Chord	4/4	1	1	1/64			1/64	1.0	131				
3	3	161/4	0.0625	3/16	9/16	Chord	4/4	1	1	1/64			1/64	1.0	132				
3	3	645/16	0.0625	13/64	37/64	Chord	4/4	1	1	1/64			1/64	1.0	133				
3	3	323/8	0.0625	7/32	19/32	Chord	4/4	1	1	1/64			1/64	1.0	134				
3	3	647/16	0.0625	15/64	39/64	Chord	4/4	1	1	1/64			1/64	1.0	135				
3	3	81/2	0.0625	1/4	5/8	Chord	4/4	1	1	1/64			1/64	1.0	136				
3	3	649/16	0.0625	17/64	41/64	Chord	4/4	1	1	1/64			1/64	1.0	137				
3	3	325/8	0.0625	9/32	21/32	Chord	4/4	1	1	1/64			1/64	1.0	138				
3	3	651/16	0.0625	19/64	43/64	Chord	4/4	1	1	1/64			1/64	1.0	139				
3	3	163/4	0.0625	5/16	11/16	Chord	4/4	1	1	1/64			1/64	1.0	140				
3	3	653/16	0.0625	21/64	45/64	Chord	4/4	1	1	1/64			1/64	1.0	141				
3	3	327/8	0.0625	11/32	23/32	Chord	4/4	1	1	1/64			1/64	1.0	142				
3	3	655/16	0.0625	23/64	47/64	Chord	4/4	1	1	1/64			1/64	1.0	143				
3	3	41	0.0625	3/8	3/4	Chord	4/4	1	1	1/64			1/64	1.0	144				
3	3	657/16	0.0625	25/64	49/64	Chord	4/4	1	1	1/64			1/64	1.0	145				
3	3	329/8	0.0625	13/32	25/32	Chord	4/4	1	1	1/64			1/64	1.0	146				
3	3	659/16	0.0625	27/64	51/64	Chord	4/4	1	1	1/64			1/64	1.0	147				
3	3	165/4	0.0625	7/16	13/16	Chord	4/4	1	1	1/64			1/64	1.0	148				
3	3	661/16	0.0625	29/64	53/64	Chord	4/4	1	1	1/64			1/64	1.0	149				
3	3	331/8	0.0625	15/32	27/32	Chord	4/4	1	1	1/64			1/64	1.0	150				
3	3	663/16	0.0625	31/64	55/64	Chord	4/4	1	1	1/64			1/64	1.0	151				
3	3	83/2	0.0625	1/2	7/8	Chord	4/4	1	1	1/64			1/64	1.0	152				
3	3	665/16	0.0625	33/64	57/64	Chord	4/4	1	1	1/64			1/64	1.0	153				
3	3	333/8	0.0625	17/32	29/32	Chord	4/4	1	1	1/64			1/64	1.0	154				
3	3	667/16	0.0625	35/64	59/64	Chord	4/4	1	1	1/64			1/64	1.0	155				
4	4	42	0.0	0	0	StaffText	4/4	1	1	0							arpeggio		
4	4	42	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1.0	156				
4	4	44	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1.0	157				
4	4	46	2.0	1	1	Chord	4/4	1	1	1/2			1/2	1.0	158				
4	4	48	0.0	3/2	3/2	Chord	4/4	1	1	0	grace4		1/4	1.0	159				
4	4	48	2.0	3/2	3/2	Chord	4/4	1	1	1/2			1/2	1.0	160				
4	4	50	2.0	2	2	Chord	4/4	1	1	1/2			1/2	1.0	161				
4	4	52	2.0	5/2	5/2	Chord	4/4	1	1	1/2			1/2	1.0	162				
4	4	42	2.0	0	0	Chord	4/4	1	2	1/2			1/2	1.0	163				
4	4	44	2.0	1/2	1/2	Chord	4/4	1	2	1/2			1/2	1.0	164				
4	4	46	2.0	1	1	Chord	4/4	1	2	1/2			1/2	1.0	165				
4	4	48	2.0	3/2	3/2	Chord	4/4	1	2	1/2			1/2	1.0	166				
4	4	50	2.0	2	2	Chord	4/4	1	2	1/2			1/2	1.0	167				
4	4	42	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1.0	168				
4	4	44	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1.0	169				
4	4	46	2.0	1	1	Chord	4/4	2	1	1/2			1/2	1.0	170				
4	4	48	2.0	3/2	3/2	Chord	4/4	2	1	1/2			1/2	1.0	171				
4	4	50	2.0	2	2	Chord	4/4	2	1	1/2			1/2	1.0	172				
4	4	52	2.0	5/2	5/2	Chord	4/4	2	1	1/2			1/2	1.0	173				
4	4	42	2.0	0	0	Chord	4/4	2	2	1/2			1/2	1.0	174				
4	4	44	2.0	1/2	1/2	Chord	4/4	2	2	1/2			1/2	1.0	175				
4	4	46	2.0	1	1	Chord	4/4	2	2	1/2			1/2	1.0	176				
4	4	48	2.0	3/2	3/2	Chord	4/4	2	2	1/2			1/2	1.0	177				
4	4	50	2.0	2	2	Chord	4/4	2	2	1/2			1/2	1.0	178				
4	4	52	2.0	5/2	5/2	Chord	4/4	2	2	1/2			1/2	1.0	179				
