mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								Pocoandante	82.0			1.0	
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0					p								
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0	
1	1	0	0	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	0									0
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1									0
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	2		articStaccatissimoAbove							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	3		articStaccatissimoAbove							
1	1	0	0	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	4									1
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	5									
2	2	2	2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	6		articStaccatissimoBelow							
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	7		articStaccatissimoBelow							
2	2	3	3	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	8		articStaccatissimoBelow							
2	2	2	2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	9		articStaccatissimoAbove							
2	2	3	3	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	10		articStaccatissimoAbove							
3	3	4	4	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	11									2
3	3	17/4	17/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	12									
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	13		ornamentShortTrill							3
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	14									
3	3	5	5	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	15									4
3	3	21/4	21/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	16									
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	17									5
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	18									
3	3	4	4	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	19									
3	3	5	5	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	20									
4	4	6	6	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	21									
4	4	6	6	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	22		ornamentTurn							
4	4	7	7	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	23		articStaccatissimoBelow							
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	24									6
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	25									
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	26		articStaccatissimoBelow							
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	27		articStaccatissimoBelow							
5	5	8	8	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	28									7
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	29									7
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	30		articStaccatissimoAbove							
