mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur
1	1	0	0.0	0	0	Tempo	3/4	1	1	0									Allegro di molto	126	
1	1	0	0.0	0	0	Tempo	3/4	1	1	0									 = 125	125	
1	1	0	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	0		articStaccatissimoAbove				
1	1	0	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	1		articStaccatissimoBelow				
1	1	9/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32			1/32	1	2						
1	1	19/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32			1/32	1	3						
1	1	5/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32			1/32	1	4						
1	1	21/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32			1/32	1	5						
1	1	11/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32			1/32	1	6						
1	1	23/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32			1/32	1	7						
2	2	3	0.125	0	0	Chord	3/4	1	1	1/32			1/32	1	8						
2	2	25/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32			1/32	1	9						
2	2	13/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32			1/32	1	10						
2	2	27/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32			1/32	1	11						
2	2	7/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32			1/32	1	12						
2	2	29/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32			1/32	1	13						
2	2	15/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	14						
2	2	31/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	15						
2	2	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	16		articStaccatissimoAbove				
2	2	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	17		articStaccatissimoAbove				
2	2	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	18		articStaccatissimoBelow				
3	3	6	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	19						
3	3	25/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	20						
3	3	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	21						
3	3	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	22		articStaccatissimoBelow				
3	3	6	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	23		articStaccatissimoBelow				
