mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur
1	0	0	0.0	0	7/8	Tempo	4/4	1	1	0									Allegretto	116	
1	0	0	0.0	0	7/8	Tempo	4/4	1	1	0									𝅘𝅥 = 80	80	
1	0	0	0.5	0	7/8	Chord	4/4	1	1	1/8			1/8	1	0						
2	1	1/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	1						
2	1	1	0.16666666666666666	1/8	1/8	Chord	4/4	1	1	1/24			1/16	2/3	2						
2	1	7/6	0.16666666666666666	1/6	1/6	Chord	4/4	1	1	1/24			1/16	2/3	3						
2	1	4/3	0.16666666666666666	5/24	5/24	Chord	4/4	1	1	1/24			1/16	2/3	4						
2	1	3/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	5						
2	1	2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	6						0
2	1	9/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	7						
2	1	5/2	0.0	1/2	1/2	Chord	4/4	1	1	0	grace16		1/16	1	8						
2	1	5/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	9		ornamentShortTrill				
2	1	3	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	10						
2	1	4	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	11						1
2	1	17/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	12						
2	1	2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	13						
2	1	5/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	14						
2	1	3	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	15						
2	1	4	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	16						
3	2	9/2	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	17						2
3	2	19/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	18						
3	2	5	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	19						
3	2	6	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	20						3
3	2	25/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	21						
3	2	13/2	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	22						4
3	2	27/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	23						
3	2	7	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	24						
3	2	8	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	25						5
3	2	33/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	26						
3	2	9/2	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	27						
3	2	11/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	28						
3	2	13/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	29						
3	2	15/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	30						
4	3	17/2	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	31						6
