mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0				p								
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0							𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
1	1	0	0	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	0									0
1	1	1/4	1/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	1									
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	2									
1	1	1	1	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	3									
1	1	5/4	5/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	4									
1	1	3/2	3/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	5									1
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	6									
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	7									
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	8									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	9									
2	2	2	2	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	10									2
2	2	9/4	9/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	11									
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	12									
2	2	3	3	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	13									3
2	2	13/4	13/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	14									3
2	2	7/2	7/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	15									3
2	2	15/4	15/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	16									
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	17									
2	2	3	3	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	18									
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	19									
3	3	4	4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	20									4
3	3	17/4	17/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	21									
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	22									
3	3	5	5	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	23									
3	3	21/4	21/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	24									
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	25									5
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	26									
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	27									
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	28									
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	29									
4	4	6	6	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	30									6
4	4	25/4	25/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	31									
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	32									
4	4	7	7	0.0	1/4	1/4	Dynamic	2/4	1	1	0				f								
4	4	7	7	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	33									
4	4	29/4	29/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	34									7
4	4	15/2	15/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	35									7
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	36									
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	37									
4	4	7	7	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	38									
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	39									
5	5	8	8	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	40									8
5	5	33/4	33/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	41									
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	42									
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	43									9
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	44		ornamentShortTrill							
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	45									
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	46									
6	6	10	10	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	47									
6	6	41/4	41/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32	1/32	1	48									
6	6	83/8	83/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	49									
6	6	21/2	21/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32	1/32	1	50									
6	6	85/8	85/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32	1/32	1	51									
6	6	43/4	43/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32	1/32	1	52									
6	6	87/8	87/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	53									
6	6	11	11	0.125	1/4	1/4	Chord	2/4	1	1	1/32	1/32	1	54									
6	6	89/8	89/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32	1/32	1	55									
6	6	45/4	45/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32	1/32	1	56									
6	6	91/8	91/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32	1/32	1	57									
6	6	23/2	23/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32	1/32	1	58									
6	6	93/8	93/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32	1/32	1	59									
6	6	47/4	47/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32	1/32	1	60									
6	6	95/8	95/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	61									
6	6	10	10	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	62		articStaccatissimoBelow							
7	7	49/4	49/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32	1/32	1	63									
7	7	99/8	99/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	64									
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	65		articStaccatissimoAbove							
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	66		articStaccatissimoAbove							
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	67									
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	68									
7	7	12	12	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	69									
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	70									
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	71									
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	72									
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	73									
8	8	14	14	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	74									10
8	8	15	15	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	75		ornamentTurn							
8	8	14	14	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	76									11
8	8	15	15	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	77									
