mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	slur
1	0	0	0.0	0	3/8	Tempo	2/4	1	1	0								Allegretto	72	
1	0	0	0.0	0	3/8	Tempo	2/4	1	1	0								 = 72	72	
1	0	0	0.16666666666666666	0	3/8	Chord	2/4	1	1	1/24			1/16	2/3	0					0
1	0	1/6	0.16666666666666666	1/24	5/12	Chord	2/4	1	1	1/24			1/16	2/3	1					0
1	0	1/3	0.16666666666666666	1/12	11/24	Chord	2/4	1	1	1/24			1/16	2/3	2					
2	1	1/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	3					1
2	1	1	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	4		ornamentTurn			
2	1	3/2	0.375	1/4	1/4	Chord	2/4	1	1	3/32			1/16	3/2	5		articStaccatissimoAbove			
2	1	15/8	0.0	11/32	11/32	Dynamic	2/4	1	1	0						p				
2	1	15/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	6					
2	1	2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24			1/16	2/3	7					
2	1	13/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24			1/16	2/3	8					
2	1	7/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24			1/16	2/3	9					
2	1	1	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	10					
2	1	3/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	11					
3	2	5/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	12					2
3	2	11/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	13					
3	2	13/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	14					
3	2	7/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	15					
3	2	15/4	0.0	5/16	5/16	Dynamic	2/4	1	1	0						f				
3	2	15/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8			1/8	1	16					
3	2	17/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	17					
3	2	3	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	18					
3	2	4	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	19					
4	3	9/2	0.0	0	0	Chord	2/4	1	1	0	grace32		1/32	2/3	20					
4	3	9/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24			1/16	2/3	21					
4	3	14/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24			1/16	2/3	22					
4	3	29/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24			1/16	2/3	23					
4	3	5	0.375	1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	24		articStaccatissimoAbove			
4	3	43/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	25					
4	3	11/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	26					
4	3	23/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8			1/8	1	27					
4	3	25/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	28					
4	3	9/2	1.5	0	0	Chord	2/4	2	1	3/8			1/4	3/2	29					
4	3	6	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	30					
4	3	9/2	0.5	0	0	Chord	2/4	2	2	1/8			1/8	1	31					
4	3	5	0.5	1/8	1/8	Chord	2/4	2	2	1/8			1/8	1	32					
4	3	11/2	1.0	1/4	1/4	Chord	2/4	2	2	1/4			1/4	1	33					
5	4	13/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24			1/16	2/3	34					3
5	4	20/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24			1/16	2/3	35					3
5	4	41/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24			1/16	2/3	36					
5	4	7	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	37					
5	4	63/8	0.0	11/32	11/32	Dynamic	2/4	1	1	0						p				
5	4	63/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	38					
5	4	8	0.375	3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	39					4
5	4	67/8	0.0625	15/32	15/32	Chord	2/4	1	1	1/64			1/64	1	40					4
5	4	135/16	0.0625	31/64	31/64	Chord	2/4	1	1	1/64			1/64	1	41					
5	4	13/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	42					
5	4	7	0.375	1/8	1/8	Chord	2/4	2	1	3/32			1/16	3/2	43					
5	4	59/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32			1/32	1	44					
5	4	15/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	45					
6	5	17/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	46					5
6	5	35/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	47					
6	5	37/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	48					
6	5	19/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	49					6
6	5	39/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	50					
6	5	41/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	51					7
6	5	83/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	52					
6	5	9	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	53					
6	5	10	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	54					
6	5	9	0.5	1/8	1/8	Chord	2/4	2	2	1/8			1/8	1	55					
6	5	10	0.5	3/8	3/8	Chord	2/4	2	2	1/8			1/8	1	56					
7	6	21/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	57					8
7	6	11	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	58		ornamentTurn			
7	6	23/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	59					
7	6	12	0.0	3/8	3/8	Dynamic	2/4	1	1	0						f				
7	6	12	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	60					
7	6	21/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	61					
7	6	11	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	62					
7	6	23/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	63					
7	6	12	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	64					
7	6	21/2	1.0	0	0	Chord	2/4	2	2	1/4			1/4	1	65					
8	7	25/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	66					9
8	7	51/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	67					
8	7	13	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	68					10
8	7	53/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	69					
8	7	27/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	70					11
8	7	14	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	71		ornamentTurn			
8	7	25/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	72					
8	7	13	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	73					
8	7	14	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	74					
8	7	27/2	1.0	1/4	1/4	Chord	2/4	2	2	1/4			1/4	1	75					
9	8	29/2	0.375	0	0	Chord	2/4	1	1	3/32			1/16	3/2	76		articStaccatissimoBelow			
9	8	119/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	77					
9	8	15	0.0	1/8	1/8	Dynamic	2/4	1	1	0						p				
