mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur
1	1	0	0.0		0	0	Tempo	2/4	1	1	0									Andante	80	
1	1	0	0.0		0	0	Tempo	2/4	1	1	0									 = 72	72	
1	1	0	0.875		0	0	Chord	2/4	1	1	7/32			1/8	7/4	0		ornamentTurnInverted				
1	1	7/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	1						
1	1	1	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	2		ornamentShortTrill				0
1	1	3/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	3						
1	1	15/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	4						
1	1	0	0.875		0	0	Chord	2/4	2	1	7/32			1/8	7/4	5						
1	1	7/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32			1/32	1	6						
1	1	1	0.75		1/4	1/4	Chord	2/4	2	1	3/16			1/8	3/2	7						
1	1	15/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	8						
2	2	2	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	9						1
2	2	5/2	0.375		1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	10		ornamentShortTrill				
2	2	23/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	11						
2	2	3	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	12		articStaccatissimoAbove				
2	2	31/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	13						2
2	2	2	1.0		0	0	Chord	2/4	2	1	1/4			1/4	1	14						
2	2	31/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	15						
3	3	4	0.25		0	0	Chord	2/4	1	1	1/16			1/16	1	16						
3	3	17/4	0.5		1/16	1/16	Chord	2/4	1	1	1/8			1/8	1	17						
3	3	19/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	18						
3	3	5	0.375		1/4	1/4	Chord	2/4	1	1	3/32			1/16	3/2	19						
3	3	43/8	0.125		11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	20						
3	3	11/2	0.125		3/8	3/8	Chord	2/4	1	1	1/32			1/32	1	21						
3	3	45/8	0.125		13/32	13/32	Chord	2/4	1	1	1/32			1/32	1	22						
3	3	23/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	23		ornamentShortTrill				
3	3	47/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	24						
3	3	4	0.75		0	0	Chord	2/4	1	2	3/16			1/8	3/2	25						
3	3	19/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16			1/16	1	26						
3	3	5	0.25		1/4	1/4	Chord	2/4	1	2	1/16			1/16	1	27						
3	3	21/4	0.75		5/16	5/16	Chord	2/4	1	2	3/16			1/8	3/2	28						
3	3	4	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	29						
3	3	9/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	30						
3	3	5	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	31						
3	3	11/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	32						
4	4	6	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	33						3
4	4	13/2	0.0		1/8	1/8	Chord	2/4	1	1	0	grace16		1/16	1	34						
4	4	13/2	0.125		1/8	1/8	Chord	2/4	1	1	1/32			1/32	1	35						
4	4	53/8	0.125		5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	36						
4	4	27/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	37						
