mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur
4	4	55/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	38						
4	4	7	0.25		1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	39						4
4	4	29/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	40						
4	4	15/2	0.125		3/8	3/8	Chord	2/4	1	1	1/32			1/32	1	41						
4	4	61/8	0.125		13/32	13/32	Chord	2/4	1	1	1/32			1/32	1	42						
4	4	31/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	43		ornamentShortTrill				
4	4	63/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	44						
4	4	6	1.0		0	0	Chord	2/4	2	1	1/4			1/4	1	45						
5	5	8	1.5		0	0	Chord	2/4	1	1	3/8			1/4	3/2	46						
5	5	19/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	47						
5	5	39/4	0.0625		7/16	7/16	Chord	2/4	1	1	1/64			1/64	1	48						
5	5	157/16	0.0625		29/64	29/64	Chord	2/4	1	1	1/64			1/64	1	49						
5	5	79/8	0.0625		15/32	15/32	Chord	2/4	1	1	1/64			1/64	1	50						
5	5	159/16	0.0625		31/64	31/64	Chord	2/4	1	1	1/64			1/64	1	51						
5	5	17/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	52						
5	5	9	0.0		1/4	1/4	StaffText	2/4	2	1	0								ten.			
5	5	9	1.0		1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	53						
6	6	10	1.5		0	0	Chord	2/4	1	1	3/8			1/4	3/2	54						
6	6	23/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	55						
6	6	95/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	56						
6	6	21/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	57						
6	6	11	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	58						
6	6	23/2	0.375		3/8	3/8	Chord	2/4	2	1	3/32			1/16	3/2	59						
6	6	95/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	60						
7	7	12	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	61						5
7	7	25/2	0.375		1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	62						
7	7	103/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	63						
7	7	13	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	64						6
7	7	27/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	65						
7	7	111/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	66						
7	7	12	0.875		0	0	Chord	2/4	1	2	7/32			1/8	7/4	67						
7	7	103/8	0.125		7/32	7/32	Chord	2/4	1	2	1/32			1/32	1	68						
7	7	12	0.875		0	0	Chord	2/4	2	1	7/32			1/8	7/4	69						
7	7	103/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32			1/32	1	70						
7	7	13	0.875		1/4	1/4	Chord	2/4	2	1	7/32			1/8	7/4	71						
7	7	111/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	72						
8	8	14	0.0		0	0	Chord	2/4	1	1	0	grace16		1/16	1	73						
8	8	14	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	74						
8	8	29/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	75						
8	8	127/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	76						
8	8	14	1.0		0	0	Chord	2/4	2	1	1/4			1/4	1	77						
8	8	15	0.0		1/4	1/4	StaffText	2/4	2	1	0								ten.			
8	8	15	1.0		1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	78						
9	9	16	0.75		0	0	Chord	2/4	1	1	3/16			1/8	3/2	79		ornamentTurn				
9	9	67/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	80						
9	9	135/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	81						
9	9	17	0.375		1/4	1/4	Chord	2/4	1	1	3/32			1/16	3/2	82						
9	9	139/8	0.125		11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	83						
9	9	35/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	84						
9	9	143/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	85						
9	9	139/8	0.125		11/32	11/32	Chord	2/4	2	1	1/32			1/32	1	86						
9	9	35/2	0.375		3/8	3/8	Chord	2/4	2	1	3/32			1/16	3/2	87						
9	9	143/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	88						
10	10	18	1.0		0	0	Chord	2/4	1	1	1/4			1/4	1	89						7
10	10	19	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	90		articStaccatissimoBelow				
10	10	159/8	0.0		15/32	15/32	Dynamic	2/4	1	1	0						p					
10	10	159/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	91						
10	10	18	0.375		0	0	Chord	2/4	2	1	3/32			1/16	3/2	92						
10	10	147/8	0.125		3/32	3/32	Chord	2/4	2	1	1/32			1/32	1	93						
10	10	37/2	0.375		1/8	1/8	Chord	2/4	2	1	3/32			1/16	3/2	94						
10	10	151/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32			1/32	1	95						
10	10	19	1.0		1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	96		articStaccatissimoBelow				
11	11	20	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	97						8
11	11	41/2	0.375		1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	98		ornamentTurn				
11	11	167/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	99						
11	11	21	0.375		1/4	1/4	Chord	2/4	1	1	3/32			1/16	3/2	100						
11	11	171/8	0.125		11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	101						
11	11	43/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	102						
11	11	175/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	103						
11	11	171/8	0.125		11/32	11/32	Chord	2/4	2	1	1/32			1/32	1	104						
11	11	43/2	0.375		3/8	3/8	Chord	2/4	2	1	3/32			1/16	3/2	105						
11	11	175/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	106						
12	12	22	0.375		0	0	Chord	2/4	1	1	3/32			1/16	3/2	107						
12	12	179/8	0.0		3/32	3/32	Dynamic	2/4	1	1	0						f					
12	12	179/8	0.125		3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	108						
12	12	45/2	0.375		1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	109						
12	12	183/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	110						
12	12	23	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16		1/16	1	111						
12	12	23	0.375		1/4	1/4	Chord	2/4	1	1	3/32			1/16	3/2	112		ornamentShortTrill				
12	12	187/8	0.125		11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	113						
12	12	47/2	0.0		3/8	3/8	Chord	2/4	1	1	0	grace16		1/16	1	114						
12	12	47/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	115		ornamentShortTrill				
12	12	191/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	116						
12	12	22	0.375		0	0	Chord	2/4	2	1	3/32			1/16	3/2	117						
12	12	179/8	0.125		3/32	3/32	Chord	2/4	2	1	1/32			1/32	1	118						
12	12	45/2	0.375		1/8	1/8	Chord	2/4	2	1	3/32			1/16	3/2	119						
12	12	183/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32			1/32	1	120						
12	12	23	0.375		1/4	1/4	Chord	2/4	2	1	3/32			1/16	3/2	121						
12	12	187/8	0.125		11/32	11/32	Chord	2/4	2	1	1/32			1/32	1	122						
12	12	47/2	0.375		3/8	3/8	Chord	2/4	2	1	3/32			1/16	3/2	123						
12	12	191/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	124						
13	13	24	1.0		0	0	Chord	2/4	1	1	1/4			1/4	1	125						9
13	13	25	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	126		ornamentShortTrill				
13	13	24	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	127						
13	13	49/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4			1/4	1	128						
14	14	26	0.0		0	0	StaffText	2/4	1	1	0											
14	14	26	0.875		0	0	Chord	2/4	1	1	7/32			1/8	7/4	129		ornamentTurn				
14	14	215/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	130						
14	14	27	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	131						10
14	14	55/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	132		ornamentShortTrill				
14	14	223/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	133						
14	14	53/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8			1/8	1	134						
14	14	27	0.5		1/4	1/4	Chord	2/4	1	2	1/8			1/8	1	135						
14	14	55/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8			1/8	1	136						
15	15	28	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	137						11
15	15	57/2	0.375		1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	138		ornamentTurn				
15	15	231/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	139						
15	15	29	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	140		articStaccatissimoBelow				
15	15	239/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	141						
15	15	28	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	142						
15	15	57/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	143						
15	15	235/8	0.125		11/32	11/32	Chord	2/4	2	1	1/32			1/32	1	144						
15	15	59/2	0.375		3/8	3/8	Chord	2/4	2	1	3/32			1/16	3/2	145						
15	15	239/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	146						
16	16	30	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	147						12
16	16	61/2	0.375		1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	148		ornamentMordent				
16	16	247/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	149						
16	16	31	0.25		1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	150						
16	16	125/4	0.5		5/16	5/16	Chord	2/4	1	1	1/8			1/8	1	151						
16	16	127/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	152						
16	16	31	1.0		1/4	1/4	Chord	2/4	1	2	1/4			1/4	1	153						
16	16	30	0.75		0	0	Chord	2/4	2	1	3/16			1/8	3/2	154						
16	16	247/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32			1/32	1	155						
16	16	31	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	156						
16	16	63/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	157						
17	17	32	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	158						
17	17	65/2	0.0625		1/8	1/8	Chord	2/4	1	1	1/64			1/64	1	159						
17	17	521/16	0.0625		9/64	9/64	Chord	2/4	1	1	1/64			1/64	1	160						
17	17	261/8	0.0625		5/32	5/32	Chord	2/4	1	1	1/64			1/64	1	161						
17	17	523/16	0.0625		11/64	11/64	Chord	2/4	1	1	1/64			1/64	1	162						
17	17	131/4	0.0625		3/16	3/16	Chord	2/4	1	1	1/64			1/64	1	163						
17	17	525/16	0.0625		13/64	13/64	Chord	2/4	1	1	1/64			1/64	1	164						
17	17	263/8	0.0625		7/32	7/32	Chord	2/4	1	1	1/64			1/64	1	165						
17	17	527/16	0.0625		15/64	15/64	Chord	2/4	1	1	1/64			1/64	1	166						
17	17	33	0.875		1/4	1/4	Chord	2/4	1	1	7/32			1/8	7/4	167						
17	17	271/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	168						
17	17	271/8	0.125		15/32	15/32	Chord	2/4	1	3	1/32			1/32	1	169						
17	17	32	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	170						
17	17	65/2	0.0		1/8	1/8	StaffText	2/4	2	1	0								ten.			
17	17	65/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4			1/4	1	171						
17	17	271/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	172						
18	18	34	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	173						13
18	18	69/2	0.375		1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	174						
18	18	279/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	175						
18	18	35	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	176						14
18	18	71/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	177						
18	18	287/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	178						
18	18	34	0.875		0	0	Chord	2/4	1	2	7/32			1/8	7/4	179						
18	18	279/8	0.125		7/32	7/32	Chord	2/4	1	2	1/32			1/32	1	180						
18	18	35	0.875		1/4	1/4	Chord	2/4	1	2	7/32			1/8	7/4	181						
18	18	287/8	0.125		15/32	15/32	Chord	2/4	1	2	1/32			1/32	1	182						
18	18	34	0.875		0	0	Chord	2/4	2	1	7/32			1/8	7/4	183						
18	18	279/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32			1/32	1	184						
18	18	35	0.875		1/4	1/4	Chord	2/4	2	1	7/32			1/8	7/4	185						
18	18	287/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	186						
19	19	36	0.375		0	0	Chord	2/4	1	1	3/32			1/16	3/2	187		ornamentTurn				
19	19	291/8	0.125		3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	188						
19	19	73/2	0.375		1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	189		ornamentTurn				
19	19	295/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	190						
19	19	37	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	191						
19	19	75/2	0.125		3/8	3/8	Chord	2/4	1	1	1/32			1/32	1	192						
19	19	301/8	0.0625		13/32	13/32	Chord	2/4	1	1	1/64			1/64	1	193						15
19	19	603/16	0.0625		27/64	27/64	Chord	2/4	1	1	1/64			1/64	1	194						15
19	19	151/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	195						15
19	19	303/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	196						
19	19	36	0.5		0	0	Chord	2/4	1	2	1/8			1/8	1	197						
19	19	36	1.0		0	0	Chord	2/4	2	1	1/4			1/4	1	198						
19	19	299/8	0.125		11/32	11/32	Chord	2/4	2	1	1/32			1/32	1	199						
19	19	75/2	0.375		3/8	3/8	Chord	2/4	2	1	3/32			1/16	3/2	200						
19	19	303/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	201						
20	20	38	0.125		0	0	Chord	2/4	1	1	1/32			1/32	1	202						
20	20	305/8	0.0625		1/32	1/32	Chord	2/4	1	1	1/64			1/64	1	203						16
20	20	611/16	0.0625		3/64	3/64	Chord	2/4	1	1	1/64			1/64	1	204						16
20	20	153/4	0.125		1/16	1/16	Chord	2/4	1	1	1/32			1/32	1	205						16
20	20	307/8	0.125		3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	206						
20	20	77/2	0.125		1/8	1/8	Chord	2/4	1	1	1/32			1/32	1	207						17
20	20	309/8	0.125		5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	208						
20	20	311/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	209						
20	20	39	0.5		1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	210						18
20	20	79/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	211		ornamentTremblement				
20	20	38	0.375		0	0	Chord	2/4	2	1	3/32			1/16	3/2	212						
20	20	307/8	0.125		3/32	3/32	Chord	2/4	2	1	1/32			1/32	1	213						
20	20	77/2	0.375		1/8	1/8	Chord	2/4	2	1	3/32			1/16	3/2	214						
20	20	311/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32			1/32	1	215						
20	20	39	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	216						
20	20	79/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	217						
21	21	40	0.875		0	0	Chord	2/4	1	1	7/32			1/8	7/4	218						
21	21	327/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	219						
21	21	41	1.0		1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	220						19
21	21	41	0.16666666666666666		1/4	1/4	Chord	2/4	1	2	1/24			1/16	2/3	221		articStaccatoAbove				
21	21	247/6	0.16666666666666666		7/24	7/24	Chord	2/4	1	2	1/24			1/16	2/3	222		articStaccatoAbove				
21	21	124/3	0.16666666666666666		1/3	1/3	Chord	2/4	1	2	1/24			1/16	2/3	223		articStaccatoAbove				
21	21	83/2	0.16666666666666666		3/8	3/8	Chord	2/4	1	2	1/24			1/16	2/3	224		articStaccatoAbove				
21	21	125/3	0.16666666666666666		5/12	5/12	Chord	2/4	1	2	1/24			1/16	2/3	225		articStaccatoAbove				
21	21	251/6	0.16666666666666666		11/24	11/24	Chord	2/4	1	2	1/24			1/16	2/3	226		articStaccatoAbove				
21	21	40	0.0		0	0	StaffText	2/4	2	1	0								ten.			
21	21	40	1.0		0	0	Chord	2/4	2	1	1/4			1/4	1	227						
21	21	331/8	0.125		11/32	11/32	Chord	2/4	2	1	1/32			1/32	1	228						
21	21	83/2	0.375		3/8	3/8	Chord	2/4	2	1	3/32			1/16	3/2	229						
21	21	335/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	230						
22	22	42	0.875		0	0	Chord	2/4	1	1	7/32			1/8	7/4	231						19
22	22	343/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	232						
22	22	43	1.0		1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	233						20
22	22	42	0.25		0	0	Chord	2/4	1	2	1/16			1/16	1	234		articStaccatoAbove				
22	22	169/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16			1/16	1	235		articStaccatoAbove				
22	22	85/2	0.25		1/8	1/8	Chord	2/4	1	2	1/16			1/16	1	236		articStaccatoAbove				
22	22	171/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16			1/16	1	237		articStaccatoAbove				
22	22	43	0.16666666666666666		1/4	1/4	Chord	2/4	1	2	1/24			1/16	2/3	238		articStaccatoAbove				
22	22	259/6	0.16666666666666666		7/24	7/24	Chord	2/4	1	2	1/24			1/16	2/3	239		articStaccatoAbove				
22	22	130/3	0.16666666666666666		1/3	1/3	Chord	2/4	1	2	1/24			1/16	2/3	240		articStaccatoAbove				
22	22	87/2	0.16666666666666666		3/8	3/8	Chord	2/4	1	2	1/24			1/16	2/3	241		articStaccatoAbove				
22	22	131/3	0.16666666666666666		5/12	5/12	Chord	2/4	1	2	1/24			1/16	2/3	242		articStaccatoAbove				
22	22	263/6	0.16666666666666666		11/24	11/24	Chord	2/4	1	2	1/24			1/16	2/3	243		articStaccatoAbove				
22	22	42	1.0		0	0	Chord	2/4	2	1	1/4			1/4	1	244						
22	22	347/8	0.125		11/32	11/32	Chord	2/4	2	1	1/32			1/32	1	245						
22	22	87/2	0.375		3/8	3/8	Chord	2/4	2	1	3/32			1/16	3/2	246						
22	22	351/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	247						
22	22	42	0.25		0	0	Chord	2/4	2	2	1/16			1/16	1	248		articStaccatoAbove				21
22	22	169/4	0.25		1/16	1/16	Chord	2/4	2	2	1/16			1/16	1	249		articStaccatoAbove				21
22	22	85/2	0.25		1/8	1/8	Chord	2/4	2	2	1/16			1/16	1	250		articStaccatoAbove				21
22	22	171/4	0.25		3/16	3/16	Chord	2/4	2	2	1/16			1/16	1	251		articStaccatoAbove				
23	23	44	0.875		0	0	Chord	2/4	1	1	7/32			1/8	7/4	252						20
23	23	359/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	253						
23	23	45	1.0		1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	254						22
23	23	44	0.25		0	0	Chord	2/4	1	2	1/16			1/16	1	255		articStaccatoAbove				
23	23	177/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16			1/16	1	256		articStaccatoAbove				
23	23	89/2	0.25		1/8	1/8	Chord	2/4	1	2	1/16			1/16	1	257		articStaccatoAbove				
23	23	179/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16			1/16	1	258		articStaccatoAbove				
23	23	45	0.16666666666666666		1/4	1/4	Chord	2/4	1	2	1/24			1/16	2/3	259		articStaccatoAbove				
23	23	271/6	0.16666666666666666		7/24	7/24	Chord	2/4	1	2	1/24			1/16	2/3	260		articStaccatoAbove				
23	23	136/3	0.16666666666666666		1/3	1/3	Chord	2/4	1	2	1/24			1/16	2/3	261		articStaccatoAbove				
23	23	91/2	0.16666666666666666		3/8	3/8	Chord	2/4	1	2	1/24			1/16	2/3	262		articStaccatoAbove				
23	23	137/3	0.16666666666666666		5/12	5/12	Chord	2/4	1	2	1/24			1/16	2/3	263		articStaccatoAbove				
23	23	275/6	0.16666666666666666		11/24	11/24	Chord	2/4	1	2	1/24			1/16	2/3	264		articStaccatoAbove				
23	23	44	1.0		0	0	Chord	2/4	2	1	1/4			1/4	1	265						23
23	23	363/8	0.125		11/32	11/32	Chord	2/4	2	1	1/32			1/32	1	266						
23	23	91/2	0.375		3/8	3/8	Chord	2/4	2	1	3/32			1/16	3/2	267						
23	23	367/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	268						
23	23	44	0.25		0	0	Chord	2/4	2	2	1/16			1/16	1	269		articStaccatoAbove				
23	23	177/4	0.25		1/16	1/16	Chord	2/4	2	2	1/16			1/16	1	270		articStaccatoAbove				
23	23	89/2	0.25		1/8	1/8	Chord	2/4	2	2	1/16			1/16	1	271		articStaccatoAbove				
23	23	179/4	0.25		3/16	3/16	Chord	2/4	2	2	1/16			1/16	1	272		articStaccatoAbove				
24	24	46	0.5		0	0	Chord	2/4	1	1	1/8			1/8	1	273						
24	24	93/2	1.0		1/8	1/8	Chord	2/4	1	1	1/4			1/4	1	274		ornamentMordent				24
24	24	95/2	0.0		3/8	3/8	Dynamic	2/4	1	1	0						p					
24	24	95/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	275		ornamentMordent				25
24	24	46	0.25		0	0	Chord	2/4	1	2	1/16			1/16	1	276		articStaccatoAbove				
24	24	185/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16			1/16	1	277		articStaccatoAbove				
24	24	93/2	0.25		1/8	1/8	Chord	2/4	1	2	1/16			1/16	1	278		articStaccatoAbove				
24	24	187/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16			1/16	1	279		articStaccatoAbove				
24	24	47	0.25		1/4	1/4	Chord	2/4	1	2	1/16			1/16	1	280		articStaccatoAbove				
24	24	189/4	0.25		5/16	5/16	Chord	2/4	1	2	1/16			1/16	1	281		articStaccatoAbove				
24	24	95/2	0.25		3/8	3/8	Chord	2/4	1	2	1/16			1/16	1	282		articStaccatoAbove				
24	24	191/4	0.25		7/16	7/16	Chord	2/4	1	2	1/16			1/16	1	283		articStaccatoBelow				
24	24	46	0.375		0	0	Chord	2/4	2	1	3/32			1/16	3/2	284						
24	24	371/8	0.125		3/32	3/32	Chord	2/4	2	1	1/32			1/32	1	285						
