mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur
1	1	0	0.0	0	0	Tempo	2/4	1	1	0									Аllegretto	112	
1	1	0	0.0	0	0	Tempo	2/4	1	1	0									𝅘𝅥 = 80	80	
1	1	0	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	0						
1	1	3/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	1						
1	1	7/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	2						
1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	3		articStaccatissimoAbove				
1	1	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	4		articStaccatissimoAbove				
1	1	0	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	5		articStaccatissimoBelow				
1	1	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	6		articStaccatissimoBelow				
2	2	2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	7		articStaccatissimoAbove				
2	2	5/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	8		articStaccatissimoAbove				
2	2	3	0.0	1/4	1/4	Dynamic	2/4	1	1	0						p					
2	2	3	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	9		articStaccatissimoAbove				
2	2	3	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	10		articStaccatissimoAbove				
3	3	4	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	11		articStaccatissimoAbove				
3	3	5	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	12		articStaccatissimoBelow				
3	3	4	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	13		articStaccatissimoAbove				
3	3	5	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	14		articStaccatissimoAbove				
4	4	6	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	15						0
4	4	25/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	16						
4	4	13/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	17						1
4	4	27/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	18						
4	4	7	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	19						2
4	4	29/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	20						
4	4	15/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	21		ornamentShortTrill				3
4	4	31/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	22						
4	4	6	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	23						
4	4	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	24						
4	4	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	25						
4	4	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	26						
5	5	8	0.0	0	0	Dynamic	2/4	1	1	0						f					
